# {"t_start": 1585343336.7961493, "env_id": "FetchPickAndPlace-v1"} 
r,l,t
-50.0,50,3.736153
-50.0,50,4.721854
-50.0,50,5.610169
-44.0,50,6.451548
-50.0,50,7.331863
-44.0,50,8.244123
-50.0,50,9.093504
-44.0,50,9.983365
-38.0,50,10.845861
-50.0,50,11.715119
-50.0,50,12.590255
-50.0,50,13.517308
-38.0,50,14.444933
-38.0,50,15.305805
-38.0,50,16.228386
-38.0,50,17.110318
-38.0,50,18.044109
-38.0,50,18.977969
-38.0,50,19.845432
-38.0,50,20.732653
-50.0,50,21.602545
-38.0,50,22.491233
-50.0,50,23.392115
-50.0,50,24.28369
-50.0,50,25.174804
-38.0,50,26.080377
-38.0,50,26.973861
-38.0,50,27.861061
-38.0,50,28.760227
-38.0,50,29.673543
-38.0,50,30.561937
-38.0,50,31.462743
-38.0,50,32.358859
-38.0,50,33.273474
-38.0,50,34.191944
-38.0,50,35.109228
-38.0,50,36.040577
-38.0,50,36.983178
-38.0,50,37.924296
-38.0,50,38.875352
-38.0,50,39.822646
-38.0,50,40.774145
-38.0,50,41.725332
-38.0,50,42.673425
-38.0,50,43.624503
-38.0,50,44.593451
-38.0,50,45.549304
-38.0,50,46.522634
-38.0,50,47.495539
-38.0,50,48.46642
-38.0,50,49.478234
-38.0,50,49.630263
-38.0,50,49.799137
-38.0,50,49.961121
-38.0,50,50.117521
-38.0,50,50.289488
-38.0,50,50.447265
-12.0,50,50.614062
23.0,50,50.78263
-38.0,50,50.935424
-38.0,50,51.139666
-38.0,50,52.121016
-38.0,50,53.104741
-38.0,50,54.108318
-38.0,50,55.11824
-38.0,50,56.136144
-38.0,50,57.147263
17.0,50,58.182441
-38.0,50,59.197877
-38.0,50,60.223527
-38.0,50,61.260799
-38.0,50,62.300217
-38.0,50,63.342941
-38.0,50,64.422293
-38.0,50,65.48789
-38.0,50,66.544101
-38.0,50,67.613436
-38.0,50,68.716396
-38.0,50,69.864397
-38.0,50,70.953301
-38.0,50,72.105382
-38.0,50,73.211935
-38.0,50,74.328415
-38.0,50,75.471198
-38.0,50,76.635019
-38.0,50,77.765903
-38.0,50,79.078001
-38.0,50,80.512418
-38.0,50,81.850761
-38.0,50,83.312391
-38.0,50,84.543149
-38.0,50,85.813022
-38.0,50,87.110044
-38.0,50,88.399967
-38.0,50,89.750153
-38.0,50,91.001046
-38.0,50,92.253797
12.0,50,93.553219
-38.0,50,94.802737
-38.0,50,96.074363
-38.0,50,97.344731
-38.0,50,98.647776
-38.0,50,99.94953
-38.0,50,101.188684
-38.0,50,102.543155
-38.0,50,103.81516
-38.0,50,105.054972
-38.0,50,106.292314
-38.0,50,107.537989
-38.0,50,108.791079
-38.0,50,110.025006
-38.0,50,110.209203
-38.0,50,110.384679
-38.0,50,110.556724
-38.0,50,110.757512
-38.0,50,110.94903
-38.0,50,111.15183
-38.0,50,111.327447
-38.0,50,111.539081
-16.0,50,111.757632
-38.0,50,111.937526
-38.0,50,113.291048
-38.0,50,114.698688
-38.0,50,116.039078
-38.0,50,117.343325
-38.0,50,118.661873
-38.0,50,120.006161
9.0,50,121.458961
-38.0,50,122.875661
-38.0,50,124.263691
-38.0,50,125.490782
-38.0,50,126.776787
-38.0,50,128.098166
-38.0,50,129.402071
-38.0,50,130.865593
-38.0,50,132.281767
-38.0,50,133.67722
-38.0,50,135.087302
-38.0,50,136.473302
-38.0,50,137.858052
-38.0,50,139.27716
1.0,50,140.682666
-38.0,50,142.098352
-38.0,50,143.523106
-38.0,50,144.866875
-38.0,50,146.193888
-38.0,50,147.580838
-38.0,50,148.982661
-38.0,50,150.379135
-38.0,50,151.900084
11.0,50,153.330002
-38.0,50,154.785365
