epoch,p0/stats_g/mean,p0/stats_g/std,p0/stats_o/mean,p0/stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.8452797,0.10563619,0.22511736,0.12740506,20.0,-1.7574877,0.15,100.0,0.02
1,0.8397178,0.111436136,0.24067155,0.14615315,40.0,-2.5510786,0.1,200.0,0.02
2,0.841357,0.111948974,0.24681038,0.15247239,60.0,-4.01441,0.1,300.0,0.11
3,0.84243375,0.11752826,0.25023264,0.15755512,80.0,-6.348456,0.05,400.0,0.05
4,0.8429055,0.11676961,0.2522615,0.15683587,100.0,-4.3692617,0.45,500.0,0.04
5,0.84296364,0.118632846,0.2535491,0.1598053,120.0,-5.817744,0.3,600.0,0.09
6,0.8426629,0.120452546,0.25450787,0.16057903,140.0,-7.649892,0.15,700.0,0.12
7,0.841867,0.12048125,0.2541135,0.16179898,160.0,-6.874959,0.5,800.0,0.11
8,0.8423574,0.12286275,0.25520113,0.16249691,180.0,-10.186519,0.25,900.0,0.14
9,0.8427863,0.12626548,0.25521943,0.16340493,200.0,-8.094328,0.45,1000.0,0.17
10,0.842086,0.12616037,0.25546205,0.16298188,220.0,-4.34526,0.6,1100.0,0.16
11,0.84208345,0.1271575,0.25601915,0.16321571,240.0,-8.787649,0.35,1200.0,0.12
12,0.8419351,0.12571,0.2563059,0.16227038,260.0,-7.195288,0.55,1300.0,0.28
13,0.84201556,0.12722445,0.25698552,0.1623864,280.0,-6.359134,0.5,1400.0,0.29
14,0.8422165,0.12816256,0.25760067,0.1625368,300.0,-5.967318,0.65,1500.0,0.18
15,0.8419662,0.1281119,0.25773197,0.16227397,320.0,-4.211932,0.65,1600.0,0.28
16,0.84121865,0.12867965,0.2580204,0.16152222,340.0,-1.1256032,0.85,1700.0,0.29
17,0.84185034,0.12779695,0.25823784,0.16062959,360.0,-3.58779,0.6,1800.0,0.36
18,0.8422985,0.12720867,0.25877345,0.1603752,380.0,-1.5867934,0.7,1900.0,0.29
19,0.84254956,0.12715593,0.2589699,0.16061746,400.0,-3.201854,0.6,2000.0,0.38
20,0.84268904,0.12640862,0.25901896,0.160342,420.0,-1.2980936,0.85,2100.0,0.35
21,0.84306115,0.12597355,0.2594857,0.1592421,440.0,-0.99024695,0.95,2200.0,0.42
22,0.8434983,0.12600279,0.25951943,0.158938,460.0,-1.4836514,0.9,2300.0,0.37
23,0.8436708,0.12545574,0.25984734,0.15867624,480.0,-1.6536505,0.9,2400.0,0.56
24,0.8440657,0.12596364,0.25989327,0.15836667,500.0,-0.73496044,1.0,2500.0,0.49
25,0.8444276,0.12587951,0.2598058,0.15820628,520.0,-0.5424883,1.0,2600.0,0.35
26,0.8449292,0.12590633,0.25999072,0.15809229,540.0,-0.45531425,1.0,2700.0,0.43
27,0.8453076,0.12591319,0.26029786,0.15783326,560.0,-1.2346848,0.95,2800.0,0.35
28,0.8456363,0.12556387,0.26059362,0.15755865,580.0,-0.7210077,0.95,2900.0,0.45
29,0.84574896,0.12628329,0.26092955,0.15774354,600.0,-1.6696056,0.95,3000.0,0.41
30,0.84563345,0.12608068,0.26112682,0.15749075,620.0,-2.027792,0.8,3100.0,0.47
31,0.8459483,0.1258927,0.26123172,0.15712813,640.0,-1.8945513,0.9,3200.0,0.45
32,0.8462501,0.12621303,0.26143664,0.15676843,660.0,-0.8889224,1.0,3300.0,0.4
33,0.84615517,0.12640995,0.26159996,0.15672477,680.0,-0.31803447,1.0,3400.0,0.48
34,0.8462747,0.12656717,0.26157585,0.1563445,700.0,-0.79883116,0.95,3500.0,0.46
35,0.84607714,0.12607338,0.261771,0.1560808,720.0,-0.66426533,0.95,3600.0,0.47
36,0.84618217,0.12573798,0.26177156,0.15573432,740.0,-0.7178009,0.95,3700.0,0.5
37,0.846334,0.12544416,0.26196808,0.15563694,760.0,-0.69913805,0.95,3800.0,0.43
38,0.84640616,0.12513424,0.26210934,0.15531701,780.0,-0.34167528,1.0,3900.0,0.53
39,0.8465586,0.12529503,0.26212278,0.15529087,800.0,-0.5880106,1.0,4000.0,0.43
