epoch,p0/stats_g/mean,p0/stats_g/std,p0/stats_o/mean,p0/stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.8677643,0.10345223,0.20665991,0.07243443,20.0,-1.4979321,0.25,40.0,0.075
1,0.86115783,0.10177651,0.20571074,0.081308715,40.0,-2.5449088,0.1,80.0,0.075
2,0.85740286,0.10039851,0.20590511,0.08614364,60.0,-1.5798795,0.75,120.0,0.1
3,0.8561273,0.101714075,0.20487411,0.090686634,80.0,-2.4637008,0.45,160.0,0.05
4,0.85383034,0.102483295,0.2040336,0.09497673,100.0,-2.6300254,0.45,200.0,0.125
5,0.85196465,0.10633355,0.2032966,0.1021066,120.0,-3.3579667,0.2,240.0,0.025
6,0.85193205,0.10809544,0.20454289,0.10632328,140.0,-2.4640403,0.55,280.0,0.025
7,0.84901905,0.11166653,0.20413846,0.11215068,160.0,-3.9705403,0.3,320.0,0.0
8,0.84814185,0.11387839,0.20438728,0.114816055,180.0,-4.771278,0.15,360.0,0.05
9,0.8484878,0.11505973,0.20477495,0.12017567,200.0,-5.077791,0.25,400.0,0.0
10,0.848953,0.115331076,0.20491654,0.12201658,220.0,-7.192031,0.0,440.0,0.0
11,0.8488588,0.11635246,0.20544994,0.123647064,240.0,-6.3693504,0.05,480.0,0.025
12,0.84803843,0.11758238,0.20495528,0.12543172,260.0,-6.7039976,0.05,520.0,0.025
13,0.84778833,0.121741004,0.20575242,0.12795684,280.0,-5.908956,0.05,560.0,0.025
14,0.84789705,0.12221258,0.20564047,0.12966178,300.0,-7.06913,0.1,600.0,0.075
15,0.8470482,0.12446523,0.20508331,0.1321692,320.0,-6.117246,0.15,640.0,0.0
16,0.8467025,0.1255954,0.20549618,0.13371947,340.0,-5.8693447,0.2,680.0,0.05
17,0.8466368,0.12678392,0.20544691,0.13583106,360.0,-7.156926,0.15,720.0,0.05
18,0.8462201,0.12683596,0.2051703,0.13717526,380.0,-7.478575,0.15,760.0,0.075
19,0.8460209,0.12564114,0.20553455,0.13777895,400.0,-7.4066467,0.1,800.0,0.075
20,0.84556407,0.12534742,0.20557071,0.13907279,420.0,-7.9218917,0.1,840.0,0.075
21,0.8455043,0.1245389,0.20592909,0.13927822,440.0,-7.6046624,0.1,880.0,0.075
22,0.84550875,0.12399352,0.20554107,0.1399254,460.0,-7.371656,0.2,920.0,0.1
23,0.8450112,0.12357398,0.20504884,0.14052713,480.0,-7.5770583,0.0,960.0,0.0
24,0.8448734,0.12360868,0.20543113,0.14147964,500.0,-10.842697,0.0,1000.0,0.1
25,0.84486455,0.123879135,0.20583695,0.14217754,520.0,-10.095135,0.05,1040.0,0.125
26,0.8443673,0.12322939,0.20591563,0.14251228,540.0,-8.197055,0.2,1080.0,0.1
27,0.8445154,0.12276459,0.20554332,0.14250824,560.0,-10.46748,0.1,1120.0,0.125
28,0.8442345,0.122095525,0.20505789,0.14239876,580.0,-6.431407,0.35,1160.0,0.225
29,0.8440694,0.121665336,0.20495932,0.142884,600.0,-9.360268,0.05,1200.0,0.075
30,0.8438334,0.12177724,0.20486118,0.14281462,620.0,-9.038083,0.2,1240.0,0.1
31,0.8435176,0.121984996,0.20485514,0.14333382,640.0,-9.744064,0.1,1280.0,0.175
32,0.84357214,0.122706465,0.20500046,0.14378959,660.0,-9.844096,0.1,1320.0,0.1
33,0.8434636,0.123561524,0.20487826,0.14441621,680.0,-8.225709,0.15,1360.0,0.025
34,0.84313697,0.12300241,0.20480968,0.14469737,700.0,-6.743664,0.4,1400.0,0.225
35,0.843154,0.12298805,0.20477504,0.14508365,720.0,-8.954805,0.35,1440.0,0.175
36,0.8433667,0.123169966,0.2049758,0.14535362,740.0,-8.944092,0.25,1480.0,0.15
37,0.8431799,0.12308893,0.20483384,0.14546423,760.0,-8.650232,0.4,1520.0,0.125
38,0.8429529,0.12302151,0.20484647,0.14571014,780.0,-7.4508996,0.3,1560.0,0.175
39,0.8428724,0.12334844,0.20505409,0.1458635,800.0,-8.032743,0.15,1600.0,0.175
40,0.8425856,0.123169996,0.20506391,0.14621866,820.0,-9.984287,0.25,1640.0,0.3
41,0.84249777,0.124182284,0.20512815,0.1468407,840.0,-7.9525957,0.35,1680.0,0.125
42,0.8425265,0.12399027,0.205116,0.1468683,860.0,-6.9158926,0.45,1720.0,0.225
43,0.84245086,0.123997696,0.20511384,0.14736308,880.0,-5.5233946,0.6,1760.0,0.225
44,0.8424854,0.12379555,0.20499659,0.14746585,900.0,-8.204059,0.25,1800.0,0.2
45,0.8425362,0.1239601,0.20461015,0.1475212,920.0,-11.13196,0.15,1840.0,0.025
46,0.842472,0.12381456,0.20428509,0.14729014,940.0,-8.15297,0.5,1880.0,0.375
47,0.84233636,0.123633265,0.20393077,0.14781651,960.0,-6.3597994,0.45,1920.0,0.3
48,0.84198743,0.12415031,0.2039716,0.14824276,980.0,-6.465108,0.4,1960.0,0.1
