# {"t_start": 1584632801.4423275, "env_id": "FetchPickAndPlace-v1"} 
r,l,t
-50.0,50,4.086827
-38.0,50,5.228674
-44.0,50,6.275434
-38.0,50,7.34694
-38.0,50,8.399929
-44.0,50,9.46847
-38.0,50,10.537915
-44.0,50,11.609834
-38.0,50,12.696201
-38.0,50,13.783995
-38.0,50,14.886791
-44.0,50,15.986304
-38.0,50,17.073805
-38.0,50,18.174766
-50.0,50,19.268775
-38.0,50,20.376992
-44.0,50,21.496613
-44.0,50,22.586364
-38.0,50,23.716895
-10.0,50,24.843881
-38.0,50,25.986192
-38.0,50,26.168743
-17.0,50,26.336297
-38.0,50,26.493731
-38.0,50,26.676346
-38.0,50,26.849002
-38.0,50,27.029943
-38.0,50,27.206818
-38.0,50,27.383735
-38.0,50,27.563936
-38.0,50,27.781865
-38.0,50,28.913247
-38.0,50,30.038832
-38.0,50,31.15233
-38.0,50,32.278789
-16.0,50,33.421933
-15.0,50,34.558561
-16.0,50,35.70607
-38.0,50,36.852062
13.0,50,38.005492
-38.0,50,39.188078
-38.0,50,40.37756
-38.0,50,41.555548
-38.0,50,42.718409
-13.0,50,43.905018
-38.0,50,45.096461
-38.0,50,46.291982
-38.0,50,47.488395
-38.0,50,48.67731
-16.0,50,49.88201
17.0,50,51.081442
-38.0,50,51.265188
-14.0,50,51.441328
-38.0,50,51.613702
-38.0,50,51.796559
-15.0,50,51.97805
-38.0,50,52.151537
-38.0,50,52.318833
-38.0,50,52.497793
-38.0,50,52.672929
-38.0,50,52.838729
-38.0,50,54.033873
-38.0,50,55.218558
-38.0,50,56.418988
-38.0,50,57.619555
-38.0,50,58.819474
-38.0,50,60.030347
-38.0,50,61.227112
-38.0,50,62.43471
-38.0,50,63.648364
-17.0,50,64.869198
10.0,50,66.099336
-38.0,50,67.327289
-38.0,50,68.561408
-38.0,50,69.802695
-38.0,50,71.039623
-38.0,50,72.296771
-38.0,50,73.531207
-38.0,50,74.771868
-38.0,50,76.01638
-38.0,50,77.274963
-38.0,50,77.453219
7.0,50,77.643502
-38.0,50,77.818786
-38.0,50,77.987586
7.0,50,78.180559
-38.0,50,78.358646
-14.0,50,78.53451
-38.0,50,78.718152
-38.0,50,78.903139
-11.0,50,79.079233
-38.0,50,80.319977
-38.0,50,81.554879
-38.0,50,82.794643
-38.0,50,84.044983
-38.0,50,85.298753
-38.0,50,86.563481
-38.0,50,87.831401
-38.0,50,89.100297
-38.0,50,90.36526
-9.0,50,91.635502
-44.0,50,92.893643
-38.0,50,94.157332
-5.0,50,95.445338
-38.0,50,96.713991
-38.0,50,97.981127
-38.0,50,99.279333
-38.0,50,100.569734
-38.0,50,101.849448
-38.0,50,103.130026
-38.0,50,104.407183
-12.0,50,104.578935
-38.0,50,104.755779
11.0,50,104.931295
-38.0,50,105.108057
-38.0,50,105.28227
-38.0,50,105.455073
19.0,50,105.622425
-38.0,50,105.800196
-38.0,50,105.976567
-38.0,50,106.153189
-15.0,50,107.450399
-38.0,50,108.734235
-44.0,50,110.023364
-38.0,50,111.317991
-38.0,50,112.618475
-38.0,50,113.916907
-44.0,50,115.223832
-38.0,50,116.536249
-38.0,50,117.812808
-38.0,50,119.118702
-38.0,50,120.425283
-38.0,50,121.720926
-38.0,50,123.027002
-17.0,50,124.331212
-38.0,50,125.625153
-38.0,50,126.9318
-38.0,50,128.254534
-38.0,50,129.587016
-38.0,50,130.893174
18.0,50,132.240982
-38.0,50,132.429753
-38.0,50,132.596017
17.0,50,132.780178
-38.0,50,132.951342
15.0,50,133.12977
12.0,50,133.309348
-38.0,50,133.493843
-38.0,50,133.6778
12.0,50,133.864651
-38.0,50,134.044462
-38.0,50,135.374057
-38.0,50,136.71587
-38.0,50,138.048054
-38.0,50,139.372707
-38.0,50,140.693707
-38.0,50,142.017632
-38.0,50,143.353044
-38.0,50,144.718181
-38.0,50,146.06765
-38.0,50,147.413867
-38.0,50,148.758102
-15.0,50,150.1127
-38.0,50,151.463718
-38.0,50,152.820199
-38.0,50,154.180506
-38.0,50,155.533481
-38.0,50,156.884064
-38.0,50,158.237409
-38.0,50,159.608078
-38.0,50,160.990766
18.0,50,161.169631
6.0,50,161.348935
2.0,50,161.543344
11.0,50,161.735638
-38.0,50,161.904289
-38.0,50,162.086794
9.0,50,162.2817
-38.0,50,162.45643
14.0,50,162.627283
-38.0,50,162.797153
-38.0,50,164.164448
-38.0,50,165.544259
-38.0,50,166.927989
-44.0,50,168.318204
-38.0,50,169.693736
-38.0,50,171.086756
-44.0,50,172.481134
-38.0,50,173.871582
-38.0,50,175.264161
-38.0,50,176.659013
10.0,50,178.063594
-38.0,50,179.462514
6.0,50,180.878379
-38.0,50,182.26968
-38.0,50,183.67424
-38.0,50,185.085308
-38.0,50,186.498051
10.0,50,187.912261
-38.0,50,189.327733
-38.0,50,190.748973
-38.0,50,190.930766
-38.0,50,191.112752
-38.0,50,191.292492
-38.0,50,191.471686
-38.0,50,191.651217
-38.0,50,191.832955
-38.0,50,192.006946
-38.0,50,192.181572
-38.0,50,192.354266
-38.0,50,192.538485
-38.0,50,193.967598
-38.0,50,195.380045
-38.0,50,196.811321
-38.0,50,198.242186
-38.0,50,199.686036
-38.0,50,201.132501
-38.0,50,202.571804
-38.0,50,204.004811
-38.0,50,205.441959
-38.0,50,206.906551
-38.0,50,208.350902
-38.0,50,209.816466
-38.0,50,211.268303
-38.0,50,212.729806
-1.0,50,214.194268
-38.0,50,215.649801
-38.0,50,217.114624
-50.0,50,218.596381
-50.0,50,220.097571
-38.0,50,221.604344
-13.0,50,221.775372
13.0,50,221.951137
-38.0,50,222.124565
14.0,50,222.319253
12.0,50,222.50049
-38.0,50,222.66238
8.0,50,222.84201
14.0,50,223.02704
-38.0,50,223.196521
-38.0,50,223.367188
-38.0,50,224.82829
-38.0,50,226.294278
-38.0,50,227.769606
-38.0,50,229.258163
-38.0,50,230.742527
-38.0,50,232.23622
-38.0,50,233.71275
-38.0,50,235.190638
-38.0,50,236.674133
-38.0,50,238.16371
-38.0,50,239.644681
-12.0,50,241.132786
-38.0,50,242.604234
-38.0,50,244.101411
-38.0,50,245.597706
-16.0,50,247.096702
12.0,50,248.606323
-38.0,50,250.107553
16.0,50,251.618631
13.0,50,253.1439
-38.0,50,253.311685
15.0,50,253.491384
-13.0,50,253.665246
8.0,50,253.846025
-38.0,50,254.012103
-38.0,50,254.18466
-38.0,50,254.353237
-38.0,50,254.51507
-38.0,50,254.696895
-38.0,50,254.872798
-38.0,50,256.38234
-38.0,50,257.890982
17.0,50,259.422681
-38.0,50,260.95275
-38.0,50,262.494491
-44.0,50,264.016915
-38.0,50,265.548523
-38.0,50,267.082057
-38.0,50,268.621041
-38.0,50,270.139024
-50.0,50,271.680687
-38.0,50,273.218904
-38.0,50,274.757661
-7.0,50,276.287738
-44.0,50,277.834235
-38.0,50,279.389627
-38.0,50,280.948193
-38.0,50,282.51228
-38.0,50,284.078376
-38.0,50,285.647793
-38.0,50,285.807768
-38.0,50,285.983692
-38.0,50,286.156105
-38.0,50,286.333852
-38.0,50,286.512994
16.0,50,286.684819
-38.0,50,286.8595
-38.0,50,287.035629
-38.0,50,287.207797
-6.0,50,287.387419
-38.0,50,288.97561
-38.0,50,290.549444
-38.0,50,292.154831
-38.0,50,293.765879
-38.0,50,295.359091
-38.0,50,296.97425
-38.0,50,298.588253
-38.0,50,300.178473
-38.0,50,301.784749
-38.0,50,303.393431
-38.0,50,304.995767
-38.0,50,306.596652
-38.0,50,308.218318
-38.0,50,309.829557
-38.0,50,311.436868
-38.0,50,313.024278
-38.0,50,314.597152
-38.0,50,316.171725
-38.0,50,317.771547
17.0,50,319.369308
5.0,50,319.55444
-38.0,50,319.726638
10.0,50,319.905726
-38.0,50,320.088258
8.0,50,320.265338
11.0,50,320.433299
-38.0,50,320.608191
13.0,50,320.786992
-38.0,50,320.966625
-38.0,50,321.151619
-38.0,50,322.81374
-50.0,50,324.448202
-38.0,50,326.101493
-38.0,50,327.751201
-38.0,50,329.406677
-38.0,50,331.057328
-38.0,50,332.721303
-38.0,50,334.374213
-38.0,50,336.027606
-38.0,50,337.694454
-38.0,50,339.384932
-38.0,50,341.055137
-38.0,50,342.727145
-38.0,50,344.391701
-38.0,50,346.065117
-38.0,50,347.729176
-38.0,50,349.386218
-38.0,50,351.079304
-50.0,50,352.757205
-38.0,50,354.440457
-38.0,50,354.624215
-38.0,50,354.809249
13.0,50,354.99734
-38.0,50,355.16891
-38.0,50,355.340409
-3.0,50,355.549191
-38.0,50,355.729993
-38.0,50,355.89336
-38.0,50,356.085083
-38.0,50,356.2561
-38.0,50,357.923633
-38.0,50,359.617621
-38.0,50,361.301478
-38.0,50,362.989636
-38.0,50,364.684217
-38.0,50,366.368683
-38.0,50,368.066196
-44.0,50,369.741933
-38.0,50,371.437945
-38.0,50,373.130546
-38.0,50,374.834709
-38.0,50,376.54375
-38.0,50,378.243214
-38.0,50,379.947192
-38.0,50,381.641946
-38.0,50,383.35566
-38.0,50,385.077892
-38.0,50,386.792142
-38.0,50,388.519671
-38.0,50,390.262735
-38.0,50,390.430589
13.0,50,390.609742
-38.0,50,390.768557
-38.0,50,390.952622
-38.0,50,391.134318
-38.0,50,391.303346
-38.0,50,391.475989
-38.0,50,391.646413
25.0,50,391.825949
-38.0,50,392.004067
-44.0,50,393.727168
-50.0,50,395.467401
-38.0,50,397.206643
-38.0,50,398.947444
-38.0,50,400.693353
-12.0,50,402.440421
-50.0,50,404.184203
-38.0,50,405.943785
-38.0,50,407.69407
-38.0,50,409.445312
-38.0,50,411.206019
-38.0,50,412.953347
-38.0,50,414.728591
-50.0,50,416.478534
-38.0,50,418.226977
-38.0,50,419.970245
-38.0,50,421.741869
-38.0,50,423.49982
-38.0,50,425.25562
-38.0,50,427.043546
13.0,50,427.223592
14.0,50,427.407312
-38.0,50,427.586286
-38.0,50,427.774004
14.0,50,427.954633
13.0,50,428.143575
-38.0,50,428.323606
15.0,50,428.503388
-38.0,50,428.683447
-38.0,50,428.858855
-38.0,50,430.644262
-50.0,50,432.417106
-38.0,50,434.192115
-38.0,50,435.973405
-44.0,50,437.757943
-50.0,50,439.597584
-38.0,50,441.395023
-38.0,50,443.186405
-38.0,50,444.973784
-38.0,50,446.750123
-50.0,50,448.534945
-38.0,50,450.325447
-50.0,50,452.125438
-38.0,50,453.919708
-38.0,50,455.720246
-50.0,50,457.517009
-38.0,50,459.343334
-50.0,50,461.18794
-38.0,50,463.004439
-38.0,50,464.828472
-38.0,50,465.009402
15.0,50,465.192328
12.0,50,465.373957
16.0,50,465.554574
-38.0,50,465.724174
-38.0,50,465.898327
-38.0,50,466.074324
-38.0,50,466.253732
-13.0,50,466.434027
-38.0,50,466.611062
-38.0,50,468.443032
-38.0,50,470.263257
-38.0,50,472.078593
-38.0,50,473.883066
-44.0,50,475.695753
-38.0,50,477.532306
-44.0,50,479.373201
-38.0,50,481.184957
-38.0,50,483.016114
-38.0,50,484.870356
-38.0,50,486.723794
-38.0,50,488.575485
-38.0,50,490.411901
-38.0,50,492.278145
-38.0,50,494.152863
-38.0,50,496.027476
-15.0,50,497.911407
-50.0,50,499.772333
-38.0,50,501.62359
-38.0,50,503.511733
-38.0,50,503.716653
12.0,50,503.903973
-38.0,50,504.086751
-38.0,50,504.275926
-38.0,50,504.457197
-38.0,50,504.62925
19.0,50,504.841758
-44.0,50,505.021909
-44.0,50,505.194893
-38.0,50,505.367732
-38.0,50,507.260675
-38.0,50,509.143339
-38.0,50,511.038631
-38.0,50,512.936803
-50.0,50,514.819211
-38.0,50,516.720179
20.0,50,518.618668
-44.0,50,520.5352
-38.0,50,522.429888
-16.0,50,524.337356
-50.0,50,526.233424
-44.0,50,528.136369
-38.0,50,530.064492
-38.0,50,531.967877
-38.0,50,533.865914
-38.0,50,535.761902
-38.0,50,537.696967
-38.0,50,539.603898
-50.0,50,541.511702
-16.0,50,543.451668
-38.0,50,543.609301
-38.0,50,543.793905
-38.0,50,543.972091
-38.0,50,544.166989
-38.0,50,544.360893
19.0,50,544.546814
-38.0,50,544.737437
-38.0,50,544.908587
-12.0,50,545.094451
-38.0,50,545.266762
-38.0,50,547.183969
-38.0,50,549.102204
-38.0,50,551.028217
9.0,50,552.996521
-50.0,50,554.922689
-38.0,50,556.87665
19.0,50,558.822145
-38.0,50,560.767546
-50.0,50,562.735525
-38.0,50,564.698643
-38.0,50,566.679801
13.0,50,568.632759
1.0,50,570.585501
-38.0,50,572.543396
-38.0,50,574.504596
18.0,50,576.477587
-38.0,50,578.452403
-50.0,50,580.413285
-38.0,50,582.340696
-38.0,50,584.279686
-38.0,50,584.468487
-38.0,50,584.635381
-38.0,50,584.802079
-44.0,50,584.978409
-38.0,50,585.152748
-38.0,50,585.315475
-38.0,50,585.472248
-38.0,50,585.648481
-38.0,50,585.824198
-38.0,50,585.998208
-50.0,50,587.975192
18.0,50,589.974815
-38.0,50,591.970086
9.0,50,593.96985
-15.0,50,595.988659
-50.0,50,597.988074
-38.0,50,599.991527
-38.0,50,602.035572
-38.0,50,604.068129
-38.0,50,606.107006
-38.0,50,608.146986
-38.0,50,610.142402
-50.0,50,612.140433
-38.0,50,614.16851
8.0,50,616.1689
13.0,50,618.170682
-50.0,50,620.179731
-15.0,50,622.20603
-50.0,50,624.219165
-38.0,50,626.257894
7.0,50,626.434496
-38.0,50,626.609624
-38.0,50,626.777792
-38.0,50,626.96871
-38.0,50,627.14876
-1.0,50,627.332696
-38.0,50,627.496076
6.0,50,627.680762
-38.0,50,627.861038
-50.0,50,628.032775
-13.0,50,630.064026
-38.0,50,632.094126
-38.0,50,634.116688
-38.0,50,636.157993
-38.0,50,638.21953
-38.0,50,640.253541
-38.0,50,642.292888
-10.0,50,644.337198
-38.0,50,646.37939
-50.0,50,648.421022
-38.0,50,650.487733
-50.0,50,652.559986
-38.0,50,654.599269
-38.0,50,656.660084
-38.0,50,658.764765
-38.0,50,660.840733
-38.0,50,662.901997
-38.0,50,664.957421
-50.0,50,667.027316
-38.0,50,669.114513
-38.0,50,669.281317
18.0,50,669.460925
-38.0,50,669.644881
18.0,50,669.817917
-38.0,50,669.993024
-38.0,50,670.17375
-38.0,50,670.351214
-38.0,50,670.52764
-38.0,50,670.704529
-50.0,50,670.865356
-15.0,50,672.950259
-38.0,50,675.044667
-38.0,50,677.133372
-38.0,50,679.239509
-38.0,50,681.334788
-38.0,50,683.398021
-38.0,50,685.489027
-38.0,50,687.57031
-11.0,50,689.662033
-44.0,50,691.740268
-38.0,50,693.834321
-38.0,50,695.943171
-38.0,50,698.044918
16.0,50,700.158184
-38.0,50,702.26785
-44.0,50,704.406117
-50.0,50,706.510155
-38.0,50,708.619803
-38.0,50,710.720815
-1.0,50,712.860875
13.0,50,713.063301
19.0,50,713.257223
-38.0,50,713.437837
-38.0,50,713.614351
-38.0,50,713.826337
20.0,50,713.996474
-38.0,50,714.163784
18.0,50,714.345482
-38.0,50,714.508955
-38.0,50,714.675081
-38.0,50,716.786022
-38.0,50,718.894458
17.0,50,720.963387
-38.0,50,723.006373
-38.0,50,725.124111
-38.0,50,727.218666
-38.0,50,729.301674
-38.0,50,731.390409
-38.0,50,733.456153
-38.0,50,735.523216
-38.0,50,737.614029
-13.0,50,739.713315
-38.0,50,741.817415
-38.0,50,743.903393
-38.0,50,746.013261
-44.0,50,748.110567
-38.0,50,750.206515
-38.0,50,752.309789
-38.0,50,754.42826
-38.0,50,756.547705
-38.0,50,756.707228
-38.0,50,756.884426
11.0,50,757.068751
-38.0,50,757.229414
-11.0,50,757.394378
16.0,50,757.575272
-38.0,50,757.741025
12.0,50,757.915869
6.0,50,758.090087
-38.0,50,758.25917
-38.0,50,760.409358
-38.0,50,762.564768
-38.0,50,764.717757
-38.0,50,766.891911
-38.0,50,769.07733
-44.0,50,771.245571
-38.0,50,773.395532
-17.0,50,775.555702
-38.0,50,777.779136
-38.0,50,779.994686
-16.0,50,782.204987
-38.0,50,784.394577
-38.0,50,786.597168
-38.0,50,788.815629
3.0,50,791.053043
-38.0,50,793.267373
-38.0,50,795.486251
-38.0,50,797.727606
-38.0,50,799.919426
-38.0,50,802.141333
-38.0,50,802.312592
-38.0,50,802.496514
-38.0,50,802.661795
-38.0,50,802.833774
-38.0,50,802.995261
-38.0,50,803.163823
-38.0,50,803.338779
-38.0,50,803.517435
-38.0,50,803.684495
-38.0,50,803.852259
-38.0,50,806.058362
-38.0,50,808.252989
-38.0,50,810.435273
-38.0,50,812.633232
-38.0,50,814.834842
-38.0,50,817.046451
-38.0,50,819.26281
-38.0,50,821.489882
-38.0,50,823.747795
-44.0,50,826.001771
-38.0,50,828.266088
-50.0,50,830.511393
-38.0,50,832.764146
-38.0,50,835.014006
-38.0,50,837.274728
-38.0,50,839.5164
-38.0,50,841.763677
-38.0,50,844.048492
21.0,50,846.32667
-38.0,50,848.611885
-38.0,50,848.806801
-44.0,50,848.981266
23.0,50,849.171851
21.0,50,849.338552
-38.0,50,849.509137
23.0,50,849.684987
-38.0,50,849.876363
-38.0,50,850.069096
-38.0,50,850.241976
-38.0,50,850.425815
-38.0,50,852.69435
-38.0,50,854.950783
-44.0,50,857.213093
-38.0,50,859.492974
-13.0,50,861.806704
-38.0,50,864.05479
-38.0,50,866.320407
-13.0,50,868.624079
-38.0,50,870.910146
-38.0,50,873.194476
-44.0,50,875.474162
-38.0,50,877.729344
23.0,50,880.017783
-38.0,50,882.283477
-38.0,50,884.560311
-38.0,50,886.865462
-8.0,50,889.172738
-38.0,50,891.461826
-38.0,50,893.749922
-13.0,50,896.084551
-38.0,50,896.267304
-38.0,50,896.435903
22.0,50,896.605211
-38.0,50,896.770603
-38.0,50,896.964718
-38.0,50,897.146023
-38.0,50,897.310339
7.0,50,897.521024
17.0,50,897.695783
-38.0,50,897.86878
-38.0,50,900.165322
11.0,50,902.474066
-38.0,50,904.763674
-38.0,50,907.066509
15.0,50,909.365169
-38.0,50,911.669388
-38.0,50,913.961441
-38.0,50,916.25293
-38.0,50,918.566527
-38.0,50,920.882744
-38.0,50,923.181599
22.0,50,925.485443
-38.0,50,927.78361
-38.0,50,930.094691
-38.0,50,932.394211
-38.0,50,934.700278
-38.0,50,937.017802
-44.0,50,939.33592
-11.0,50,941.673254
-38.0,50,944.009395
-38.0,50,944.180391
-44.0,50,944.364163
19.0,50,944.551245
-38.0,50,944.711969
-38.0,50,944.896549
-38.0,50,945.076551
