epoch,p0/stats_g/mean,p0/stats_g/std,p0/stats_o/mean,p0/stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.8638764,0.10738626,0.20305614,0.087744586,20.0,-1.6158813,0.15,100.0,0.03
1,0.85623074,0.112144314,0.20198445,0.104814634,40.0,-1.7996445,0.1,200.0,0.04
2,0.85337836,0.11243046,0.20369442,0.11572155,60.0,-2.4741826,0.1,300.0,0.03
3,0.8502497,0.116758294,0.20298027,0.12278338,80.0,-3.1990523,0.05,400.0,0.04
4,0.8471744,0.11944876,0.20404877,0.125121,100.0,-3.635781,0.1,500.0,0.04
5,0.8452833,0.11781162,0.20492025,0.1267784,120.0,-5.110403,0.0,600.0,0.04
6,0.8447399,0.121602915,0.20572491,0.1313748,140.0,-5.4997663,0.1,700.0,0.03
7,0.84463114,0.12210157,0.20626885,0.13233732,160.0,-5.806165,0.05,800.0,0.04
8,0.8440304,0.12008382,0.20559366,0.13233314,180.0,-4.9103804,0.35,900.0,0.08
9,0.8438382,0.11846498,0.20492825,0.13260867,200.0,-4.4800873,0.25,1000.0,0.12
10,0.8435305,0.117538355,0.20461844,0.13305916,220.0,-6.8636527,0.25,1100.0,0.15
11,0.8437345,0.11625513,0.2047215,0.13270648,240.0,-6.209401,0.35,1200.0,0.12
12,0.84421515,0.11475733,0.20460913,0.13191998,260.0,-6.583513,0.3,1300.0,0.13
13,0.8437775,0.113645874,0.20477776,0.13139553,280.0,-7.2588973,0.35,1400.0,0.11
14,0.8433134,0.1126812,0.20422281,0.13046098,300.0,-7.908433,0.35,1500.0,0.1
15,0.8434591,0.11286009,0.20417853,0.13064006,320.0,-3.2588096,0.55,1600.0,0.19
16,0.84365845,0.11208078,0.20453478,0.13006301,340.0,-6.0363226,0.4,1700.0,0.09
17,0.84305555,0.11187506,0.20432805,0.12963831,360.0,-6.393687,0.4,1800.0,0.19
18,0.84313065,0.11107472,0.20420027,0.12915176,380.0,-5.1227903,0.5,1900.0,0.21
19,0.8428926,0.111067176,0.20413353,0.12881802,400.0,-7.851989,0.35,2000.0,0.19
20,0.84270865,0.11051866,0.2039091,0.12909478,420.0,-7.5347548,0.35,2100.0,0.17
21,0.8424466,0.1101217,0.20360722,0.12841639,440.0,-7.688165,0.35,2200.0,0.27
22,0.84238344,0.110343605,0.20372288,0.128118,460.0,-6.8997965,0.45,2300.0,0.15
23,0.84219366,0.11078463,0.20368564,0.12844516,480.0,-3.413571,0.8,2400.0,0.18
24,0.84266967,0.11033132,0.20388918,0.12768212,500.0,-7.8786583,0.55,2500.0,0.23
25,0.84280616,0.10972908,0.20397764,0.12703662,520.0,-6.639773,0.55,2600.0,0.24
26,0.8428211,0.109643884,0.20396541,0.12654126,540.0,-8.35684,0.4,2700.0,0.27
27,0.84242725,0.10933957,0.20405856,0.12603404,560.0,-4.6216187,0.75,2800.0,0.27
28,0.8422861,0.10921911,0.20414013,0.12588835,580.0,-3.231385,0.8,2900.0,0.24
29,0.8426047,0.10889167,0.20429577,0.12578364,600.0,-5.5458264,0.5,3000.0,0.2
30,0.8428468,0.10879833,0.20431666,0.12544535,620.0,-13.663104,0.35,3100.0,0.26
31,0.842891,0.10902288,0.20445733,0.1253478,640.0,-5.906193,0.7,3200.0,0.33
32,0.84296113,0.10946747,0.20454293,0.12544528,660.0,-11.310072,0.35,3300.0,0.24
33,0.8429293,0.10909796,0.20440505,0.1250354,680.0,-11.445762,0.5,3400.0,0.36
34,0.84284216,0.10899574,0.2043139,0.124906376,700.0,-5.3251033,0.65,3500.0,0.29
35,0.84283465,0.1087297,0.20424375,0.12425429,720.0,-6.909795,0.6,3600.0,0.35
36,0.8428373,0.109196596,0.20444888,0.12436822,740.0,-6.310304,0.6,3700.0,0.23
37,0.8429427,0.10925922,0.2044047,0.12394026,760.0,-11.076722,0.35,3800.0,0.27
38,0.8430713,0.10910785,0.20441346,0.123684265,780.0,-5.1802382,0.65,3900.0,0.3
39,0.84309864,0.10904052,0.20446175,0.12374167,800.0,-5.807227,0.6,4000.0,0.23
