# {"t_start": 1584772090.0114813, "env_id": "FetchPickAndPlace-v1"} 
r,l,t
-50.0,50,3.676814
-50.0,50,4.609532
-50.0,50,5.444207
-50.0,50,6.253366
-50.0,50,7.09318
-50.0,50,7.933937
-50.0,50,8.759569
-38.0,50,9.587898
-50.0,50,10.431243
-50.0,50,11.255727
-50.0,50,12.094384
-38.0,50,12.945367
-50.0,50,13.802585
-50.0,50,14.690154
-50.0,50,15.548847
-38.0,50,16.408999
-38.0,50,17.298614
-38.0,50,18.183402
-38.0,50,19.063902
-50.0,50,19.950814
-38.0,50,20.824487
-38.0,50,21.702704
-50.0,50,22.57767
-50.0,50,23.452607
-50.0,50,24.343226
-38.0,50,25.253577
-44.0,50,26.151331
-50.0,50,27.063581
-50.0,50,27.979228
-50.0,50,28.908567
-38.0,50,29.831775
-38.0,50,30.77419
-44.0,50,31.730117
-38.0,50,32.656979
-38.0,50,33.582648
-38.0,50,34.509825
-50.0,50,35.436782
-38.0,50,36.372002
-50.0,50,37.314089
-38.0,50,38.246568
-38.0,50,39.187418
-38.0,50,40.127675
-38.0,50,41.067713
-50.0,50,42.033881
-38.0,50,43.017946
-4.0,50,44.012772
-16.0,50,45.008253
-38.0,50,45.998215
-16.0,50,46.999573
-38.0,50,48.000933
-38.0,50,49.038211
-38.0,50,49.211161
-38.0,50,49.389064
-38.0,50,49.562377
-38.0,50,49.721466
-38.0,50,49.90393
-38.0,50,50.066983
-38.0,50,50.221042
-38.0,50,50.382514
-38.0,50,50.552432
-38.0,50,50.747045
-38.0,50,51.759003
-38.0,50,52.772664
-38.0,50,53.792791
-38.0,50,54.832551
-17.0,50,55.870671
-38.0,50,56.905151
-38.0,50,57.979813
-38.0,50,59.030567
-38.0,50,60.092373
-38.0,50,61.167734
-9.0,50,62.240902
-12.0,50,63.310904
-38.0,50,64.378572
-38.0,50,65.44259
-38.0,50,66.518524
-38.0,50,67.604763
-38.0,50,68.69639
-38.0,50,69.808012
-38.0,50,70.921352
-38.0,50,72.008456
-16.0,50,73.097661
-38.0,50,74.196087
-38.0,50,75.300534
-38.0,50,76.405835
-38.0,50,77.547689
-17.0,50,78.589759
-44.0,50,79.637469
-38.0,50,80.680349
-38.0,50,81.781529
-38.0,50,82.907273
-11.0,50,84.026104
-3.0,50,85.146304
-38.0,50,86.267031
13.0,50,87.392824
-15.0,50,88.514221
-38.0,50,89.638268
-38.0,50,90.745233
-44.0,50,91.872517
-38.0,50,93.006114
-2.0,50,94.168206
-11.0,50,95.319672
-38.0,50,96.377702
-38.0,50,97.443191
-38.0,50,98.515605
-38.0,50,99.580477
-6.0,50,100.651348
-38.0,50,101.740827
-13.0,50,102.829899
-38.0,50,103.929762
-38.0,50,105.050498
-38.0,50,105.219195
28.0,50,105.399965
-38.0,50,105.566093
-38.0,50,105.742146
-38.0,50,105.911442
22.0,50,106.07585
-38.0,50,106.250175
-38.0,50,106.416709
-38.0,50,106.581578
-38.0,50,106.738582
-38.0,50,107.93086
-38.0,50,109.084184
-38.0,50,110.251547
-38.0,50,111.439045
-38.0,50,112.607697
-38.0,50,113.787686
-38.0,50,114.960464
-38.0,50,116.135507
-38.0,50,117.343256
-38.0,50,118.53069
-38.0,50,119.736749
-38.0,50,120.968868
-38.0,50,122.160419
-38.0,50,123.367693
-38.0,50,124.59448
-38.0,50,125.818805
-14.0,50,127.017828
-38.0,50,128.238284
-15.0,50,129.458045
-38.0,50,130.693736
9.0,50,131.928101
-38.0,50,133.172707
-38.0,50,134.405973
-38.0,50,135.652387
-38.0,50,136.883081
-38.0,50,138.120092
-38.0,50,139.384503
-38.0,50,140.630057
-38.0,50,141.897376
-38.0,50,143.154113
-38.0,50,144.451645
-38.0,50,145.714312
-17.0,50,146.964987
-44.0,50,148.209208
-38.0,50,149.456432
-38.0,50,150.721791
-44.0,50,151.971737
23.0,50,153.230716
-38.0,50,154.486866
-38.0,50,155.766042
-38.0,50,157.037192
22.0,50,158.334187
-38.0,50,159.60415
-38.0,50,160.878875
-38.0,50,162.148088
-38.0,50,163.42012
-38.0,50,164.681187
-38.0,50,165.962672
-38.0,50,167.242564
-38.0,50,168.553831
-38.0,50,168.726655
-38.0,50,168.885338
-38.0,50,169.035435
-38.0,50,169.213271
-38.0,50,169.392819
-38.0,50,169.557137
-38.0,50,169.724503
-38.0,50,169.895582
-38.0,50,170.100038
-38.0,50,170.273537
-38.0,50,171.558717
-38.0,50,172.84954
-44.0,50,174.133876
-38.0,50,175.429947
-38.0,50,176.7336
-17.0,50,178.029197
-38.0,50,179.321881
-38.0,50,180.637779
-38.0,50,181.94431
-38.0,50,183.262611
-38.0,50,184.573041
-38.0,50,185.88583
-38.0,50,187.217027
