# {"t_start": 1585043640.2287877, "env_id": "FetchPickAndPlace-v1"} 
r,l,t
-50.0,50,4.059747
-38.0,50,5.167121
-38.0,50,6.23298
-38.0,50,7.260641
-44.0,50,8.283836
-38.0,50,9.307026
-38.0,50,10.330039
-38.0,50,11.35093
-38.0,50,12.379064
-38.0,50,13.407292
-38.0,50,14.436679
-44.0,50,15.468679
-38.0,50,16.514569
-38.0,50,17.555055
-38.0,50,18.594357
-38.0,50,19.637269
-38.0,50,20.685812
-38.0,50,21.73916
-38.0,50,22.797843
-38.0,50,23.871517
-38.0,50,24.977594
-38.0,50,25.142091
-38.0,50,25.317645
-38.0,50,25.483386
-38.0,50,25.659025
4.0,50,25.82961
-38.0,50,26.003263
-14.0,50,26.176887
-38.0,50,26.342889
-38.0,50,26.508369
-38.0,50,26.713105
-38.0,50,27.788515
-38.0,50,28.854573
-38.0,50,29.937438
-38.0,50,31.022671
-38.0,50,32.116701
-50.0,50,33.185288
-44.0,50,34.260728
-38.0,50,35.343451
-38.0,50,36.428443
-3.0,50,37.507514
-44.0,50,38.592283
-44.0,50,39.701957
-44.0,50,40.810489
-38.0,50,41.93478
-38.0,50,43.100128
-38.0,50,44.27983
-44.0,50,45.440256
-44.0,50,46.607444
-38.0,50,47.773888
-38.0,50,48.964631
-38.0,50,49.141875
21.0,50,49.315524
-38.0,50,49.493327
-38.0,50,49.677204
-38.0,50,49.861227
-38.0,50,50.039803
-38.0,50,50.216523
-38.0,50,50.377466
-38.0,50,50.562218
-38.0,50,50.725824
-38.0,50,51.927434
-38.0,50,53.09812
-4.0,50,54.274538
-16.0,50,55.468411
-38.0,50,56.668459
-38.0,50,57.853264
-44.0,50,59.048255
-38.0,50,60.292949
-44.0,50,61.50294
-44.0,50,62.71051
-38.0,50,63.950492
-38.0,50,65.174567
-38.0,50,66.403496
-38.0,50,67.648578
-38.0,50,68.880919
-38.0,50,70.11895
-38.0,50,71.388529
-38.0,50,72.63054
-38.0,50,73.860376
10.0,50,75.120534
-38.0,50,75.289299
-38.0,50,75.45748
-38.0,50,75.618643
-38.0,50,75.783525
