epoch,p0/stats_g/mean,p0/stats_g/std,p0/stats_o/mean,p0/stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.8673122,0.11454963,0.2529035,0.098796554,20.0,-1.367986,0.15,40.0,0.025
1,0.8615801,0.113518454,0.24909574,0.11455633,40.0,-2.3525033,0.1,80.0,0.0
2,0.86074835,0.113458,0.24898615,0.1234409,60.0,-2.9933448,0.1,120.0,0.075
3,0.85804033,0.12059026,0.24930695,0.12899064,80.0,-2.0217443,0.55,160.0,0.1
4,0.8531571,0.12811273,0.25074452,0.13428898,100.0,-2.752732,0.3,200.0,0.075
5,0.85067624,0.13332357,0.25191066,0.13913439,120.0,-4.919671,0.05,240.0,0.05
6,0.8497954,0.1327958,0.252542,0.14229341,140.0,-3.8106227,0.35,280.0,0.0
7,0.8481019,0.13434345,0.2540368,0.14488333,160.0,-4.034134,0.3,320.0,0.025
8,0.84738725,0.13510756,0.25462648,0.1461086,180.0,-4.0314593,0.3,360.0,0.05
9,0.8467565,0.13540603,0.25570133,0.14854246,200.0,-4.9988565,0.15,400.0,0.025
10,0.8468264,0.13557433,0.25588518,0.14941695,220.0,-6.038083,0.2,440.0,0.05
11,0.84510833,0.13527165,0.25520614,0.14990962,240.0,-6.597918,0.1,480.0,0.025
12,0.84471196,0.13488454,0.25458062,0.15215847,260.0,-9.047165,0.0,520.0,0.0
13,0.84414166,0.13615806,0.25492588,0.15336765,280.0,-8.073978,0.1,560.0,0.025
14,0.84257483,0.13794708,0.25500154,0.15487885,300.0,-7.5670357,0.0,600.0,0.05
15,0.84243983,0.13691384,0.25536588,0.15573652,320.0,-7.743515,0.05,640.0,0.025
16,0.84225863,0.1354705,0.2556765,0.15704592,340.0,-8.60997,0.1,680.0,0.025
17,0.8423583,0.13428564,0.25608987,0.15756059,360.0,-10.915994,0.0,720.0,0.025
18,0.84207624,0.13333035,0.25646904,0.15781187,380.0,-11.326052,0.0,760.0,0.1
19,0.8416813,0.13435201,0.25691712,0.15923153,400.0,-10.468917,0.05,800.0,0.075
