# {"t_start": 1585079525.5352292, "env_id": "FetchPickAndPlace-v1"} 
r,l,t
-50.0,50,3.765283
-50.0,50,4.784669
-50.0,50,5.824044
-50.0,50,6.801595
-44.0,50,7.763402
-50.0,50,8.714183
-50.0,50,9.658906
-50.0,50,10.621114
-50.0,50,11.566996
-38.0,50,12.541806
-44.0,50,13.51017
-38.0,50,14.497732
-50.0,50,15.488415
-38.0,50,16.48437
-38.0,50,17.456828
-38.0,50,18.443961
-38.0,50,19.427859
-38.0,50,20.441688
-38.0,50,21.456809
-50.0,50,22.45734
-38.0,50,23.488492
-38.0,50,24.520372
-38.0,50,25.578816
-38.0,50,26.624957
-44.0,50,27.672662
-38.0,50,28.719438
-38.0,50,29.76491
-38.0,50,30.818605
-38.0,50,31.887105
-38.0,50,32.981134
-38.0,50,34.095703
-38.0,50,35.182599
-38.0,50,36.252242
-38.0,50,37.291158
-38.0,50,38.380899
-38.0,50,39.461612
-38.0,50,40.5493
-38.0,50,41.674043
4.0,50,42.764879
-38.0,50,43.890087
-38.0,50,45.004199
-38.0,50,46.12727
-38.0,50,47.219981
-38.0,50,48.352814
-38.0,50,49.450651
-38.0,50,50.585998
-38.0,50,51.741908
-38.0,50,52.880889
-38.0,50,54.054007
-38.0,50,55.199543
-17.0,50,56.426149
-38.0,50,56.636461
-38.0,50,56.859119
-38.0,50,57.059269
-38.0,50,57.296324
-38.0,50,57.501159
10.0,50,57.713058
10.0,50,57.935626
-38.0,50,58.176974
-38.0,50,58.387473
-38.0,50,58.620288
-38.0,50,59.788437
-38.0,50,60.93557
-38.0,50,62.092952
5.0,50,63.27788
-38.0,50,64.43545
-38.0,50,65.640044
-38.0,50,66.85892
-38.0,50,68.057336
-38.0,50,69.274067
-13.0,50,70.485635
-38.0,50,71.707433
-38.0,50,72.91486
-38.0,50,74.174766
-38.0,50,75.396764
-38.0,50,76.644842
-38.0,50,77.903991
-38.0,50,79.153409
-38.0,50,80.409319
-38.0,50,81.658665
-12.0,50,82.903057
-38.0,50,84.164611
-38.0,50,85.363748
-38.0,50,86.599277
-38.0,50,87.868289
-38.0,50,89.104903
-38.0,50,90.344984
-38.0,50,91.562655
-38.0,50,92.843576
-38.0,50,94.126557
-38.0,50,95.413408
-38.0,50,96.698965
-38.0,50,98.018327
-12.0,50,99.341697
-38.0,50,100.660491
-38.0,50,102.00306
-38.0,50,103.324672
-38.0,50,104.739132
-38.0,50,106.248204
-38.0,50,107.667553
-38.0,50,109.245236
-38.0,50,110.67692
-38.0,50,112.118035
-38.0,50,113.562257
-38.0,50,115.023496
-38.0,50,116.440486
-38.0,50,117.904339
-38.0,50,119.342204
-38.0,50,120.803186
-8.0,50,122.270305
-38.0,50,123.749733
-38.0,50,123.953446
-38.0,50,124.157238
-38.0,50,124.380544
-38.0,50,124.606535
-17.0,50,124.814699
-38.0,50,125.020161
-38.0,50,125.242244
-38.0,50,125.476044
-38.0,50,125.685151
-38.0,50,125.889354
-38.0,50,127.346432
-38.0,50,128.79809
-38.0,50,130.267482
-38.0,50,131.736774
-38.0,50,133.224226
-38.0,50,134.736607
-38.0,50,136.235147
-38.0,50,137.720469
-38.0,50,139.230703
-38.0,50,140.735787
-38.0,50,142.207056
-38.0,50,143.728018
-38.0,50,145.226283
-38.0,50,146.74017
-38.0,50,148.275366
-38.0,50,149.795868
-38.0,50,151.303303
-38.0,50,152.830603
-38.0,50,154.359929
-38.0,50,155.891164
-38.0,50,157.439773
-38.0,50,158.993989
-38.0,50,160.526159
-38.0,50,162.081214
-38.0,50,163.609379
-38.0,50,165.151604
-38.0,50,166.713727
-38.0,50,168.25921
-38.0,50,169.818128
-38.0,50,171.42037
-38.0,50,173.06355
26.0,50,174.688462
-38.0,50,176.60444
-38.0,50,178.038105
-38.0,50,179.43967
-38.0,50,180.898415
-38.0,50,182.296
-38.0,50,183.859871
-38.0,50,185.415231
-38.0,50,187.03587
-38.0,50,188.459863
-38.0,50,189.949785
-2.0,50,191.508769
-38.0,50,193.300717
-38.0,50,195.103689
-38.0,50,196.767136
-38.0,50,198.354828
-17.0,50,203.50652
-38.0,50,205.713953
-38.0,50,207.32995
-38.0,50,207.536008
-38.0,50,207.735075
-8.0,50,207.954288
-38.0,50,208.172802
-38.0,50,208.398651
-38.0,50,208.618309
-38.0,50,208.856973
28.0,50,209.101029
-38.0,50,209.324002
-38.0,50,209.532845
-38.0,50,211.150604
-38.0,50,212.752633
-38.0,50,214.397803
-38.0,50,216.02129
-38.0,50,217.644968
-38.0,50,219.275659
-38.0,50,220.909472
-38.0,50,222.58599
-38.0,50,224.253625
-38.0,50,225.941818
-38.0,50,227.610812
-14.0,50,229.309423
20.0,50,230.992537
-38.0,50,232.67088
-38.0,50,234.345222
-38.0,50,236.026787
-38.0,50,237.750839
-38.0,50,239.450936
-38.0,50,241.176413
-38.0,50,242.891892
-38.0,50,244.622664
-38.0,50,246.331793
-38.0,50,248.076289
-38.0,50,249.819446
-12.0,50,251.546646
-38.0,50,253.298779
-38.0,50,255.046339
-38.0,50,256.743367
-38.0,50,258.443847
-38.0,50,260.141569
-38.0,50,261.910554
-38.0,50,263.608251
-38.0,50,265.325725
-44.0,50,267.04606
-38.0,50,268.772601
-38.0,50,270.527245
-38.0,50,272.269974
-38.0,50,274.027779
-38.0,50,275.826157
-38.0,50,277.580503
-38.0,50,279.325599
-38.0,50,281.107361
-38.0,50,282.905941
-38.0,50,284.709673
-38.0,50,286.503
-38.0,50,288.301201
-38.0,50,290.074393
-38.0,50,291.847903
-38.0,50,293.633605
21.0,50,295.455774
27.0,50,295.711366
-38.0,50,295.955897
-38.0,50,296.186095
22.0,50,296.414402
-38.0,50,296.636344
22.0,50,296.881433
-38.0,50,297.130728
-38.0,50,297.351914
21.0,50,297.601484
23.0,50,297.815436
-12.0,50,299.643479
-38.0,50,301.46174
-38.0,50,303.293988
-38.0,50,305.14548
-38.0,50,306.944901
-38.0,50,308.732472
13.0,50,310.575142
-38.0,50,312.381141
-38.0,50,314.180012
-38.0,50,315.997072
-38.0,50,317.850052
-38.0,50,319.6673
-38.0,50,321.531644
-38.0,50,323.38776
15.0,50,325.271865
-38.0,50,327.091981
-38.0,50,328.952537
-38.0,50,330.856952
-38.0,50,332.727548
-38.0,50,334.577941
-38.0,50,336.482203
24.0,50,338.348052
24.0,50,340.247708
-38.0,50,342.183463
-38.0,50,344.076182
-44.0,50,345.957027
-38.0,50,347.852865
-38.0,50,349.725649
-38.0,50,351.636474
-38.0,50,353.572664
-38.0,50,355.522837
-38.0,50,357.46032
4.0,50,359.404127
-38.0,50,361.350788
-38.0,50,363.294342
-38.0,50,365.278944
-38.0,50,367.184963
-38.0,50,369.094505
24.0,50,371.015186
-38.0,50,372.954008
-38.0,50,374.87652
-38.0,50,376.802183
-38.0,50,378.764365
-38.0,50,380.70478
-38.0,50,382.665912
-38.0,50,384.619792
-38.0,50,386.545238
-38.0,50,388.518655
-38.0,50,390.47685
28.0,50,392.456493
-38.0,50,392.680569
-38.0,50,392.888989
-38.0,50,393.129013
-38.0,50,393.34712
-38.0,50,393.589518
-38.0,50,393.799629
-38.0,50,394.034769
-38.0,50,394.243969
-38.0,50,394.493118
-38.0,50,394.693609
-38.0,50,396.624637
-15.0,50,398.583096
-38.0,50,400.581498
-38.0,50,402.565235
-38.0,50,404.624477
-38.0,50,406.59734
-38.0,50,408.570763
-38.0,50,410.553545
-38.0,50,412.554499
-38.0,50,414.560117
-38.0,50,416.551216
-38.0,50,418.577091
-38.0,50,420.574733
-38.0,50,422.609151
-14.0,50,424.632737
-38.0,50,426.623327
-38.0,50,428.651848
-38.0,50,430.707832
-38.0,50,432.758462
-38.0,50,434.803412
-38.0,50,436.802657
-38.0,50,438.817115
-38.0,50,440.807525
-38.0,50,442.816671
-38.0,50,444.839564
-7.0,50,446.905898
-38.0,50,448.996518
-38.0,50,450.998212
-38.0,50,453.05057
-44.0,50,455.077838
-38.0,50,457.106843
-38.0,50,459.138746
-38.0,50,461.177144
-38.0,50,463.259521
-38.0,50,465.334834
