epoch,p0/stats_g/mean,p0/stats_g/std,p0/stats_o/mean,p0/stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.8504341,0.1098515,0.23609471,0.14104338,20.0,-1.9129022,0.15,100.0,0.0
1,0.83554983,0.1321858,0.24357316,0.15583946,40.0,-2.910653,0.05,200.0,0.05
2,0.8384852,0.12507968,0.25167304,0.15360557,60.0,-3.7989006,0.15,300.0,0.03
3,0.83965474,0.12191385,0.25367296,0.15708593,80.0,-3.5087504,0.45,400.0,0.03
4,0.84089965,0.1206645,0.25576833,0.15983889,100.0,-6.374063,0.1,500.0,0.08
5,0.839817,0.12292955,0.2569779,0.16118652,120.0,-6.386313,0.25,600.0,0.04
6,0.8394447,0.12537597,0.2577807,0.16251063,140.0,-5.8793025,0.4,700.0,0.12
7,0.8400049,0.1250533,0.25867826,0.1620298,160.0,-5.8471212,0.5,800.0,0.16
8,0.8408156,0.12487325,0.25882354,0.16192585,180.0,-3.8959377,0.55,900.0,0.16
9,0.84086394,0.12653302,0.25956756,0.16182962,200.0,-5.836619,0.45,1000.0,0.14
10,0.83952016,0.12827192,0.2597951,0.16191642,220.0,-5.7392225,0.65,1100.0,0.29
11,0.8396223,0.12939292,0.26037672,0.1627201,240.0,-4.691958,0.7,1200.0,0.33
12,0.8393872,0.12892711,0.26037508,0.1623198,260.0,-2.9858153,0.75,1300.0,0.28
13,0.839861,0.12891148,0.26014504,0.16176604,280.0,-2.1855426,0.9,1400.0,0.39
14,0.8406094,0.12948367,0.2602382,0.16227046,300.0,-3.2946892,0.7,1500.0,0.32
15,0.8405345,0.13062322,0.26029435,0.16152114,320.0,-2.3803444,0.95,1600.0,0.34
16,0.8408868,0.13030706,0.26049328,0.16141056,340.0,-1.6421359,0.85,1700.0,0.3
17,0.8409047,0.13040866,0.2605638,0.16116412,360.0,-1.8457134,0.95,1800.0,0.3
18,0.8413372,0.12995125,0.26082057,0.16071954,380.0,-0.8457899,0.95,1900.0,0.34
19,0.84149027,0.13012818,0.26062733,0.16068135,400.0,-0.5846658,1.0,2000.0,0.4
20,0.84170103,0.131014,0.26067588,0.16077249,420.0,-0.40136546,1.0,2100.0,0.34
21,0.8425798,0.13078251,0.260778,0.16019528,440.0,-0.78861856,0.95,2200.0,0.49
22,0.8428216,0.13098882,0.26097408,0.15974958,460.0,-0.82585543,1.0,2300.0,0.33
23,0.84312797,0.13108593,0.2607796,0.1597334,480.0,-0.5336913,0.95,2400.0,0.37
24,0.84372205,0.13080937,0.26074576,0.15915957,500.0,-0.5902097,0.95,2500.0,0.44
25,0.8438789,0.13022105,0.2607128,0.15869652,520.0,-0.4797615,1.0,2600.0,0.41
26,0.8441863,0.13061607,0.26078966,0.15858363,540.0,-0.54431987,1.0,2700.0,0.41
27,0.8446668,0.13019697,0.26085755,0.15806697,560.0,-0.39159018,0.95,2800.0,0.39
28,0.84516233,0.12964648,0.261198,0.15758201,580.0,-0.47947964,1.0,2900.0,0.43
29,0.84570843,0.12926526,0.2614334,0.15716782,600.0,-0.6574527,1.0,3000.0,0.4
30,0.8460229,0.12867667,0.26165146,0.15670452,620.0,-0.6462259,1.0,3100.0,0.42
31,0.8459305,0.1282724,0.2615479,0.1564661,640.0,-1.3265172,1.0,3200.0,0.45
32,0.8463852,0.1282566,0.26190326,0.15635568,660.0,-0.42133993,1.0,3300.0,0.53
33,0.8465678,0.12824993,0.26193422,0.1562659,680.0,-0.50331265,1.0,3400.0,0.48
34,0.84670514,0.12772436,0.2621186,0.15607907,700.0,-1.7713379,0.9,3500.0,0.44
35,0.8469766,0.12783198,0.26216692,0.15600611,720.0,-0.67886305,1.0,3600.0,0.43
36,0.84695274,0.12759191,0.26214567,0.15592399,740.0,-0.50325453,1.0,3700.0,0.41
37,0.8470474,0.12737821,0.26232365,0.1557735,760.0,-0.8392582,1.0,3800.0,0.53
38,0.84729654,0.12721826,0.26234138,0.15567094,780.0,-0.4500986,1.0,3900.0,0.46
39,0.8475507,0.1271159,0.26260388,0.15565047,800.0,-0.55029327,0.9,4000.0,0.48
40,0.8477223,0.12729226,0.26237214,0.15579964,820.0,-0.9445812,1.0,4100.0,0.38
41,0.84792095,0.12684144,0.26240355,0.15533781,840.0,-0.43104583,1.0,4200.0,0.52
42,0.84806585,0.12644066,0.2625024,0.15509494,860.0,-0.6595379,0.95,4300.0,0.6
43,0.8483648,0.12613533,0.26256827,0.15492937,880.0,-0.6056353,1.0,4400.0,0.42
44,0.84836084,0.12595421,0.26257318,0.15481928,900.0,-0.8613561,0.95,4500.0,0.44
45,0.8482321,0.12609579,0.26264593,0.15466292,920.0,-0.50482374,1.0,4600.0,0.47
46,0.8482783,0.12584926,0.26264328,0.15448467,940.0,-0.59768164,1.0,4700.0,0.42
47,0.8483556,0.12592481,0.26270813,0.15482226,960.0,-3.0372589,0.9,4800.0,0.43
48,0.8484586,0.12595941,0.26273373,0.1549075,980.0,-0.7709373,0.95,4900.0,0.42
49,0.84865874,0.12588121,0.26272076,0.15478812,1000.0,-0.33272734,1.0,5000.0,0.36
50,0.84870213,0.12584706,0.26268345,0.15464728,1020.0,-2.1448903,0.95,5100.0,0.45
51,0.84867996,0.12557434,0.26277846,0.15439288,1040.0,-0.42192012,1.0,5200.0,0.41
52,0.8489894,0.12551497,0.26286095,0.15432319,1060.0,-0.39505708,1.0,5300.0,0.39
53,0.84906155,0.12540197,0.26280275,0.15419975,1080.0,-2.2276826,0.95,5400.0,0.45
54,0.84911567,0.12498718,0.26288,0.1539734,1100.0,-0.60846406,0.95,5500.0,0.49
55,0.8492089,0.12488738,0.26280794,0.15391374,1120.0,-0.45559064,1.0,5600.0,0.46
56,0.8493256,0.12475854,0.262756,0.15374029,1140.0,-0.69016325,1.0,5700.0,0.45
57,0.8493696,0.12448567,0.2627743,0.1535233,1160.0,-0.5632672,1.0,5800.0,0.58
58,0.849482,0.12418153,0.2628128,0.15345815,1180.0,-0.6049875,1.0,5900.0,0.51
59,0.84948367,0.12397011,0.2627504,0.15336782,1200.0,-0.57411563,0.95,6000.0,0.51
60,0.8494447,0.12369442,0.26266918,0.15320773,1220.0,-0.69825584,1.0,6100.0,0.53
61,0.8496178,0.12345043,0.26273748,0.15310636,1240.0,-0.5415588,1.0,6200.0,0.4
62,0.8497371,0.12340677,0.2627105,0.15311995,1260.0,-0.70700556,1.0,6300.0,0.39
63,0.84971696,0.12341738,0.26272875,0.15315263,1280.0,-2.0304537,0.95,6400.0,0.48
64,0.8496535,0.123315595,0.2628104,0.15300918,1300.0,-0.44360462,1.0,6500.0,0.45
65,0.8496778,0.12309273,0.26277244,0.1527825,1320.0,-0.44480973,1.0,6600.0,0.49
66,0.84974724,0.12279496,0.26283115,0.152603,1340.0,-1.9319613,0.95,6700.0,0.47
67,0.8497203,0.12247306,0.26286218,0.1523962,1360.0,-0.5916804,1.0,6800.0,0.45
68,0.84978086,0.12216228,0.26288095,0.1522019,1380.0,-0.65570295,1.0,6900.0,0.52
69,0.84976107,0.12217154,0.262888,0.1521663,1400.0,-0.733077,0.95,7000.0,0.44
70,0.8498013,0.121991865,0.26294133,0.1519775,1420.0,-0.7356625,1.0,7100.0,0.48
71,0.84977096,0.12188742,0.2629599,0.15188187,1440.0,-0.63807124,0.95,7200.0,0.44
72,0.849813,0.12179733,0.26299053,0.15184055,1460.0,-0.6161742,1.0,7300.0,0.57
73,0.84973574,0.121523894,0.26301256,0.15155637,1480.0,-1.0349537,0.95,7400.0,0.54
74,0.8496949,0.1214247,0.26299006,0.15139435,1500.0,-0.7440655,0.9,7500.0,0.45
75,0.84975535,0.12131319,0.2630026,0.15130411,1520.0,-0.6011841,0.95,7600.0,0.54
76,0.84982485,0.12106413,0.2629979,0.15109801,1540.0,-0.34016797,1.0,7700.0,0.53
77,0.84990174,0.12102363,0.26303875,0.15102306,1560.0,-1.3434032,0.95,7800.0,0.54
78,0.84997106,0.120735705,0.2630781,0.15080231,1580.0,-0.36500436,1.0,7900.0,0.5
79,0.85000974,0.120565414,0.26300597,0.15078141,1600.0,-0.7461802,0.95,8000.0,0.52
80,0.8499758,0.12060139,0.26297623,0.15066336,1620.0,-0.38832337,1.0,8100.0,0.51
81,0.85001546,0.120314,0.26304808,0.15036778,1640.0,-0.34856024,1.0,8200.0,0.51
82,0.85013103,0.12020556,0.26303616,0.15029274,1660.0,-0.5409045,1.0,8300.0,0.5
83,0.85019356,0.12002375,0.2630323,0.15007387,1680.0,-0.4268505,1.0,8400.0,0.52
84,0.85015965,0.11982697,0.26303658,0.14998057,1700.0,-0.5459521,1.0,8500.0,0.49
85,0.8500951,0.11967179,0.26305205,0.1499888,1720.0,-0.5270337,1.0,8600.0,0.48
86,0.85006887,0.11965436,0.26301208,0.15006435,1740.0,-0.5838358,1.0,8700.0,0.47
87,0.8500829,0.119616486,0.26302496,0.14990407,1760.0,-0.46974128,1.0,8800.0,0.49
88,0.85004824,0.11949027,0.26302275,0.14986908,1780.0,-0.4303452,1.0,8900.0,0.54
89,0.8500797,0.11942827,0.26307577,0.14983943,1800.0,-0.53298527,1.0,9000.0,0.43
90,0.8500237,0.11930585,0.26303032,0.14980039,1820.0,-0.59470946,1.0,9100.0,0.56
91,0.8501039,0.11922514,0.26305696,0.1497209,1840.0,-0.34835607,1.0,9200.0,0.4
92,0.85001546,0.11906677,0.26304543,0.14955547,1860.0,-0.78340304,0.8,9300.0,0.53
93,0.8500821,0.118951134,0.26305586,0.14941902,1880.0,-0.38569143,1.0,9400.0,0.56
94,0.8500962,0.11887742,0.2630557,0.14930542,1900.0,-0.5816663,0.95,9500.0,0.46
95,0.8501644,0.11869833,0.2630655,0.14914207,1920.0,-0.5565695,1.0,9600.0,0.53
96,0.85013294,0.11860078,0.26296452,0.1491417,1940.0,-0.5708977,1.0,9700.0,0.53
