# {"t_start": 1585064125.8741264, "env_id": "FetchPickAndPlace-v1"} 
r,l,t
-50.0,50,3.636482
-50.0,50,4.593107
-50.0,50,5.467588
-50.0,50,6.336884
-50.0,50,7.203451
-44.0,50,8.060341
-50.0,50,8.964725
-50.0,50,9.844492
-50.0,50,10.732665
-44.0,50,11.623914
-38.0,50,12.52938
-38.0,50,13.430683
-50.0,50,14.295238
-50.0,50,15.150638
-50.0,50,16.026337
-50.0,50,16.951658
-38.0,50,17.941233
-50.0,50,18.983188
-50.0,50,20.102435
-38.0,50,21.204156
-50.0,50,22.317502
-38.0,50,23.444669
-38.0,50,24.557815
-17.0,50,25.684522
-38.0,50,26.764144
-38.0,50,27.849599
-50.0,50,28.978987
-38.0,50,30.13714
-38.0,50,31.284909
-38.0,50,32.479375
-38.0,50,33.663556
-38.0,50,34.872061
-50.0,50,36.063535
-38.0,50,37.265432
5.0,50,38.510514
-38.0,50,39.705542
-38.0,50,40.931326
-44.0,50,42.129443
-38.0,50,43.340193
-38.0,50,44.5406
-38.0,50,45.766099
-38.0,50,46.973125
-38.0,50,48.153252
-38.0,50,49.320729
-38.0,50,50.542866
-38.0,50,51.755029
-38.0,50,52.966761
-38.0,50,54.183001
-38.0,50,55.40741
-38.0,50,56.633316
-38.0,50,57.924318
-38.0,50,58.13436
-38.0,50,58.337941
-38.0,50,58.556006
27.0,50,58.761775
-38.0,50,58.968622
-38.0,50,59.241647
-38.0,50,59.465515
-38.0,50,59.69922
-38.0,50,59.918541
-38.0,50,60.185613
-38.0,50,61.501938
-38.0,50,62.809159
-38.0,50,64.080484
-38.0,50,65.349992
-38.0,50,66.617455
-38.0,50,67.903414
-38.0,50,69.258782
-38.0,50,70.653422
-38.0,50,71.977844
-38.0,50,73.249027
23.0,50,74.383664
-38.0,50,75.588996
-38.0,50,76.744614
-38.0,50,77.910472
-38.0,50,79.075763
-15.0,50,80.202986
-38.0,50,81.303597
-38.0,50,82.418686
-38.0,50,83.534011
-38.0,50,84.652948
-38.0,50,85.767203
-38.0,50,86.891168
-38.0,50,88.314439
9.0,50,89.79537
-38.0,50,91.264159
-38.0,50,92.718159
-38.0,50,94.145993
-38.0,50,95.588846
-38.0,50,97.030028
-38.0,50,98.47544
-38.0,50,99.947761
-38.0,50,101.429946
-38.0,50,102.934687
-38.0,50,104.420479
18.0,50,105.899766
-38.0,50,107.364767
-38.0,50,108.882048
-38.0,50,110.364417
20.0,50,111.857708
-38.0,50,113.385802
-38.0,50,114.881087
-9.0,50,116.410335
-6.0,50,117.90162
-38.0,50,119.411323
-38.0,50,120.939732
-38.0,50,122.46125
-38.0,50,123.997005
-38.0,50,125.518113
-38.0,50,127.068322
-38.0,50,128.59596
