epoch,p0/stats_g/mean,p0/stats_g/std,p0/stats_o/mean,p0/stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.84963655,0.13133228,0.22628665,0.13745894,20.0,-1.5727892,0.05,100.0,0.01
1,0.83949226,0.13270926,0.24229878,0.1562395,40.0,-2.4427524,0.1,200.0,0.06
2,0.8357053,0.13573468,0.24679717,0.16393918,60.0,-4.5629954,0.05,300.0,0.08
3,0.83445567,0.13145255,0.2496225,0.1629553,80.0,-3.9618363,0.35,400.0,0.05
4,0.8354077,0.1291279,0.25111908,0.16065685,100.0,-6.449088,0.1,500.0,0.09
5,0.83552504,0.12920316,0.2521465,0.16078904,120.0,-5.023719,0.5,600.0,0.1
6,0.83573717,0.1308055,0.2536145,0.16209807,140.0,-6.416487,0.25,700.0,0.16
7,0.8352558,0.1302925,0.2545713,0.16191643,160.0,-7.6371245,0.35,800.0,0.15
8,0.834305,0.13147806,0.2544267,0.161984,180.0,-5.4997425,0.6,900.0,0.2
9,0.8346835,0.13285732,0.2549392,0.16146678,200.0,-10.142449,0.3,1000.0,0.23
10,0.8354345,0.1353002,0.25556627,0.16258548,220.0,-8.460377,0.4,1100.0,0.17
11,0.83683926,0.13418126,0.25656435,0.16285373,240.0,-4.5907207,0.65,1200.0,0.25
12,0.8369026,0.13419764,0.2573601,0.16260873,260.0,-6.814724,0.7,1300.0,0.26
13,0.83744955,0.13424323,0.257762,0.16280767,280.0,-6.278006,0.7,1400.0,0.27
14,0.83821887,0.13352837,0.25817713,0.16204837,300.0,-5.884228,0.55,1500.0,0.29
15,0.8388381,0.13360274,0.25868368,0.16246542,320.0,-2.1760361,0.85,1600.0,0.23
16,0.8390843,0.13294435,0.25861108,0.16211057,340.0,-3.1257563,0.85,1700.0,0.3
17,0.83975697,0.132251,0.25878143,0.16180451,360.0,-2.5260391,0.8,1800.0,0.34
18,0.8401585,0.13250482,0.2590607,0.16190481,380.0,-2.0684724,0.8,1900.0,0.31
19,0.84015113,0.13307542,0.25931892,0.16204713,400.0,-0.6283284,1.0,2000.0,0.38
20,0.8404553,0.13315642,0.25967228,0.16197188,420.0,-0.9519617,1.0,2100.0,0.34
21,0.8404831,0.13256904,0.259633,0.16186738,440.0,-0.6700297,0.95,2200.0,0.36
22,0.8409433,0.13218729,0.259881,0.16148838,460.0,-2.913335,0.6,2300.0,0.34
23,0.84072,0.13287227,0.25994533,0.1608587,480.0,-2.332281,0.75,2400.0,0.3
24,0.84114933,0.13239834,0.2601621,0.1604276,500.0,-0.76459515,0.95,2500.0,0.48
25,0.84169346,0.13245781,0.26035944,0.16004607,520.0,-0.9110473,1.0,2600.0,0.41
26,0.84206104,0.1319993,0.26036406,0.1598107,540.0,-0.63848895,0.9,2700.0,0.38
27,0.8421009,0.13125847,0.26019186,0.15918708,560.0,-1.0196656,0.95,2800.0,0.43
28,0.84216434,0.13100597,0.26026028,0.15905799,580.0,-0.7110648,0.9,2900.0,0.39
29,0.8422971,0.13073607,0.2603966,0.15881643,600.0,-0.4416111,1.0,3000.0,0.44
30,0.8426134,0.13036199,0.2604705,0.15834597,620.0,-0.41257453,1.0,3100.0,0.4
31,0.84283423,0.1299678,0.2605243,0.1579315,640.0,-0.74659663,1.0,3200.0,0.44
32,0.8428185,0.12978493,0.2605759,0.15782653,660.0,-1.1544724,0.95,3300.0,0.35
33,0.8428909,0.12933297,0.2605866,0.15758885,680.0,-0.83722484,0.95,3400.0,0.46
34,0.84309936,0.12884326,0.2606826,0.15744196,700.0,-0.8386661,0.95,3500.0,0.4
35,0.84333986,0.12864828,0.26098862,0.15706865,720.0,-0.841424,0.95,3600.0,0.36
36,0.84367085,0.12818865,0.26104632,0.15661934,740.0,-0.83277786,1.0,3700.0,0.42
37,0.8437534,0.1279965,0.2613383,0.15659007,760.0,-0.6701363,0.95,3800.0,0.35
38,0.84379894,0.12765889,0.26138604,0.15623723,780.0,-0.7753407,0.9,3900.0,0.46
39,0.8439068,0.1273115,0.26155466,0.15607783,800.0,-0.35969165,1.0,4000.0,0.46
