# {"t_start": 1587570866.9446974, "env_id": "FetchPickAndPlace-v1"} 
r,l,t
-8.543741,50,5.151663
-3.357378,50,7.978277
-6.162624,50,10.345857
-7.355573,50,12.832844
-2.71592,50,15.294238
-4.997182,50,17.600309
-8.949341,50,20.052
-5.026641,50,22.535918
-3.387229,50,24.97678
-3.968993,50,27.444538
-2.87035,50,30.001793
-5.069531,50,32.570033
-8.175996,50,35.115343
-6.15531,50,37.687613
-3.02388,50,40.215982
-5.730925,50,42.79257
-6.500493,50,45.300121
-5.668003,50,47.848123
-4.59623,50,50.458069
-3.590907,50,53.171549
-1.848116,50,56.027655
-3.409688,50,56.293317
-2.961441,50,56.517972
-4.319692,50,56.748865
-2.344123,50,56.989456
-4.229491,50,57.23147
-2.267758,50,57.471278
-1.691855,50,57.7007
-2.032707,50,57.960341
-1.740002,50,58.212471
-2.774683,50,58.784586
-3.150523,50,61.450767
-5.278008,50,64.106509
-2.507962,50,67.089487
-6.052132,50,70.044771
-4.11395,50,72.708952
-3.156996,50,75.455801
-2.564321,50,78.151011
-3.088877,50,80.887908
-7.775705,50,83.607637
-2.528427,50,86.379508
-2.905583,50,89.124923
-2.867516,50,91.918024
-4.521566,50,94.697239
-3.569759,50,97.45886
-3.818552,50,100.27703
-4.044286,50,103.167427
-3.177717,50,106.06634
-2.072986,50,108.849101
-4.190067,50,111.722986
-1.685133,50,114.615007
-11.301579,50,114.889744
-2.924051,50,115.146809
-3.375069,50,115.387767
-4.653814,50,115.651093
-1.656476,50,115.915266
-3.417981,50,116.168574
-3.673537,50,116.391684
-11.044438,50,116.623876
-2.463339,50,116.857715
-3.409751,50,117.081556
-4.602973,50,120.03893
-2.773103,50,123.017016
-2.458959,50,126.188115
-15.656056,50,129.086493
-7.249946,50,132.258386
-5.344698,50,135.393654
-11.877272,50,138.873328
-3.279138,50,141.745642
-2.45417,50,144.778089
-2.489078,50,147.756235
-2.304173,50,151.056463
-2.256676,50,153.96027
-3.324388,50,157.149534
-3.702097,50,160.37185
-3.442422,50,163.591248
-10.39097,50,167.106583
-4.340746,50,170.731114
-3.530625,50,173.825294
-6.234367,50,176.934336
-2.187071,50,179.949705
-2.557585,50,180.19099
-1.335796,50,180.417503
-3.286913,50,180.648475
-4.915529,50,180.908539
-3.026681,50,181.145091
-2.553646,50,181.39762
-6.193359,50,181.65361
-2.663858,50,181.894047
-7.468343,50,182.122964
-9.978932,50,182.382948
-2.081608,50,185.406606
-2.219127,50,188.497274
-2.21522,50,191.639139
-13.269027,50,194.817567
-4.025392,50,197.947155
-3.803639,50,201.161124
-6.007003,50,204.321712
-3.758239,50,207.531072
-4.348307,50,210.813291
-3.458099,50,214.025749
-3.489764,50,217.28982
-6.230202,50,220.797462
-3.475606,50,224.991718
-2.426449,50,228.951495
-2.477751,50,232.654875
-3.378031,50,236.423511
-2.88458,50,240.12642
-3.293004,50,243.975263
-4.902427,50,248.023847
-2.881578,50,251.912022
-1.257074,50,252.238201
-1.463269,50,252.524152
-2.883726,50,252.812885
-1.613426,50,253.130791
-1.69381,50,253.430588
-3.880936,50,253.725158
-4.960374,50,254.030747
-1.947443,50,254.351378
-6.7917,50,254.659402
-2.653711,50,254.970719
-3.200058,50,258.720671
-3.993038,50,262.264038
-1.799844,50,265.851009
-3.797724,50,269.203064
-2.450711,50,272.558682
-7.776719,50,275.932724
-2.333327,50,279.359461
-2.369472,50,282.802145
-2.475115,50,286.197482
-2.726491,50,289.788965
-3.572244,50,293.486119
-8.854559,50,297.228048
-3.528895,50,301.014103
-3.105733,50,304.618814
-3.211598,50,308.352588
-2.545232,50,312.993735
-2.703556,50,319.76358
-3.302277,50,324.047108
-3.118435,50,327.723922
-9.16756,50,332.147637
-1.130805,50,332.450138
-1.786632,50,332.763548
-4.271814,50,333.095334
-9.024477,50,333.402838
-12.438359,50,333.719635
-0.811429,50,334.019598
-6.309501,50,334.323918
-4.38745,50,334.655056
-8.804957,50,335.025337
-6.30276,50,335.313655
-3.488568,50,339.664507
-3.820538,50,343.646799
-2.295956,50,347.569024
-2.260989,50,351.359541
-2.030161,50,355.071518
-5.958943,50,358.876781
-3.270428,50,362.54087
-1.969568,50,366.51072
-4.319034,50,370.333689
-2.148033,50,374.058642
-5.617501,50,377.756325
-3.204594,50,381.599003
-1.935777,50,385.480368
-6.8971,50,389.36675
-4.718709,50,393.262885
-4.8238,50,397.211129
-3.140957,50,401.228987
-7.068352,50,405.168908
-2.041116,50,409.103129
-1.56954,50,412.990215
-0.901158,50,413.331832
-3.022127,50,413.673923
-1.35167,50,413.979375
-1.102302,50,414.232114
-0.985436,50,414.485204
-2.638178,50,414.818378
-1.449671,50,415.103262
-2.53236,50,415.337572
-2.685158,50,415.561651
-3.161,50,415.82144
-4.343909,50,419.736279
-7.116413,50,423.710799
-2.265267,50,427.585598
-2.814721,50,431.587789
-2.980882,50,435.582753
-1.810375,50,439.454758
-4.900942,50,443.474168
-2.533766,50,447.842019
-2.64953,50,451.880778
-8.037058,50,455.981027
-4.466335,50,459.970523
-5.19672,50,464.004779
-8.535007,50,468.069663
-2.437408,50,472.055611
-5.426117,50,476.467618
-10.955451,50,480.727242
-8.927242,50,484.825783
-2.731188,50,488.939504
-2.715903,50,493.297085
-15.88774,50,497.564403
-1.501188,50,497.815991
-0.896537,50,498.07998
-9.665331,50,498.330094
-7.462373,50,498.585988
-2.057966,50,498.842475
-11.967618,50,499.089943
