epoch,p0/stats_g/mean,p0/stats_g/std,p0/stats_o/mean,p0/stats_o/std,p1/stats_g/mean,p1/stats_g/std,p1/stats_o/mean,p1/stats_o/std,p2/stats_g/mean,p2/stats_g/std,p2/stats_o/mean,p2/stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.84276533,0.07988186,0.20083453,0.07167097,0.8423791,0.09601251,0.23709844,0.089610055,0.8726618,0.10188189,0.27681097,0.044995494,20.0,-0.12341114623472094,0.05,40.0,0.025
1,0.83851236,0.080273084,0.1997774,0.073104456,0.8472057,0.09646519,0.23344928,0.09432121,0.87055594,0.10268492,0.27663642,0.056831457,40.0,-0.20777890049526468,0.15,80.0,0.025
2,0.8415374,0.080407135,0.1999277,0.08056902,0.8473246,0.09493206,0.23018438,0.1017922,0.8690929,0.102586955,0.27707317,0.0745715,60.0,-0.23306154472799973,0.2,120.0,0.025
3,0.84356076,0.08047947,0.20045541,0.08239464,0.8485598,0.09281912,0.230548,0.10719995,0.8688491,0.102166034,0.27589393,0.07906585,80.0,-0.18163049487350508,0.1,160.0,0.0
4,0.8430395,0.08009991,0.20054294,0.082005195,0.8444894,0.09058871,0.22956087,0.103439614,0.8682401,0.10128614,0.27463305,0.08142707,100.0,-0.4909222832750529,0.4,200.0,0.05
5,0.84443426,0.07934093,0.20017011,0.08102477,0.84407663,0.08827162,0.23061039,0.10432403,0.8662915,0.100725144,0.27277443,0.086697824,120.0,-0.2706560191567987,0.4,240.0,0.1
6,0.84514946,0.07833467,0.19995688,0.07991001,0.84363896,0.08666567,0.23087524,0.10215069,0.86305326,0.09975693,0.27210772,0.091220394,140.0,-0.5562162483651191,0.6,280.0,0.025
7,0.8457145,0.07746266,0.19956698,0.078224905,0.8439827,0.0848687,0.23127525,0.100044325,0.8614724,0.100299895,0.27209398,0.09895609,160.0,-0.40348582737520344,0.65,320.0,0.05
8,0.8459304,0.076662496,0.19941252,0.07675995,0.84430486,0.08348725,0.2319232,0.0990901,0.86009735,0.099312685,0.27311617,0.1025983,180.0,-0.6989185979086905,0.25,360.0,0.125
9,0.84621733,0.07612095,0.19910826,0.075714245,0.84379745,0.08247735,0.23253831,0.10167595,0.86012274,0.09806279,0.2725845,0.103333026,200.0,-0.44107401320897044,0.75,400.0,0.15
10,0.8465309,0.07571446,0.19896576,0.0752899,0.84366846,0.0816389,0.23309882,0.105955124,0.8587184,0.09843975,0.27216497,0.105785795,220.0,-0.4400240932647139,0.8,440.0,0.025
11,0.846643,0.07530646,0.19882716,0.07424179,0.84364325,0.08097077,0.23344162,0.10750837,0.8575718,0.099651314,0.2730564,0.110194094,240.0,-0.32783223189227284,0.7,480.0,0.125
12,0.8473957,0.07499572,0.19889209,0.07333597,0.8438315,0.08019508,0.23272906,0.10663014,0.8564639,0.100117795,0.2727623,0.11179255,260.0,-0.24481645460054277,0.9,520.0,0.175
13,0.8477295,0.07458356,0.19878003,0.07230616,0.84402055,0.079927094,0.23324902,0.10618774,0.8560408,0.09969907,0.2736393,0.114619456,280.0,-0.5222218179684133,0.5,560.0,0.05
14,0.84809256,0.07416248,0.1987612,0.07141136,0.84434396,0.07934185,0.2338708,0.106904514,0.85490614,0.09967927,0.27435338,0.114792466,300.0,-1.0843377305343747,0.5,600.0,0.15
15,0.84819084,0.073891126,0.19863145,0.07068444,0.84422404,0.07900577,0.23332249,0.107843444,0.85391474,0.09963751,0.2740515,0.11570155,320.0,-0.2499964064657688,0.8,640.0,0.125
16,0.8486686,0.07357817,0.19833115,0.070294626,0.84457916,0.07877367,0.23378159,0.1086618,0.8538096,0.09972062,0.2736866,0.11662384,340.0,-0.7340068227667362,0.55,680.0,0.075
17,0.84898645,0.07328436,0.19834474,0.07020154,0.84501106,0.0786072,0.23344103,0.10828466,0.8541193,0.1002397,0.27294043,0.11709339,360.0,-1.170054300919175,0.45,720.0,0.075
