# {"t_start": 1587155544.2212453, "env_id": "FetchPickAndPlace-v1"} 
r,l,t
-50.0,50,5.568764
-39.0,50,8.443587
-50.0,50,10.857331
-39.0,50,13.263342
-50.0,50,15.734924
-50.0,50,18.154279
-39.0,50,20.601143
-39.0,50,23.068021
-39.0,50,25.506339
-28.0,50,28.006395
-50.0,50,30.546156
-50.0,50,33.077733
-28.0,50,35.633704
-50.0,50,38.184767
-50.0,50,40.769714
-50.0,50,43.338226
-39.0,50,45.920082
-28.0,50,48.557661
-28.0,50,51.215992
-39.0,50,53.911183
-28.0,50,56.748429
-39.0,50,57.025324
-28.0,50,57.303686
-39.0,50,57.577161
-39.0,50,57.852562
-28.0,50,58.138436
-28.0,50,58.428174
-28.0,50,58.727003
-28.0,50,58.996316
-28.0,50,59.273085
-28.0,50,59.905869
-50.0,50,62.628329
-50.0,50,65.358449
-50.0,50,68.09904
-28.0,50,70.88579
-28.0,50,73.63763
-50.0,50,76.429438
-50.0,50,79.217824
-28.0,50,82.018828
-50.0,50,84.829852
-28.0,50,87.635437
-28.0,50,90.500286
-28.0,50,93.377278
-50.0,50,96.230767
-50.0,50,99.123697
-13.0,50,101.981557
-50.0,50,104.905209
-50.0,50,107.81436
-28.0,50,110.706263
-28.0,50,113.665962
-28.0,50,116.666625
-28.0,50,116.949989
-28.0,50,117.21485
-28.0,50,117.489859
-50.0,50,117.760092
-50.0,50,118.034032
-13.0,50,118.315125
-28.0,50,118.595192
-39.0,50,118.858463
-28.0,50,119.133068
-39.0,50,119.395285
-28.0,50,122.388781
-50.0,50,125.394648
-28.0,50,128.404253
-28.0,50,131.446679
-28.0,50,134.52789
-28.0,50,137.611237
-39.0,50,140.675247
-50.0,50,143.773768
-50.0,50,146.835818
-50.0,50,149.915746
-39.0,50,153.02188
-39.0,50,156.151582
-28.0,50,159.293083
-39.0,50,162.391536
-50.0,50,165.495099
-39.0,50,168.682461
-28.0,50,171.91026
-28.0,50,175.08877
-28.0,50,178.293454
-28.0,50,181.540113
-28.0,50,181.806445
-28.0,50,182.055171
-28.0,50,182.36244
-28.0,50,182.644513
-12.0,50,182.938588
-28.0,50,183.216604
-28.0,50,183.482809
10.0,50,183.740994
