epoch,p0/stats_g/mean,p0/stats_g/std,p0/stats_o/mean,p0/stats_o/std,p1/stats_g/mean,p1/stats_g/std,p1/stats_o/mean,p1/stats_o/std,p2/stats_g/mean,p2/stats_g/std,p2/stats_o/mean,p2/stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.8548716,0.09722996,0.19692443,0.08707615,0.841084,0.083558984,0.2308392,0.08210781,0.8718426,0.10880522,0.2760082,0.07183048,20.0,-1.141228060197085,0.05,40.0,0.0
1,0.85059255,0.09522913,0.1962305,0.10012631,0.8366582,0.081333116,0.23711583,0.090429515,0.86751086,0.11113598,0.27460676,0.10153149,40.0,-1.9311258731782437,0.0,80.0,0.025
2,0.8527283,0.09560707,0.19477177,0.1008109,0.85143757,0.09427469,0.23670512,0.099876456,0.8558282,0.11449004,0.2868214,0.13259555,60.0,-2.170463147900999,0.05,120.0,0.025
3,0.85401565,0.09503687,0.19486874,0.10064892,0.86051106,0.08906058,0.23809367,0.12262608,0.855308,0.13764651,0.28344905,0.14325696,80.0,-3.203852912865579,0.0,160.0,0.05
4,0.85260653,0.09402757,0.19475594,0.1001944,0.85133535,0.08810011,0.23493792,0.13089742,0.855793,0.14146654,0.27682814,0.14951979,100.0,-2.2593477312102914,0.15,200.0,0.075
5,0.8519955,0.09292171,0.19466487,0.09846974,0.8426755,0.087986566,0.23200607,0.123798646,0.84872156,0.14212109,0.27565527,0.1460996,120.0,-2.347744629979134,0.35,240.0,0.075
6,0.8521938,0.09187005,0.1948042,0.096917816,0.8415311,0.086937584,0.232054,0.12706631,0.8519843,0.13149965,0.27348706,0.14362536,140.0,-3.024331093259156,0.2,280.0,0.15
7,0.85239893,0.09096396,0.19490716,0.0954992,0.8422258,0.08715931,0.23195146,0.12866828,0.8491394,0.12569678,0.27398616,0.14122495,160.0,-4.1461810498312115,0.2,320.0,0.15
8,0.8521045,0.09005731,0.19485877,0.09418371,0.8435304,0.08692337,0.22778796,0.13686582,0.8485418,0.1260132,0.27268833,0.14366953,180.0,-4.445061910219492,0.25,360.0,0.05
9,0.85256785,0.08924208,0.19504842,0.09290544,0.8436063,0.08661252,0.22684215,0.1365268,0.8509423,0.124194406,0.2736108,0.1430414,200.0,-5.31171460878849,0.1,400.0,0.075
10,0.85247403,0.08847418,0.19502129,0.09166764,0.84339887,0.086349875,0.22647072,0.13643749,0.85273963,0.13346647,0.27287745,0.14649948,220.0,-6.410847861215473,0.05,440.0,0.075
11,0.8526473,0.087643534,0.19511662,0.090508595,0.84314877,0.08567843,0.22500297,0.13888969,0.8524301,0.13288854,0.2726158,0.14613011,240.0,-4.83368057218194,0.25,480.0,0.075
