# {"t_start": 1587622834.0432384, "env_id": "FetchPickAndPlace-v1"} 
r,l,t
-50.0,50,3.911838
-50.0,50,5.281434
-50.0,50,6.408463
-50.0,50,7.52371
-50.0,50,8.669229
-50.0,50,9.747111
-50.0,50,10.796575
-50.0,50,11.875331
-50.0,50,12.960855
-50.0,50,14.029716
-50.0,50,15.089515
-50.0,50,16.176901
-50.0,50,17.280002
-50.0,50,18.384356
-50.0,50,19.490706
-50.0,50,20.579857
-50.0,50,21.701862
-50.0,50,22.814831
-50.0,50,23.932323
-50.0,50,25.042301
-50.0,50,26.115808
-50.0,50,27.174557
-50.0,50,28.256804
-50.0,50,29.400469
-50.0,50,30.58778
-48.0,50,32.270124
-48.0,50,33.854868
-50.0,50,35.806543
-50.0,50,37.617331
-50.0,50,39.469838
-50.0,50,41.329688
-49.0,50,43.231864
-50.0,50,45.159094
-49.0,50,47.116183
-50.0,50,49.099436
-50.0,50,51.064053
-49.0,50,53.044689
-48.0,50,55.041797
-50.0,50,57.109915
-50.0,50,59.147201
-48.0,50,61.215167
-48.0,50,63.285629
-49.0,50,65.400043
-49.0,50,67.575603
-48.0,50,69.752401
-48.0,50,71.941255
-48.0,50,74.134773
-48.0,50,76.305998
-49.0,50,78.520535
-48.0,50,80.733314
-48.0,50,83.113081
-48.0,50,83.358622
-48.0,50,83.609551
-50.0,50,83.852304
-49.0,50,84.093168
-48.0,50,84.334747
-48.0,50,84.577492
-48.0,50,84.80569
-48.0,50,85.069279
-50.0,50,85.297786
-50.0,50,85.794875
-49.0,50,88.220929
-48.0,50,90.593517
-50.0,50,93.05961
-48.0,50,95.483381
-49.0,50,97.817516
-49.0,50,100.246693
-48.0,50,102.652423
-49.0,50,105.045658
-49.0,50,107.481981
-50.0,50,109.936
-49.0,50,112.403923
-48.0,50,114.912841
-49.0,50,117.404537
-49.0,50,119.938354
-48.0,50,122.464123
-49.0,50,125.023895
-48.0,50,127.584656
-49.0,50,130.161071
-48.0,50,132.743398
-49.0,50,135.227526
-41.0,50,137.725774
-48.0,50,140.370008
-50.0,50,142.891034
-48.0,50,145.37699
-48.0,50,147.900697
-49.0,50,150.567851
-49.0,50,153.262061
-48.0,50,155.953139
-48.0,50,158.683557
-49.0,50,161.384856
-48.0,50,164.100938
-48.0,50,166.836985
-48.0,50,169.586554
-49.0,50,172.352709
-48.0,50,175.12197
-49.0,50,177.89012
-48.0,50,180.680428
-48.0,50,183.386652
-48.0,50,186.106102
-49.0,50,188.874394
-49.0,50,191.694718
-28.0,50,194.575051
-49.0,50,197.447479
-49.0,50,200.391891
-49.0,50,203.317566
-48.0,50,206.239747
-42.0,50,209.162006
-49.0,50,212.113416
-49.0,50,215.056609
-48.0,50,218.03467
-49.0,50,218.279071
-49.0,50,218.553549
-49.0,50,218.816825
-49.0,50,219.076608
-48.0,50,219.323775
-48.0,50,219.56212
-49.0,50,219.79061
-49.0,50,220.043405
-48.0,50,220.283638
-49.0,50,220.542768
-48.0,50,223.476284
-48.0,50,226.462518
-48.0,50,229.471295
-49.0,50,232.487014
-48.0,50,235.515453
-48.0,50,238.564306
-48.0,50,241.627819
-48.0,50,244.682396
-48.0,50,247.784278
-48.0,50,250.940303
-48.0,50,254.076611
-48.0,50,257.105395
-48.0,50,260.227557
-48.0,50,263.384979
-48.0,50,266.539544
-49.0,50,269.720351
-33.0,50,272.928154
-49.0,50,276.1325
-48.0,50,279.363787
-48.0,50,282.589997
-48.0,50,285.787235
-48.0,50,288.991049
-48.0,50,292.174627
-9.0,50,295.432866
-48.0,50,298.711783
-48.0,50,302.014492
-48.0,50,305.340353
-48.0,50,308.668547
-48.0,50,312.099039
-48.0,50,315.518764
-48.0,50,318.926418
-25.0,50,322.323269
-48.0,50,325.711218
-48.0,50,329.129983
-48.0,50,332.550119
-48.0,50,335.971475
-48.0,50,339.395702
-17.0,50,342.83803
-48.0,50,346.356487
-48.0,50,349.867959
-48.0,50,353.351527
-48.0,50,356.853919
-48.0,50,360.352768
-48.0,50,363.931547
-48.0,50,367.500892
-48.0,50,371.080514
-48.0,50,374.630038
-48.0,50,378.219804
-48.0,50,381.863864
-48.0,50,385.540196
-48.0,50,385.792251
-29.0,50,386.057659
-48.0,50,386.328299
-23.0,50,386.575295
-11.0,50,386.854059
-48.0,50,387.123167
-48.0,50,387.40499
-48.0,50,387.664366
-14.0,50,387.896204
-48.0,50,388.103947
-12.0,50,391.621887
-48.0,50,395.162882
-48.0,50,398.831897
-48.0,50,402.385995
-48.0,50,405.92071
-48.0,50,409.476333
-48.0,50,413.103786
-48.0,50,416.891709
-48.0,50,420.670929
-48.0,50,424.455222
-48.0,50,428.224848
-17.0,50,432.037094
-48.0,50,435.806116
-48.0,50,439.606927
-48.0,50,443.423372
-48.0,50,447.241644
-48.0,50,451.091421
-48.0,50,454.968943
-48.0,50,458.885492
-48.0,50,462.817272
-48.0,50,466.722121
-48.0,50,470.554828
-48.0,50,474.397768
-48.0,50,478.253787
-48.0,50,482.116031
-48.0,50,486.032996
-48.0,50,489.968225
-48.0,50,493.890554
-48.0,50,497.877891
-48.0,50,501.903708
-48.0,50,505.979282
-10.0,50,510.050031
-48.0,50,514.145455
-48.0,50,518.255678
-48.0,50,522.402064
-48.0,50,526.566135
-48.0,50,530.698754
-48.0,50,534.880921
-48.0,50,538.819573
-18.0,50,542.792598
-48.0,50,546.809128
-48.0,50,550.861155
-48.0,50,555.019094
-14.0,50,559.246734
-48.0,50,563.482863
-8.0,50,567.734953
-48.0,50,571.978881
-48.0,50,576.249899
-48.0,50,580.588221
-48.0,50,584.907308
-48.0,50,585.128846
-48.0,50,585.398863
-48.0,50,585.656402
-48.0,50,585.907221
-48.0,50,586.13722
-23.0,50,586.386855
-48.0,50,586.630594
-10.0,50,586.893245
-48.0,50,587.157015
-48.0,50,587.401753
-48.0,50,591.739354
-48.0,50,596.03495
