epoch,p0/stats_g/mean,p0/stats_g/std,p0/stats_o/mean,p0/stats_o/std,p1/stats_g/mean,p1/stats_g/std,p1/stats_o/mean,p1/stats_o/std,p2/stats_g/mean,p2/stats_g/std,p2/stats_o/mean,p2/stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.89611953,0.096858084,0.19668934,0.039968487,0.83417183,0.08787891,0.23177579,0.092901535,0.84567434,0.115231834,0.27225918,0.08051995,20.0,-2.071539787352085,0.0,100.0,0.01
1,0.8855436,0.093775034,0.19621295,0.05743947,0.83877736,0.08058504,0.23015994,0.12026561,0.842191,0.11305556,0.27640158,0.13174666,40.0,-2.5416314240098,0.0,200.0,0.03
2,0.8829532,0.09183314,0.19627929,0.05640814,0.8432842,0.07923645,0.23150891,0.12713183,0.8453703,0.117791146,0.28079206,0.13172704,60.0,-2.865580310828984,0.3,300.0,0.05
3,0.8800723,0.090070605,0.1961125,0.056893263,0.8429139,0.078515396,0.22876398,0.12731797,0.8444102,0.11211288,0.27572632,0.13731685,80.0,-4.801490599811077,0.3,400.0,0.07
4,0.8779364,0.088799834,0.19612786,0.058142107,0.8439966,0.078015715,0.22796758,0.13607603,0.8432357,0.13176765,0.27425316,0.14680481,100.0,-5.382689231656491,0.3,500.0,0.05
5,0.87643653,0.08741063,0.19623055,0.056991376,0.84373903,0.077556156,0.22696127,0.13693681,0.8431444,0.14020164,0.27436927,0.1566101,120.0,-5.51880670748651,0.25,600.0,0.08
6,0.87466353,0.08619069,0.1961797,0.055815842,0.8439978,0.07730615,0.22623745,0.13684465,0.84147626,0.14230673,0.2739609,0.15630355,140.0,-8.79531961619854,0.05,700.0,0.1
7,0.8731409,0.085101046,0.1960995,0.054835774,0.84435916,0.07690296,0.22503878,0.13636905,0.8407504,0.14039116,0.27281392,0.15672897,160.0,-5.9666095733642575,0.35,800.0,0.14
8,0.8723405,0.08392427,0.19626832,0.054182086,0.84455556,0.07683153,0.22340512,0.13803868,0.8386815,0.14165908,0.2720191,0.15689826,180.0,-7.200592338964343,0.35,900.0,0.17
9,0.8709228,0.08305824,0.19619676,0.053268697,0.8438928,0.0766565,0.2222161,0.13700469,0.8389028,0.14089285,0.27091268,0.15845329,200.0,-8.155761219739915,0.35,1000.0,0.14
10,0.87008554,0.08211579,0.19620222,0.052932877,0.8439348,0.07626684,0.22192162,0.1365529,0.8384363,0.1403162,0.2701032,0.15675078,220.0,-4.252207410097122,0.6,1100.0,0.21
11,0.86943793,0.08121282,0.19626027,0.052365717,0.8441604,0.07611594,0.2213818,0.13514468,0.8386684,0.13900559,0.27054232,0.15599194,240.0,-2.9111294664293528,0.7,1200.0,0.19
12,0.8688776,0.08046825,0.19628444,0.051633194,0.8441531,0.07598416,0.22111179,0.13378169,0.8384194,0.13978676,0.27045956,0.1561009,260.0,-3.533310818880797,0.45,1300.0,0.27
