# {"t_start": 1587622834.126449, "env_id": "FetchPickAndPlace-v1"} 
r,l,t
-50.0,50,3.82794
-50.0,50,5.198146
-50.0,50,6.325365
-50.0,50,7.440442
-50.0,50,8.586108
-50.0,50,9.663947
-50.0,50,10.712997
-50.0,50,11.791738
-50.0,50,12.877309
-50.0,50,13.946691
-50.0,50,15.006632
-50.0,50,16.094043
-50.0,50,17.196907
-50.0,50,18.301145
-50.0,50,19.407474
-50.0,50,20.496678
-50.0,50,21.618391
-49.0,50,22.731782
-50.0,50,23.849094
-50.0,50,24.959346
-50.0,50,26.032636
-50.0,50,27.091162
-50.0,50,28.173612
-50.0,50,29.31706
-49.0,50,30.504943
-50.0,50,32.186581
-49.0,50,33.772025
-49.0,50,35.723604
-50.0,50,37.534144
-49.0,50,39.386888
-50.0,50,41.245857
-49.0,50,43.148525
-48.0,50,45.076009
-50.0,50,47.032782
-50.0,50,49.01634
-48.0,50,50.981319
-50.0,50,52.961174
-50.0,50,54.958291
-49.0,50,57.027176
-50.0,50,59.063994
-48.0,50,61.132187
-48.0,50,63.201961
-48.0,50,65.316964
-48.0,50,67.491599
-50.0,50,69.669083
-49.0,50,71.857911
-48.0,50,74.051547
-48.0,50,76.222632
-50.0,50,78.436957
-49.0,50,80.650204
-48.0,50,83.030159
-50.0,50,83.275323
-48.0,50,83.526365
-48.0,50,83.769459
-50.0,50,84.009408
-48.0,50,84.251863
-48.0,50,84.494594
-48.0,50,84.722607
-50.0,50,84.985452
-48.0,50,85.214887
-48.0,50,85.711698
-49.0,50,88.137288
-48.0,50,90.509717
-48.0,50,92.976342
-50.0,50,95.400208
-49.0,50,97.734092
-48.0,50,100.163103
-49.0,50,102.56926
-48.0,50,104.961918
-49.0,50,107.39865
-50.0,50,109.852787
-48.0,50,112.320157
-48.0,50,114.829834
-49.0,50,117.321316
-50.0,50,119.85531
-48.0,50,122.380807
-49.0,50,124.941071
-49.0,50,127.501859
-48.0,50,130.078188
-48.0,50,132.660185
-48.0,50,135.144023
-49.0,50,137.642693
-48.0,50,140.286783
-49.0,50,142.808025
-48.0,50,145.293749
-48.0,50,147.817476
-50.0,50,150.484689
-48.0,50,153.178642
-48.0,50,155.869905
-49.0,50,158.600044
-48.0,50,161.301607
-49.0,50,164.018207
-49.0,50,166.754017
-49.0,50,169.503771
-48.0,50,172.269257
-49.0,50,175.038914
-48.0,50,177.806972
-48.0,50,180.59698
-48.0,50,183.303572
-49.0,50,186.023161
-46.0,50,188.791147
-49.0,50,191.611912
-49.0,50,194.491942
-48.0,50,197.364217
-49.0,50,200.308726
-48.0,50,203.233972
-49.0,50,206.156787
-48.0,50,209.079778
-49.0,50,212.030469
-48.0,50,214.973796
-49.0,50,217.951241
-49.0,50,218.196151
-48.0,50,218.470868
-48.0,50,218.733169
-49.0,50,218.993211
-49.0,50,219.240696
-48.0,50,219.479478
-49.0,50,219.707398
-48.0,50,219.961005
-49.0,50,220.200705
-49.0,50,220.459543
-48.0,50,223.393581
-48.0,50,226.379522
-49.0,50,229.388162
-48.0,50,232.403789
-49.0,50,235.432161
-48.0,50,238.480167
-49.0,50,241.54469
-49.0,50,244.599477
-48.0,50,247.701197
-49.0,50,250.856877
-48.0,50,253.993721
-48.0,50,257.022127
-48.0,50,260.144424
-48.0,50,263.30175
-48.0,50,266.456305
-48.0,50,269.637174
-48.0,50,272.844623
-48.0,50,276.04926
