epoch,p0/stats_g/mean,p0/stats_g/std,p0/stats_o/mean,p0/stats_o/std,p1/stats_g/mean,p1/stats_g/std,p1/stats_o/mean,p1/stats_o/std,p2/stats_g/mean,p2/stats_g/std,p2/stats_o/mean,p2/stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.85861635,0.09717497,0.19009855,0.08597208,0.8428591,0.077125385,0.23042107,0.08149727,0.85823566,0.11308369,0.2709492,0.07478994,20.0,-1.4206264685988426,0.0,40.0,0.0
1,0.85048264,0.116544135,0.19087325,0.10210259,0.83572084,0.077923454,0.22796983,0.082604185,0.8566854,0.11827598,0.27235058,0.085349195,40.0,-1.6773533060401675,0.0,80.0,0.0
2,0.8475941,0.12464132,0.19103914,0.10943838,0.83213156,0.08076217,0.2243727,0.11194619,0.85278344,0.1247609,0.27130052,0.09278251,60.0,-2.1100715338140725,0.05,120.0,0.0
3,0.8473868,0.12233007,0.19297828,0.110429496,0.83120304,0.082158856,0.22485834,0.11228141,0.84342927,0.14084652,0.2690207,0.11204739,80.0,-1.82272579754889,0.15,160.0,0.025
4,0.84802276,0.120468765,0.19362386,0.10898697,0.8334456,0.08239808,0.2239135,0.11933014,0.84440756,0.13536955,0.26801142,0.12194607,100.0,-1.471074154213071,0.25,200.0,0.075
5,0.84837633,0.11912978,0.19370791,0.10780291,0.8366619,0.081740595,0.22359529,0.1211092,0.8440883,0.13186178,0.26783746,0.12696941,120.0,-1.9490131584480406,0.45,240.0,0.1
6,0.84875363,0.11786398,0.19385828,0.10639513,0.8394053,0.08176804,0.22240806,0.12084274,0.84567976,0.12615189,0.268195,0.12965815,140.0,-2.607909934438765,0.25,280.0,0.05
7,0.8488109,0.1166633,0.19386408,0.10514484,0.8383189,0.08267125,0.22164339,0.12523158,0.84588957,0.123531334,0.26815063,0.1321614,160.0,-1.9955837745070457,0.5,320.0,0.05
8,0.84892887,0.11530498,0.19390434,0.10367321,0.8382333,0.082068734,0.22176716,0.1248841,0.84404516,0.12616271,0.26913658,0.13370577,180.0,-4.072213947787881,0.25,360.0,0.225
9,0.84899515,0.114218265,0.19397654,0.10258759,0.83950084,0.082262054,0.2224827,0.12869152,0.844398,0.122698516,0.26986468,0.13284113,200.0,-4.131455871596932,0.2,400.0,0.05
