# {"t_start": 1587764104.018753, "env_id": "FetchPickAndPlace-v1"} 
r,l,t
-50.0,50,4.780477
-39.0,50,6.93563
-50.0,50,8.754529
-50.0,50,10.550549
-50.0,50,12.365966
-50.0,50,14.245721
-50.0,50,16.138779
-28.0,50,18.037378
-50.0,50,20.043565
-50.0,50,22.115345
-50.0,50,24.054689
-50.0,50,25.842222
-50.0,50,27.773812
-50.0,50,29.692935
-50.0,50,31.680458
-39.0,50,33.691055
-50.0,50,35.724736
-39.0,50,37.784702
-50.0,50,40.102074
-50.0,50,42.441673
-50.0,50,44.684091
-50.0,50,44.954925
-50.0,50,45.218641
-50.0,50,45.522721
-50.0,50,45.8771
-28.0,50,46.217755
-50.0,50,46.524722
-28.0,50,46.823085
-50.0,50,47.145239
-50.0,50,47.425626
-39.0,50,48.026148
-50.0,50,50.178279
-50.0,50,52.330972
-50.0,50,54.419735
-50.0,50,56.612739
-39.0,50,58.828406
-28.0,50,61.073403
-28.0,50,63.431958
-50.0,50,65.811092
