# {"t_start": 1587406097.53173, "env_id": "FetchPickAndPlace-v1"} 
r,l,t
-50.0,50,3.718173
-50.0,50,5.01369
-50.0,50,6.073543
-50.0,50,7.186087
-50.0,50,8.276112
-50.0,50,9.362137
-50.0,50,10.457049
-50.0,50,11.536778
-50.0,50,12.643949
-50.0,50,13.755131
-50.0,50,14.892927
-50.0,50,16.104049
-50.0,50,17.311987
-50.0,50,18.454917
-50.0,50,19.623686
-50.0,50,20.751242
-50.0,50,21.786747
-50.0,50,22.912342
-39.0,50,24.541936
-50.0,50,26.030833
-50.0,50,27.616273
-50.0,50,29.247241
-28.0,50,30.764596
-50.0,50,32.774222
-50.0,50,34.632123
-28.0,50,36.462348
-28.0,50,38.341326
-50.0,50,40.267655
-39.0,50,42.245073
-50.0,50,44.22738
-39.0,50,46.29669
-39.0,50,48.394051
-28.0,50,50.497866
-39.0,50,52.65831
-50.0,50,54.840266
-28.0,50,57.095331
-39.0,50,59.353903
-50.0,50,61.666914
-50.0,50,63.758259
-39.0,50,65.889662
-50.0,50,68.007882
-50.0,50,70.120917
-28.0,50,72.298515
-28.0,50,74.560701
-39.0,50,76.899436
-39.0,50,79.277098
-50.0,50,81.683546
-28.0,50,84.277551
-50.0,50,86.971655
-28.0,50,89.503321
-39.0,50,92.103245
-28.0,50,92.3773
-28.0,50,92.660591
-39.0,50,92.934597
-28.0,50,93.230086
-28.0,50,93.504704
-28.0,50,93.782302
-28.0,50,94.058759
-39.0,50,94.348444
-28.0,50,94.639362
-39.0,50,95.214689
-39.0,50,97.850006
-39.0,50,100.456346
-28.0,50,103.173644
-28.0,50,105.825408
-39.0,50,108.331056
-28.0,50,110.846029
-28.0,50,113.43286
-50.0,50,115.990994
-28.0,50,118.527906
-28.0,50,121.136818
-39.0,50,123.839724
-28.0,50,126.480584
-28.0,50,129.033552
-39.0,50,131.638681
-28.0,50,134.235233
-28.0,50,136.790649
-28.0,50,139.395793
-39.0,50,142.020192
-50.0,50,144.713392
-28.0,50,147.388483
-28.0,50,149.95384
-28.0,50,152.526154
-28.0,50,155.186364
-28.0,50,157.775604
-28.0,50,160.38031
-28.0,50,162.980546
-28.0,50,165.659274
-39.0,50,168.28457
-28.0,50,170.935252
-28.0,50,173.576658
-28.0,50,176.276981
-28.0,50,178.956367
-39.0,50,181.714044
-28.0,50,184.481699
-22.0,50,187.330596
-28.0,50,190.155522
-28.0,50,192.792875
-28.0,50,195.651332
-28.0,50,198.527162
-28.0,50,201.465283
-28.0,50,204.424561
-39.0,50,207.530924
-28.0,50,210.634736
-28.0,50,213.801354
-28.0,50,216.908931
-28.0,50,220.063287
-28.0,50,223.124098
-28.0,50,226.28451
-39.0,50,229.494052
9.0,50,232.708422
-28.0,50,232.97446
-28.0,50,233.271038
-28.0,50,233.547324
-28.0,50,233.814041
-28.0,50,234.121647
-28.0,50,234.385494
-17.0,50,234.679346
-28.0,50,234.957671
-18.0,50,235.24423
-39.0,50,235.51366
-39.0,50,238.694432
-28.0,50,241.821747
-28.0,50,244.945982
-28.0,50,248.079514
-39.0,50,251.223423
-28.0,50,254.291671
-39.0,50,257.3785
-25.0,50,260.643384
-28.0,50,263.955241
-28.0,50,267.242796
-28.0,50,270.512073
-39.0,50,273.817716
-17.0,50,277.15023
-28.0,50,280.579938
-28.0,50,283.93598
-28.0,50,287.547327
-28.0,50,290.937872
-39.0,50,294.256121
-28.0,50,297.565231
-28.0,50,300.795004
-28.0,50,304.157806
-28.0,50,307.701361
-28.0,50,311.313099
-28.0,50,314.881557
-28.0,50,318.451139
-28.0,50,321.829168
3.0,50,325.244444
-39.0,50,328.769718
-28.0,50,332.240571
-28.0,50,335.776454
-28.0,50,339.258008
-28.0,50,342.745933
-28.0,50,346.265802
-28.0,50,349.876585
-28.0,50,353.372799
-28.0,50,356.928957
-28.0,50,360.408352
-28.0,50,363.890153
10.0,50,367.353301
-28.0,50,370.837251
-28.0,50,374.354133
-28.0,50,377.899475
-28.0,50,381.427455
-28.0,50,384.953077
-28.0,50,388.455842
-28.0,50,391.931648
-28.0,50,395.471539
-28.0,50,399.076401
-28.0,50,402.688797
-28.0,50,406.338796
-28.0,50,406.560226
-28.0,50,406.808337
-28.0,50,407.047486
-28.0,50,407.304046
-28.0,50,407.5331
-28.0,50,407.783005
-28.0,50,408.064663
-28.0,50,408.340313
-28.0,50,408.610468
-28.0,50,408.851254
-28.0,50,412.491449
-28.0,50,416.148163
5.0,50,419.807728
-28.0,50,423.520704
-28.0,50,427.230463
-28.0,50,430.943364
-28.0,50,434.666993
-28.0,50,438.41476
-28.0,50,442.222681
-28.0,50,445.999683
-23.0,50,449.750385
0.0,50,453.5432
-28.0,50,457.33553
-28.0,50,461.047596
-28.0,50,464.830049
-22.0,50,468.688677
-28.0,50,472.494034
-28.0,50,476.371527
7.0,50,480.232776
-28.0,50,484.119036
-28.0,50,487.97814
7.0,50,491.877479
-28.0,50,495.81892
-28.0,50,499.771106
-28.0,50,503.730407
-28.0,50,507.689001
-28.0,50,511.681276
-28.0,50,515.698259
-28.0,50,519.730618
-28.0,50,523.764467
-28.0,50,527.822154
-28.0,50,531.88511
-28.0,50,535.966677
-28.0,50,540.021513
-28.0,50,544.164871
-28.0,50,548.254354
-28.0,50,552.394649
-28.0,50,556.537111
-28.0,50,560.677355
-25.0,50,564.82919
-28.0,50,568.972171
11.0,50,573.164303
-9.0,50,577.395102
-28.0,50,581.652941
-28.0,50,585.880707
-28.0,50,590.123602
-28.0,50,594.373758
-28.0,50,598.665751
-28.0,50,602.935562
-12.0,50,607.210711
-28.0,50,607.450947
-28.0,50,607.699166
11.0,50,607.936182
-28.0,50,608.186136
-28.0,50,608.423991
-28.0,50,608.681154
-28.0,50,608.944338
-28.0,50,609.209364
-28.0,50,609.439391
-28.0,50,609.686016
-28.0,50,614.057869
0.0,50,618.425126
-28.0,50,622.814904
-28.0,50,627.167673
-28.0,50,631.506916
-28.0,50,635.915413
-28.0,50,640.316579
5.0,50,644.719321
-28.0,50,649.103752
-16.0,50,653.511248
0.0,50,657.902544
-28.0,50,662.350782
4.0,50,666.919272
-28.0,50,671.427033
-28.0,50,675.905913
-28.0,50,680.454012
-28.0,50,684.946812
-28.0,50,689.475026
-28.0,50,694.017444
-5.0,50,698.570806
-28.0,50,703.170536
-28.0,50,707.800427
-28.0,50,712.401969
-28.0,50,717.039142
-28.0,50,721.652302
-28.0,50,726.383576
-28.0,50,731.072361
-28.0,50,735.782085
-14.0,50,740.437152
-28.0,50,745.12343
-28.0,50,749.799495
-28.0,50,754.470827
-28.0,50,759.253654
-28.0,50,764.011277
-28.0,50,768.780568
-28.0,50,773.532594
-28.0,50,778.299247
-28.0,50,783.079298
-28.0,50,787.88891
-28.0,50,792.754345
-28.0,50,797.607869
-14.0,50,802.453222
-28.0,50,807.333332
-28.0,50,812.199389
-28.0,50,817.100244
-3.0,50,822.026968
-14.0,50,826.964752
-28.0,50,831.890361
-28.0,50,836.856405
15.0,50,841.807984
-27.0,50,842.055807
-28.0,50,842.295059
-28.0,50,842.559104
7.0,50,842.821087
11.0,50,843.060319
-28.0,50,843.310628
17.0,50,843.561179
-28.0,50,843.821125
-28.0,50,844.073933
-28.0,50,844.304018
4.0,50,849.583289
-28.0,50,854.612564
7.0,50,859.620775
-28.0,50,864.933223
-28.0,50,869.837494
-2.0,50,874.817519
-28.0,50,879.768981
-22.0,50,884.711071
-28.0,50,889.498801
-28.0,50,894.324939
-28.0,50,899.284993
6.0,50,904.239089
