epoch,p0/stats_g/mean,p0/stats_g/std,p0/stats_o/mean,p0/stats_o/std,p1/stats_g/mean,p1/stats_g/std,p1/stats_o/mean,p1/stats_o/std,p2/stats_g/mean,p2/stats_g/std,p2/stats_o/mean,p2/stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.87320757,0.08577863,0.19707012,0.056873742,0.8367806,0.084768355,0.22030503,0.16515014,0.8653993,0.14859517,0.281051,0.11382054,20.0,-1.6934673225134609,0.0,100.0,0.0
1,0.86883473,0.08254499,0.19626376,0.057923727,0.84031606,0.08030037,0.21775326,0.15233284,0.84077805,0.1408477,0.27767703,0.14763345,40.0,-2.0369140893518924,0.2,200.0,0.01
2,0.86761576,0.080676645,0.19627796,0.05627258,0.8431101,0.07826153,0.22432695,0.14676102,0.84226626,0.12824829,0.2740474,0.14027898,60.0,-4.220046084821225,0.05,300.0,0.03
3,0.86709005,0.079038434,0.19646166,0.05497943,0.8440817,0.07798801,0.22372057,0.14457917,0.8428996,0.12958188,0.27605635,0.14476486,80.0,-4.44275064638257,0.2,400.0,0.09
4,0.865751,0.07772801,0.19580516,0.060652036,0.8436055,0.07768318,0.22224179,0.14230575,0.8396029,0.12655556,0.27375352,0.14224377,100.0,-3.314213223695755,0.5,500.0,0.11
5,0.8650849,0.07672449,0.19586383,0.059292514,0.84352165,0.077467784,0.22114007,0.14032781,0.8402088,0.12507589,0.27284077,0.14354633,120.0,-7.756888535246253,0.25,600.0,0.12
6,0.8645746,0.075636394,0.19595136,0.057928663,0.84359956,0.07705795,0.22042516,0.13826016,0.84066206,0.12876153,0.27256063,0.14493118,140.0,-5.913856868416071,0.35,700.0,0.15
7,0.86389345,0.07480914,0.1958278,0.05751253,0.8435857,0.0769236,0.219865,0.13747764,0.8400238,0.12959409,0.2726192,0.14985031,160.0,-7.082660462200641,0.5,800.0,0.18
8,0.86277086,0.074010424,0.19567989,0.05641211,0.84309226,0.07681801,0.2193953,0.1355529,0.83794594,0.13050143,0.2726671,0.15131104,180.0,-4.406825944557786,0.55,900.0,0.17
9,0.86283,0.073260635,0.19583263,0.055318356,0.8435786,0.07661079,0.21893308,0.1342003,0.8374202,0.13163327,0.27246964,0.15122356,200.0,-5.6932556428760295,0.5,1000.0,0.15
10,0.8623817,0.07253036,0.1957872,0.054506622,0.84323555,0.07623661,0.2186647,0.13297066,0.83762974,0.12982993,0.27159053,0.15068118,220.0,-4.896504822134972,0.65,1100.0,0.21
11,0.8618686,0.07193313,0.19578657,0.053939085,0.8433024,0.07600435,0.2178341,0.1328758,0.8365657,0.1307764,0.27166945,0.15141048,240.0,-4.172017827048897,0.75,1200.0,0.32
12,0.86115986,0.071453445,0.1957173,0.053177945,0.8429399,0.075773895,0.21733482,0.13117702,0.83627564,0.13204068,0.27186424,0.15210396,260.0,-8.209684460058808,0.55,1300.0,0.31
13,0.8613493,0.07094432,0.19587483,0.05246766,0.84351563,0.075613394,0.21699698,0.13024999,0.8370428,0.132179,0.2724172,0.1513518,280.0,-5.1145663726031785,0.7,1400.0,0.37
14,0.86117107,0.07049298,0.19592807,0.05216865,0.8435567,0.07544982,0.21639384,0.13291794,0.8369884,0.13216154,0.27205232,0.15142526,300.0,-7.232279833197593,0.6,1500.0,0.32
15,0.8609111,0.07000131,0.19596995,0.051759675,0.84356713,0.07522362,0.21633084,0.13146304,0.8366664,0.13362835,0.27211496,0.15173,320.0,-8.768932341456413,0.55,1600.0,0.27
16,0.86095214,0.06960027,0.1960586,0.051451728,0.84379005,0.07509322,0.21634267,0.13055246,0.8370011,0.1340267,0.27233464,0.15215741,340.0,-9.828723320916295,0.5,1700.0,0.34
17,0.86090106,0.069350585,0.19611444,0.050973658,0.8439538,0.07504994,0.21613678,0.12931813,0.8376803,0.13354048,0.27231884,0.15161909,360.0,-8.559685146272182,0.55,1800.0,0.25
18,0.86065555,0.06908514,0.19611102,0.050530814,0.8440972,0.07492862,0.2157302,0.12990806,0.8379691,0.13351269,0.2720183,0.15233772,380.0,-2.7684355574548243,0.85,1900.0,0.35
19,0.8603463,0.068779826,0.19605373,0.050232146,0.84375626,0.074765466,0.21559818,0.1288353,0.8381507,0.13478017,0.27237153,0.15236363,400.0,-3.256474237322807,0.8,2000.0,0.35
20,0.86023664,0.068508,0.1960316,0.04979407,0.84364516,0.074743606,0.21557449,0.1278452,0.83815646,0.13429429,0.27232295,0.15215896,420.0,-3.5849039724469187,0.85,2100.0,0.32
21,0.8599934,0.068302624,0.19597861,0.049458757,0.8435896,0.07464954,0.21539024,0.12690936,0.8381917,0.13402289,0.2724172,0.15180619,440.0,-3.192205553710461,0.75,2200.0,0.34
22,0.8598633,0.06808606,0.19597243,0.049115364,0.8436456,0.074523665,0.2153977,0.1260635,0.8382425,0.13469075,0.27242038,0.15158941,460.0,-4.3065784811973575,0.65,2300.0,0.24
23,0.8597035,0.0678634,0.19595104,0.04873715,0.8434624,0.07455308,0.21584906,0.12648572,0.8387031,0.13483751,0.272495,0.15159759,480.0,-2.4767404982447623,0.85,2400.0,0.32
24,0.85968333,0.0676846,0.19603005,0.048697434,0.8435697,0.074415065,0.21575458,0.12624012,0.83933336,0.13445939,0.272572,0.15133695,500.0,-1.4781861850321292,0.95,2500.0,0.31
25,0.8599071,0.06751504,0.19614561,0.048405305,0.84411573,0.074364275,0.21599343,0.12564728,0.8399232,0.13460056,0.2725007,0.15095216,520.0,-2.899218309760094,0.7,2600.0,0.39
26,0.8597059,0.06727987,0.19612017,0.04811537,0.84395224,0.07431301,0.21580642,0.1253867,0.84006435,0.13477457,0.27225396,0.15088633,540.0,-1.2546198220252989,0.9,2700.0,0.41
27,0.85946316,0.06708525,0.19609831,0.048271112,0.8440056,0.07421663,0.21581298,0.12497127,0.84027594,0.13466878,0.2722829,0.15078205,560.0,-1.6291549290418625,0.85,2800.0,0.39
28,0.85955614,0.06688078,0.1961495,0.047949824,0.84425586,0.07412226,0.21578437,0.1243296,0.8407502,0.13471253,0.272286,0.15066291,580.0,-1.8365294741690161,0.9,2900.0,0.37
29,0.85964584,0.066732645,0.19620825,0.047656797,0.84459853,0.07404711,0.2158967,0.124052495,0.84110147,0.13435422,0.27246383,0.15060247,600.0,-2.0170478913486005,0.85,3000.0,0.45
30,0.8595915,0.06650344,0.19620998,0.047399662,0.84464455,0.073917724,0.2158594,0.12365802,0.8416243,0.13347404,0.27243322,0.1504897,620.0,-1.1240743699073792,0.95,3100.0,0.47
31,0.8593774,0.066405326,0.19618407,0.047143176,0.84456414,0.07387131,0.21566607,0.123057656,0.84211594,0.13294692,0.27245453,0.15036057,640.0,-1.9798374329209327,0.9,3200.0,0.45
32,0.8593425,0.066275276,0.19619006,0.046825606,0.84466076,0.07383748,0.21562234,0.122402854,0.8423498,0.13263078,0.27236736,0.14970598,660.0,-2.330617529213428,0.8,3300.0,0.51
33,0.8593741,0.06619256,0.19621338,0.046915844,0.84486276,0.07379918,0.21569262,0.12276066,0.842674,0.13299964,0.27241433,0.14998916,680.0,-1.4719483467042447,0.9,3400.0,0.34
34,0.8593135,0.06604012,0.19621357,0.046650983,0.8450087,0.07376567,0.2158716,0.12218854,0.8429721,0.1327836,0.27242455,0.14999405,700.0,-1.4162792071700094,0.85,3500.0,0.39
35,0.8592593,0.06595277,0.19622566,0.046436504,0.84495497,0.07373346,0.21587251,0.12151921,0.8431786,0.1330715,0.2723424,0.14979416,720.0,-1.600202516764402,0.8,3600.0,0.44
36,0.85913277,0.06581808,0.19617644,0.046285316,0.84492546,0.07365408,0.21583766,0.12089184,0.84340125,0.1327453,0.27242932,0.14936937,740.0,-1.1447055402100088,0.95,3700.0,0.48
