# {"t_start": 1587538948.8467002, "env_id": "FetchPickAndPlace-v1"} 
r,l,t
-50.0,50,5.151623
-39.0,50,8.060522
-39.0,50,10.51197
-28.0,50,12.955684
-39.0,50,15.452791
-50.0,50,17.948682
-50.0,50,20.417543
-28.0,50,22.938166
-28.0,50,25.441146
-50.0,50,28.065343
-39.0,50,30.637766
-39.0,50,33.186421
-50.0,50,35.666808
-50.0,50,38.229803
-50.0,50,40.78662
-50.0,50,43.390492
-39.0,50,46.023662
-39.0,50,48.653914
-28.0,50,51.130346
-28.0,50,53.651348
-39.0,50,56.46586
-28.0,50,56.718394
-28.0,50,56.974682
-28.0,50,57.239217
-50.0,50,57.495368
-39.0,50,57.763033
-39.0,50,58.005303
-28.0,50,58.275131
-39.0,50,58.534477
-28.0,50,58.807955
-28.0,50,59.409365
-28.0,50,62.198469
-39.0,50,64.912057
-39.0,50,67.623644
-28.0,50,70.370868
-50.0,50,73.112301
-50.0,50,75.888006
-39.0,50,78.618956
-39.0,50,81.346067
-28.0,50,84.082666
-50.0,50,86.911355
-50.0,50,89.675071
-39.0,50,92.520452
-39.0,50,95.46067
-50.0,50,98.333557
-39.0,50,101.207431
-39.0,50,104.129036
-39.0,50,106.938365
-22.0,50,109.865047
-50.0,50,112.955817
-28.0,50,116.006634
-28.0,50,116.24581
-28.0,50,116.510998
-39.0,50,116.779215
-28.0,50,117.047332
-39.0,50,117.306278
-50.0,50,117.582518
-50.0,50,117.836799
-3.0,50,118.109235
-28.0,50,118.386245
-39.0,50,118.651223
-50.0,50,121.720875
-50.0,50,124.716847
-50.0,50,127.716587
-50.0,50,130.714349
-39.0,50,133.707011
-39.0,50,136.71851
-50.0,50,139.750378
-39.0,50,142.728812
-39.0,50,145.756412
-39.0,50,148.880235
-14.0,50,152.042522
-50.0,50,155.177416
-39.0,50,158.316569
-50.0,50,161.504412
-39.0,50,164.796989
-28.0,50,168.049918
-50.0,50,171.253913
-28.0,50,174.535773
-50.0,50,177.675736
-50.0,50,180.881069
-50.0,50,181.13803
-50.0,50,181.400287
-18.0,50,181.681693
-28.0,50,181.961008
-50.0,50,182.278345
-2.0,50,182.566881
-50.0,50,182.8356
-50.0,50,183.092197
-28.0,50,183.383563
-50.0,50,183.647649
-39.0,50,187.065607
-50.0,50,190.378948
-50.0,50,193.670417
-50.0,50,196.957353
-50.0,50,200.244416
-50.0,50,203.524831
-50.0,50,206.822602
-50.0,50,210.154156
-50.0,50,213.49158
-50.0,50,216.814821
-39.0,50,220.042877
-50.0,50,223.406153
-50.0,50,226.801271
-39.0,50,230.112752
-39.0,50,233.52196
-39.0,50,236.952128
-50.0,50,240.422671
-50.0,50,243.843336
-50.0,50,247.271441
-50.0,50,250.771949
-50.0,50,251.042432
-50.0,50,251.301588
-9.0,50,251.568347
-15.0,50,251.831293
-50.0,50,252.07669
-2.0,50,252.334503
-15.0,50,252.603871
-28.0,50,252.879348
-22.0,50,253.141372
-39.0,50,253.40533
-50.0,50,256.851317
-50.0,50,260.429924
-50.0,50,263.975197
-50.0,50,267.474129
-50.0,50,271.034867
-50.0,50,274.670508
-16.0,50,278.549877
-50.0,50,282.254275
-50.0,50,286.636802
-50.0,50,290.537439
-39.0,50,294.3088
-50.0,50,297.623121
-39.0,50,301.062475
-50.0,50,304.672544
-50.0,50,308.307385
-50.0,50,311.884146
-50.0,50,315.450553
-50.0,50,319.089099
-39.0,50,322.887785
-39.0,50,326.699245
-28.0,50,326.96561
-28.0,50,327.243919
-8.0,50,327.512524
-50.0,50,327.776766
-28.0,50,328.039263
-28.0,50,328.305007
-24.0,50,328.564638
-5.0,50,328.835168
-8.0,50,329.097523
-39.0,50,329.343279
-50.0,50,333.124412
-50.0,50,336.831242
-50.0,50,340.554575
-50.0,50,344.220018
-50.0,50,347.955832
-28.0,50,351.763992
-50.0,50,355.673792
-39.0,50,359.759593
-50.0,50,363.867236
-50.0,50,367.714033
-50.0,50,371.611073
-50.0,50,375.499392
-50.0,50,379.261633
-25.0,50,383.073818
-50.0,50,386.867438
-50.0,50,390.712605
-39.0,50,394.556422
-50.0,50,398.29809
-50.0,50,402.225435
-28.0,50,406.241992
-28.0,50,406.512937
-28.0,50,406.773334
-17.0,50,407.04502
-50.0,50,407.312693
-28.0,50,407.562736
-28.0,50,407.784678
-10.0,50,408.015683
-28.0,50,408.268616
-18.0,50,408.516614
-50.0,50,408.770536
-50.0,50,412.861202
-39.0,50,417.003338
-28.0,50,420.95595
-50.0,50,424.931258
-39.0,50,429.102318
-50.0,50,433.207991
-50.0,50,437.532349
-50.0,50,441.703283
-50.0,50,445.847885
-39.0,50,450.2412
-50.0,50,454.43993
-50.0,50,458.53856
-50.0,50,462.750883
-50.0,50,466.991249
-50.0,50,471.272851
-50.0,50,475.615692
-50.0,50,479.897267
-50.0,50,484.173688
-50.0,50,488.452543
-28.0,50,492.76263
-28.0,50,493.030988
-16.0,50,493.296772
-11.0,50,493.56293
-28.0,50,493.815637
-50.0,50,494.05755
-10.0,50,494.316544
-28.0,50,494.576643
-28.0,50,494.837823
-12.0,50,495.094413
-39.0,50,495.336618
-50.0,50,499.534245
-39.0,50,503.85304
-39.0,50,508.210487
-50.0,50,512.521137
-50.0,50,517.025886
-50.0,50,521.392089
-50.0,50,525.598764
-50.0,50,529.803232
-28.0,50,534.059717
-50.0,50,538.512074
-50.0,50,543.020262
-50.0,50,547.574128
-50.0,50,552.262432
-39.0,50,556.926113
-50.0,50,561.557441
-50.0,50,565.98323
-39.0,50,570.466446
-50.0,50,574.995627
-50.0,50,579.598696
-28.0,50,584.319829
-50.0,50,584.561853
-50.0,50,584.812187
-50.0,50,585.08709
-5.0,50,585.358321
-28.0,50,585.62096
-50.0,50,585.884451
-28.0,50,586.146758
-9.0,50,586.413057
-28.0,50,586.670223
-50.0,50,586.898062
-50.0,50,591.357952
-50.0,50,595.84945
-50.0,50,600.401751
-50.0,50,604.890994
-50.0,50,609.315307
-50.0,50,613.709141
-50.0,50,618.201827
-28.0,50,622.743095
-39.0,50,627.2922
-50.0,50,631.874949
-50.0,50,636.486543
-39.0,50,641.280137
-50.0,50,646.319826
-50.0,50,651.211196
-50.0,50,655.817774
-50.0,50,660.511233
-50.0,50,665.242512
-50.0,50,670.27529
-50.0,50,675.218643
-28.0,50,680.309957
-28.0,50,680.58398
-28.0,50,680.841856
-19.0,50,681.097373
-13.0,50,681.367871
-28.0,50,681.640881
-28.0,50,681.898476
-28.0,50,682.162368
-28.0,50,682.415526
-28.0,50,682.699713
-50.0,50,682.947747
-28.0,50,687.930795
-50.0,50,692.999771
-50.0,50,698.141822
-50.0,50,703.106065
-50.0,50,707.892396
-50.0,50,712.794318
-39.0,50,717.840129
-50.0,50,722.988636
-50.0,50,728.125982
-50.0,50,733.310346
-50.0,50,738.333841
-50.0,50,743.194263
-50.0,50,748.149641
-50.0,50,753.259437
