epoch,p0/stats_g/mean,p0/stats_g/std,p0/stats_o/mean,p0/stats_o/std,p1/stats_g/mean,p1/stats_g/std,p1/stats_o/mean,p1/stats_o/std,p2/stats_g/mean,p2/stats_g/std,p2/stats_o/mean,p2/stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.8433711,0.097543776,0.19127904,0.061947856,0.85174555,0.08302016,0.23099221,0.07440923,0.8605571,0.09778882,0.27433497,0.06359239,20.0,-0.024376137012586695,0.0,40.0,0.0
1,0.84426004,0.09195099,0.19233309,0.061205592,0.85129136,0.08393633,0.23007353,0.08704964,0.861541,0.10201646,0.2730636,0.073641606,40.0,-0.06277254200703465,0.05,80.0,0.0
2,0.84664756,0.08738646,0.19402553,0.06370831,0.85403734,0.08414399,0.23087081,0.08662414,0.8603646,0.10383373,0.27300227,0.07625256,60.0,-0.029880683861149004,0.25,120.0,0.025
3,0.84659386,0.08353307,0.19477192,0.06119465,0.8524849,0.082442336,0.23015298,0.085915,0.86000085,0.1036397,0.27257589,0.0768119,80.0,-0.026816828419367084,0.25,160.0,0.0
4,0.847491,0.08219829,0.19428666,0.06893433,0.84889054,0.08260142,0.22942409,0.08625376,0.8592786,0.1041018,0.27196416,0.07870135,100.0,-0.061998108008468986,0.35,200.0,0.025
5,0.8493426,0.07977309,0.19576181,0.073022336,0.8485574,0.08170372,0.22972551,0.08527092,0.85898703,0.104192905,0.27217537,0.07955743,120.0,-0.06139539863087702,0.3,240.0,0.0
6,0.85021645,0.07801094,0.19596499,0.07029194,0.847599,0.08187824,0.229074,0.08535858,0.8588293,0.10353456,0.27228457,0.07908735,140.0,-0.03513854198134504,0.45,280.0,0.0
7,0.85154265,0.076788224,0.1961475,0.070414424,0.8492525,0.08146874,0.22932127,0.08605477,0.8590097,0.10357445,0.2723332,0.079060115,160.0,-0.04361964141688076,0.25,320.0,0.0
8,0.8524013,0.07523274,0.19593158,0.06964477,0.8500931,0.08087791,0.22950612,0.08541344,0.85860187,0.10362347,0.271874,0.08019328,180.0,-0.06391321999626234,0.15,360.0,0.0
9,0.8540247,0.07408227,0.19649108,0.06914303,0.85004014,0.08099834,0.22966167,0.091792874,0.8585729,0.10347401,0.27187464,0.0801067,200.0,-0.06129280074205599,0.25,400.0,0.0
10,0.85504586,0.07329667,0.19672856,0.0689002,0.8500619,0.080655314,0.22988993,0.090945974,0.8589793,0.10338837,0.2714788,0.080901235,220.0,-0.03166368700770545,0.45,440.0,0.0
11,0.8553373,0.07254058,0.19665931,0.06772362,0.8497369,0.08058826,0.22957134,0.09025754,0.85879344,0.10311522,0.27150127,0.08075364,240.0,-0.03752548796369228,0.05,480.0,0.0
12,0.8546493,0.07169847,0.1962787,0.06682373,0.8499909,0.08048502,0.2296666,0.09026826,0.85879344,0.10311522,0.27150127,0.08075364,260.0,-0.03917541191278724,0.3,520.0,0.025
13,0.8546171,0.07106945,0.1962195,0.06530807,0.85032773,0.08051986,0.22945645,0.09035276,0.85879344,0.10311522,0.27150127,0.08075364,280.0,-0.022083216234634166,0.45,560.0,0.0
14,0.8548972,0.070446156,0.19618383,0.06385729,0.84949106,0.08049853,0.22973162,0.09054176,0.85879344,0.10311522,0.27150127,0.08075364,300.0,-0.02552428826072719,0.4,600.0,0.0
15,0.8549993,0.06973579,0.1962695,0.06298033,0.8493126,0.08043621,0.22969307,0.0903782,0.85879344,0.10311522,0.27150127,0.08075364,320.0,-0.023617700980685184,0.35,640.0,0.0
