# {"t_start": 1587390277.4662948, "env_id": "FetchPickAndPlace-v1"} 
r,l,t
-50.0,50,3.762015
-50.0,50,4.336191
-50.0,50,4.698753
-50.0,50,5.060623
-50.0,50,5.446689
-50.0,50,5.826467
-50.0,50,6.222929
-50.0,50,6.611201
-50.0,50,7.00072
-50.0,50,7.404146
-50.0,50,7.797065
-50.0,50,8.234576
-50.0,50,8.676417
-50.0,50,9.116375
-50.0,50,9.550749
-50.0,50,9.991198
-39.0,50,10.429744
-50.0,50,11.060739
-50.0,50,11.58639
-50.0,50,12.139822
-50.0,50,12.741592
-50.0,50,13.272846
-50.0,50,13.881408
-50.0,50,14.516638
-50.0,50,15.098918
-50.0,50,15.664636
-50.0,50,16.249601
-50.0,50,16.833301
-50.0,50,17.40061
-50.0,50,17.967685
-50.0,50,18.557041
-50.0,50,19.209351
-50.0,50,19.842964
-50.0,50,20.56721
-50.0,50,21.192606
-50.0,50,21.829602
-50.0,50,22.475776
-50.0,50,23.174898
-50.0,50,23.825658
-50.0,50,24.506783
-50.0,50,25.346318
-50.0,50,26.139288
-50.0,50,26.837031
-50.0,50,27.51922
-39.0,50,28.196147
-50.0,50,28.859554
-50.0,50,29.540074
-50.0,50,30.231827
-50.0,50,30.930314
-50.0,50,31.6501
-50.0,50,32.466024
-50.0,50,32.667583
-50.0,50,32.879255
-50.0,50,33.088435
-50.0,50,33.290032
-50.0,50,33.497814
-50.0,50,33.701681
-50.0,50,33.908142
-50.0,50,34.114827
-50.0,50,34.34381
-50.0,50,34.853966
-50.0,50,35.599383
-50.0,50,36.342664
-50.0,50,37.131763
-50.0,50,37.923645
-50.0,50,38.716968
-50.0,50,39.505498
-50.0,50,40.312099
-50.0,50,41.171765
-50.0,50,42.01191
-50.0,50,42.871673
-50.0,50,43.725631
-50.0,50,44.589146
-50.0,50,45.461968
-50.0,50,46.300116
-50.0,50,47.149409
-50.0,50,48.016479
-50.0,50,48.880504
-50.0,50,49.746937
-50.0,50,50.739719
-50.0,50,51.697226
-50.0,50,52.642393
-50.0,50,53.569013
-50.0,50,54.51739
-50.0,50,55.511709
-50.0,50,56.474123
-50.0,50,57.420734
-50.0,50,58.369546
-50.0,50,59.369171
-50.0,50,60.47205
-50.0,50,61.526598
-50.0,50,62.546381
-50.0,50,63.599052
-50.0,50,64.605108
-50.0,50,65.613089
-50.0,50,66.666493
-50.0,50,67.70197
-50.0,50,68.771824
-50.0,50,69.796469
-50.0,50,70.859552
-50.0,50,71.914314
-50.0,50,72.981975
-50.0,50,74.052393
-50.0,50,75.12078
-50.0,50,76.230554
-50.0,50,77.317347
-50.0,50,78.420352
-50.0,50,79.578805
-50.0,50,80.724145
-50.0,50,81.856529
-50.0,50,83.009542
-50.0,50,83.25065
-50.0,50,83.495633
-50.0,50,83.753907
-50.0,50,83.995378
-50.0,50,84.221307
-50.0,50,84.437818
-50.0,50,84.673265
-50.0,50,84.913381
-50.0,50,85.153561
-50.0,50,85.386292
-50.0,50,86.532586
-50.0,50,87.67686
-28.0,50,88.859054
-50.0,50,90.483104
-50.0,50,91.988755
-50.0,50,93.511708
-50.0,50,95.077552
-50.0,50,96.641723
-50.0,50,98.215093
-50.0,50,99.839047
-50.0,50,101.431259
-50.0,50,103.005183
-50.0,50,104.619994
-50.0,50,106.213349
-50.0,50,107.822227
-50.0,50,109.477541
-50.0,50,111.140283
-50.0,50,112.784836
-50.0,50,114.424535
-50.0,50,116.270578
-50.0,50,118.217833
-50.0,50,120.432081
-50.0,50,122.572991
-50.0,50,124.535457
-50.0,50,126.480062
-50.0,50,128.34483
-50.0,50,130.23731
-50.0,50,132.085333
-50.0,50,134.313855
-50.0,50,136.567456
-50.0,50,138.986553
-50.0,50,141.292726
-50.0,50,143.50227
-50.0,50,145.626867
-50.0,50,147.529354
-50.0,50,149.47803
-50.0,50,151.426723
-50.0,50,153.357202
-50.0,50,155.287584
-50.0,50,157.181796
-50.0,50,159.161853
-50.0,50,161.255753
-50.0,50,163.437787
-50.0,50,165.546643
-50.0,50,167.509017
-50.0,50,169.49977
-50.0,50,171.485662
-50.0,50,173.511695
-50.0,50,175.895641
-50.0,50,178.290304
-50.0,50,178.548152
-50.0,50,178.811113
-50.0,50,179.054636
-50.0,50,179.309381
-50.0,50,179.532351
-50.0,50,179.785976
-50.0,50,180.024896
-50.0,50,180.270216
-50.0,50,180.5133
-50.0,50,180.74695
-50.0,50,182.951023
-50.0,50,185.190981
-50.0,50,187.514016
-50.0,50,189.673807
-50.0,50,191.849436
-50.0,50,194.222187
-50.0,50,196.511502
-50.0,50,198.719867
-50.0,50,201.065708
-50.0,50,203.33135
-50.0,50,205.771938
-50.0,50,208.0325
-50.0,50,210.401523
-50.0,50,212.757365
-50.0,50,215.100844
-50.0,50,217.51626
-50.0,50,219.928142
-50.0,50,222.31179
-50.0,50,224.74315
-50.0,50,227.29739
-50.0,50,229.69052
-50.0,50,232.137719
-50.0,50,234.577228
-50.0,50,237.093086
-50.0,50,239.75038
-50.0,50,242.318254
-50.0,50,245.132399
-50.0,50,247.781433
-50.0,50,250.457906
-50.0,50,252.989956
-50.0,50,255.463022
-50.0,50,257.930027
-50.0,50,260.423258
-50.0,50,263.012252
-50.0,50,265.450734
-50.0,50,267.98879
-50.0,50,270.469523
-50.0,50,272.969453
-50.0,50,275.451412
-50.0,50,278.013638
-50.0,50,280.549638
-50.0,50,283.094655
-50.0,50,285.707601
-50.0,50,288.448388
-50.0,50,291.342883
-50.0,50,294.358638
-50.0,50,297.022135
-50.0,50,299.780478
-50.0,50,302.54004
-50.0,50,305.284417
-50.0,50,305.522917
-50.0,50,305.776525
-50.0,50,305.99791
-50.0,50,306.212762
-50.0,50,306.431298
-50.0,50,306.651619
-50.0,50,306.870914
-50.0,50,307.102741
-50.0,50,307.335373
-39.0,50,307.569862
-50.0,50,310.452684
-50.0,50,313.188683
-50.0,50,315.938563
-50.0,50,318.708241
-50.0,50,321.472577
-50.0,50,324.278915
-50.0,50,327.034341
-50.0,50,329.79059
-50.0,50,332.558819
-50.0,50,335.356498
-50.0,50,338.207614
-50.0,50,341.032837
-50.0,50,343.904393
-50.0,50,346.77089
-50.0,50,349.833152
-50.0,50,353.652265
-50.0,50,357.059722
-50.0,50,360.160043
-50.0,50,363.218819
-50.0,50,366.361163
-50.0,50,369.502592
-50.0,50,372.793128
-50.0,50,376.02013
-50.0,50,379.21092
-50.0,50,382.782305
-50.0,50,386.043017
-50.0,50,389.05546
-50.0,50,392.248573
-50.0,50,395.37295
-50.0,50,398.596494
