# {"t_start": 1587595583.9931185, "env_id": "FetchPickAndPlace-v1"} 
r,l,t
-50.0,50,5.3509
-50.0,50,8.071473
-50.0,50,10.412064
-50.0,50,12.791004
-50.0,50,15.046311
-38.0,50,17.437055
-50.0,50,19.875482
-38.0,50,22.344772
-50.0,50,25.516222
-50.0,50,28.599448
-38.0,50,31.70481
-2.0,50,34.751387
-44.0,50,37.85525
-44.0,50,40.908587
-44.0,50,44.041357
-38.0,50,47.163245
-38.0,50,50.34697
-50.0,50,53.427198
-38.0,50,56.695416
-50.0,50,59.95415
-44.0,50,63.357219
-44.0,50,63.680858
-44.0,50,64.011817
-44.0,50,64.330127
-44.0,50,64.656153
-44.0,50,64.971994
-44.0,50,65.290511
-44.0,50,65.633259
-44.0,50,65.956756
-44.0,50,66.270643
-44.0,50,66.982135
-44.0,50,70.32762
-50.0,50,73.543117
-50.0,50,76.807311
-50.0,50,80.107261
-50.0,50,83.538529
-38.0,50,86.902618
-44.0,50,90.279862
-38.0,50,93.669154
-44.0,50,97.12714
-50.0,50,100.564435
-44.0,50,104.073946
-44.0,50,107.585386
-44.0,50,111.117599
-38.0,50,114.529046
-38.0,50,118.003727
-50.0,50,121.5546
-50.0,50,125.072446
-38.0,50,128.70321
-38.0,50,132.26813
-38.0,50,135.829533
-38.0,50,136.165974
-50.0,50,136.514554
-38.0,50,136.837292
-44.0,50,137.181658
-38.0,50,137.505405
-44.0,50,137.836505
-44.0,50,138.147651
-44.0,50,138.479959
-44.0,50,138.796424
-50.0,50,139.115295
-38.0,50,142.729795
-44.0,50,146.334541
-44.0,50,149.963649
-38.0,50,153.503846
-38.0,50,157.120801
-38.0,50,160.774678
-44.0,50,164.414576
-38.0,50,168.096449
-38.0,50,171.926196
-44.0,50,175.661386
-50.0,50,179.419333
-44.0,50,183.212923
-38.0,50,187.036967
-44.0,50,191.061403
-38.0,50,194.827213
-38.0,50,198.745333
-38.0,50,202.636592
-44.0,50,206.53626
-38.0,50,210.428067
-44.0,50,214.368909
-38.0,50,214.716235
-38.0,50,215.058596
-38.0,50,215.392431
-44.0,50,215.728393
-44.0,50,216.078232
-38.0,50,216.420101
1.0,50,216.763984
-38.0,50,217.110727
-38.0,50,217.447468
-38.0,50,217.780169
-44.0,50,221.759543
-44.0,50,225.773004
-44.0,50,229.624233
-38.0,50,233.662129
-38.0,50,237.663646
-50.0,50,241.673456
-38.0,50,245.751238
-44.0,50,249.845862
-38.0,50,253.885339
-44.0,50,258.016059
-44.0,50,262.161669
-44.0,50,266.202707
-44.0,50,270.438951
-38.0,50,274.655212
6.0,50,278.845857
-38.0,50,284.802264
-38.0,50,289.069235
-44.0,50,293.341397
-44.0,50,297.542192
-44.0,50,301.784439
-38.0,50,302.109305
-38.0,50,302.447369
-38.0,50,302.789719
-44.0,50,303.141543
-20.0,50,303.497178
-38.0,50,303.824456
-44.0,50,304.157508
-44.0,50,304.51412
0.0,50,304.865368
-44.0,50,305.180044
-44.0,50,309.175121
-38.0,50,312.601574
-38.0,50,316.12229
-44.0,50,319.608756
-44.0,50,323.245839
-6.0,50,326.869209
-44.0,50,330.322324
-38.0,50,333.752563
-38.0,50,337.207685
-11.0,50,340.571744
-38.0,50,343.961639
-44.0,50,347.449458
-38.0,50,351.269309
-38.0,50,354.850357
-38.0,50,358.449616
-18.0,50,362.027402
-38.0,50,365.753804
-36.0,50,369.365261
-38.0,50,373.160283
-44.0,50,377.022192
-44.0,50,377.286197
-38.0,50,377.545087
-36.0,50,377.837219
-44.0,50,378.110978
-44.0,50,378.35671
-44.0,50,378.602156
-38.0,50,378.870389
-44.0,50,379.132925
-38.0,50,379.406984
-38.0,50,379.705001
-38.0,50,383.539504
-38.0,50,387.347265
-12.0,50,391.110644
-38.0,50,395.034361
-38.0,50,398.846046
-33.0,50,402.504359
-38.0,50,406.462607
-38.0,50,410.4006
-38.0,50,414.354487
-44.0,50,418.080697
-38.0,50,421.818985
-17.0,50,425.762938
-38.0,50,429.62505
-50.0,50,433.448689
-38.0,50,437.205188
-38.0,50,441.05797
-38.0,50,445.0739
-38.0,50,448.970682
-38.0,50,452.84035
-38.0,50,456.861976
-44.0,50,457.149025
-38.0,50,457.425605
-1.0,50,457.690683
1.0,50,457.945555
-3.0,50,458.231362
1.0,50,458.523808
-10.0,50,458.787721
-2.0,50,459.063852
-6.0,50,459.336251
-44.0,50,459.600476
-38.0,50,463.640447
-38.0,50,467.718417
-8.0,50,471.65281
-38.0,50,475.490338
-9.0,50,479.41347
-38.0,50,483.394351
-38.0,50,487.332716
-38.0,50,491.46618
-6.0,50,495.704681
-38.0,50,499.871753
-44.0,50,504.032675
-36.0,50,508.004687
-44.0,50,512.055553
-38.0,50,516.088715
-38.0,50,520.133997
-38.0,50,524.17067
-38.0,50,528.26172
-38.0,50,532.506674
-38.0,50,536.733039
-44.0,50,540.909054
2.0,50,541.186863
-38.0,50,541.437993
-44.0,50,541.710947
-38.0,50,541.967583
-38.0,50,542.217169
-44.0,50,542.482698
-38.0,50,542.741499
-7.0,50,542.997576
-3.0,50,543.271681
-38.0,50,543.515298
-38.0,50,547.586972
-38.0,50,551.74777
-38.0,50,555.878543
-38.0,50,560.066127
-38.0,50,564.248642
-38.0,50,568.512081
-44.0,50,572.80816
-50.0,50,577.232162
-38.0,50,581.606652
-38.0,50,585.888211
-38.0,50,590.17171
-11.0,50,594.45681
-38.0,50,598.696728
-38.0,50,602.984389
-38.0,50,609.337397
-38.0,50,616.172351
-38.0,50,620.505465
-38.0,50,624.821812
-22.0,50,629.156954
-38.0,50,633.571447
-38.0,50,633.816358
-38.0,50,634.074341
-38.0,50,634.328446
3.0,50,634.585578
-38.0,50,634.830165
-38.0,50,635.080659
-37.0,50,635.336639
-38.0,50,635.578452
4.0,50,635.819461
-38.0,50,636.031269
-38.0,50,640.317487
-38.0,50,644.675635
-38.0,50,649.068385
-44.0,50,653.53062
-38.0,50,658.259369
-38.0,50,662.982879
-38.0,50,667.672612
-6.0,50,672.2932
-38.0,50,677.180332
-38.0,50,682.045718
-38.0,50,686.91407
-38.0,50,691.556006
-38.0,50,696.152023
-38.0,50,700.73637
-38.0,50,705.424201
-38.0,50,710.405143
-38.0,50,715.231468
-44.0,50,719.897854
-38.0,50,724.63191
-5.0,50,729.646425
-38.0,50,729.889591
3.0,50,730.150578
-38.0,50,730.45479
-15.0,50,730.725837
-38.0,50,730.967711
0.0,50,731.239734
-9.0,50,731.514455
-38.0,50,731.792713
-38.0,50,732.055612
-38.0,50,732.284763
3.0,50,737.078161
-38.0,50,741.860747
-38.0,50,746.738157
-38.0,50,751.653123
-38.0,50,756.51832
-38.0,50,761.4128
-38.0,50,766.208843
