epoch,p0/stats_g/mean,p0/stats_g/std,p0/stats_o/mean,p0/stats_o/std,p1/stats_g/mean,p1/stats_g/std,p1/stats_o/mean,p1/stats_o/std,p2/stats_g/mean,p2/stats_g/std,p2/stats_o/mean,p2/stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.84560114,0.09091762,0.19980627,0.080960244,0.8408203,0.076004274,0.23158334,0.07810222,0.86818,0.106487595,0.27761525,0.079675466,20.0,-0.7914074079245328,0.0,40.0,0.05
1,0.84194565,0.100004084,0.19855365,0.08343367,0.8312066,0.07992774,0.23245457,0.09291721,0.8687267,0.109070726,0.27825814,0.089531936,40.0,-1.6613836402669553,0.0,80.0,0.0
2,0.84601384,0.10197697,0.19906862,0.08920495,0.82562345,0.08458868,0.22748868,0.10345709,0.86928684,0.107637405,0.27815992,0.09503264,60.0,-1.7414157966561614,0.05,120.0,0.0
3,0.8444299,0.10150943,0.19863544,0.08819539,0.82472134,0.0880009,0.22558242,0.12816133,0.8676947,0.11476912,0.27688664,0.11018375,80.0,-1.8121101982444525,0.05,160.0,0.05
4,0.8446684,0.09997255,0.19846815,0.08673353,0.8246185,0.08758121,0.22805284,0.13474125,0.86249447,0.121113636,0.27650064,0.12384819,100.0,-2.2927685200273986,0.05,200.0,0.05
5,0.84517497,0.100180745,0.19823438,0.08780977,0.82693696,0.08743747,0.22851291,0.1358249,0.8612206,0.12272113,0.27756947,0.1296427,120.0,-2.194184357240796,0.55,240.0,0.1
6,0.84585553,0.098947205,0.19821754,0.08674167,0.8293008,0.08884916,0.22753404,0.13627417,0.8598414,0.12882154,0.275749,0.13639681,140.0,-2.79475910410285,0.45,280.0,0.175
7,0.8460293,0.09754584,0.19811267,0.085731,0.82926637,0.08839407,0.22657958,0.13552207,0.8591564,0.12454373,0.27479884,0.13731092,160.0,-3.787292593717575,0.2,320.0,0.125
8,0.846288,0.0965195,0.19800073,0.08472492,0.8299105,0.088251926,0.22694148,0.13606288,0.8557897,0.12454841,0.27449942,0.1364629,180.0,-3.759701626516878,0.4,360.0,0.05
9,0.8467805,0.09550873,0.19797608,0.08374684,0.8306265,0.08786575,0.22669557,0.1370473,0.85488945,0.12669398,0.27491927,0.13937806,200.0,-4.059140757754445,0.3,400.0,0.075
10,0.8470897,0.09451743,0.19787684,0.082745224,0.83085805,0.08758971,0.2257883,0.1385224,0.85388106,0.12396792,0.27512982,0.14085747,220.0,-4.96842218784988,0.25,440.0,0.15
11,0.84727496,0.09327531,0.19777109,0.0814835,0.8306524,0.087350406,0.22496693,0.13895354,0.8537926,0.12180453,0.27491045,0.14034101,240.0,-6.3445004958063365,0.15,480.0,0.225
12,0.8472691,0.09231937,0.19762525,0.08059224,0.83065057,0.087032475,0.22473136,0.1385002,0.84993285,0.12724014,0.27481186,0.14261016,260.0,-4.822582018636167,0.25,520.0,0.05
13,0.847549,0.09140874,0.19758946,0.079752,0.83091575,0.08677864,0.22436705,0.13818389,0.84884596,0.12760179,0.27401063,0.14331326,280.0,-3.2087617093622685,0.55,560.0,0.175
14,0.84745526,0.09057752,0.1974507,0.078826025,0.830857,0.08657765,0.22408634,0.1378164,0.847995,0.1285262,0.27434695,0.14348006,300.0,-3.6700904369205234,0.6,600.0,0.25
15,0.84737784,0.089843355,0.19733126,0.0780812,0.83113986,0.08644951,0.223948,0.13755153,0.8487134,0.1320437,0.27509356,0.14533514,320.0,-5.969125674843789,0.35,640.0,0.15
16,0.8473026,0.08917933,0.19720063,0.07737954,0.83132505,0.08610416,0.22371776,0.13749105,0.8475806,0.13709114,0.27439982,0.14781871,340.0,-4.835000843338668,0.55,680.0,0.15
17,0.8475464,0.08853114,0.19720094,0.07670514,0.83156365,0.085943066,0.22357199,0.1380172,0.8473525,0.13566385,0.27347517,0.14786455,360.0,-1.9410466968864202,0.8,720.0,0.275
18,0.84770656,0.087911785,0.19716646,0.07603461,0.8317306,0.0857319,0.22335082,0.13832432,0.8467159,0.13570212,0.27319133,0.14828914,380.0,-2.926470881357789,0.6,760.0,0.3
19,0.84797555,0.08732703,0.19715255,0.075394124,0.8318767,0.085600376,0.22299957,0.1379568,0.84752125,0.13587694,0.2724986,0.1489628,400.0,-3.4175346753746267,0.75,800.0,0.175
