# {"t_start": 1587592740.3080916, "env_id": "FetchPickAndPlace-v1"} 
r,l,t
-10.697174,50,5.492173
-5.3425,50,8.260128
3.608747,50,10.565764
-3.54154,50,12.876593
1.868722,50,15.238249
2.464772,50,17.649026
2.109454,50,20.031864
-3.410065,50,22.473933
2.143826,50,25.013557
-3.347778,50,27.449504
-3.675784,50,29.870602
4.233196,50,32.224766
-3.316017,50,34.528729
5.48875,50,36.952885
1.132328,50,39.470596
2.853718,50,42.03418
-3.724061,50,44.637364
1.997783,50,47.2279
2.849747,50,49.850818
2.95606,50,52.477413
2.951541,50,55.293414
-0.189509,50,55.544241
5.288055,50,55.80969
2.67183,50,56.064893
3.579193,50,56.336481
0.864354,50,56.609421
2.994635,50,56.874707
5.997767,50,57.13993
-3.574896,50,57.390656
-2.973924,50,57.66187
2.947117,50,58.237978
-3.708522,50,60.813681
2.517137,50,63.493151
7.183846,50,66.254362
-3.271044,50,69.118026
2.614819,50,71.898125
-2.535467,50,74.630443
0.501944,50,77.464279
1.562955,50,80.269017
-2.152445,50,83.065365
-4.990539,50,85.794346
2.709822,50,88.587524
-1.094305,50,91.526845
4.924405,50,94.505312
-2.543028,50,97.342789
-2.983661,50,100.251507
-2.452706,50,103.238028
-3.496871,50,106.259763
3.244464,50,109.329916
-2.950124,50,112.389106
-5.441627,50,115.520233
0.21835,50,115.796665
6.441394,50,116.055971
4.123716,50,116.306421
-4.27394,50,116.567379
2.648421,50,116.846528
1.537395,50,117.115801
-0.167081,50,117.376001
6.890033,50,117.6518
2.192752,50,117.914547
7.222419,50,118.19069
2.684319,50,121.215656
-2.620078,50,124.119445
-0.513315,50,127.133161
2.807362,50,130.076412
2.455157,50,132.962534
1.629311,50,136.068726
1.706736,50,143.59237
1.877562,50,146.868809
-2.543685,50,150.0017
2.567597,50,153.258323
3.96493,50,156.577689
6.2429,50,160.034858
-3.109425,50,163.509566
3.018633,50,166.898081
2.778538,50,170.331909
6.488709,50,173.648335
-3.078602,50,177.032784
2.445402,50,180.348741
4.564969,50,183.696755
2.87065,50,187.068824
6.709002,50,187.31769
3.33237,50,187.583972
-3.893108,50,187.867994
3.580466,50,188.145103
5.080525,50,188.416196
2.406289,50,188.69469
1.203894,50,188.957319
4.91003,50,189.232736
8.993062,50,189.51096
6.895596,50,189.770711
