epoch,p0/stats_g/mean,p0/stats_g/std,p0/stats_o/mean,p0/stats_o/std,p1/stats_g/mean,p1/stats_g/std,p1/stats_o/mean,p1/stats_o/std,p2/stats_g/mean,p2/stats_g/std,p2/stats_o/mean,p2/stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.85976714,0.09887218,0.19695126,0.07338399,0.84616256,0.08774498,0.23369464,0.07535282,0.8657729,0.10148502,0.27701697,0.065492235,20.0,-0.10672814324629146,0.0,40.0,0.0
1,0.85814875,0.0959692,0.19471632,0.07575341,0.84322804,0.08323962,0.23369956,0.07754408,0.86426497,0.10257503,0.27612293,0.06839985,40.0,-0.1450891106093768,0.55,80.0,0.075
2,0.8539764,0.09288605,0.19421591,0.07554397,0.83889073,0.08162444,0.23395842,0.08843542,0.86152166,0.102326185,0.27669194,0.072980374,60.0,-0.24911239792522974,0.5,120.0,0.0
3,0.85494614,0.090417124,0.19428357,0.07689757,0.8399338,0.0808052,0.23423973,0.09170994,0.86092573,0.103883944,0.27537724,0.081276804,80.0,-0.30606222384097054,0.65,160.0,0.125
4,0.8561623,0.08881097,0.19388215,0.07833253,0.8403163,0.07996354,0.23333822,0.09851582,0.85988635,0.1038118,0.27553865,0.09128085,100.0,-0.32804251690465025,0.7,200.0,0.025
5,0.8547616,0.08748314,0.194017,0.07712756,0.84051734,0.078956686,0.23198284,0.09912736,0.8581689,0.10417879,0.2747618,0.09637691,120.0,-0.35250093987444414,0.65,240.0,0.125
6,0.8546119,0.08640664,0.19450423,0.07769023,0.8430359,0.079004265,0.2316337,0.10186528,0.8566928,0.10388968,0.27375343,0.09642768,140.0,-0.6154288821872325,0.45,280.0,0.025
7,0.8527367,0.08508902,0.19479029,0.0770427,0.8424845,0.078364484,0.23175234,0.10251141,0.8557,0.10283228,0.27318686,0.09841167,160.0,-0.3778674106230028,0.65,320.0,0.125
8,0.852216,0.084224455,0.19476789,0.075287,0.84131247,0.07808243,0.23121746,0.10305817,0.85314274,0.10159808,0.2728257,0.10053717,180.0,-0.5765030535934492,0.75,360.0,0.125
9,0.8526934,0.08310506,0.19528612,0.07413294,0.8410642,0.077605374,0.23140565,0.10359649,0.8523609,0.09969782,0.27417165,0.101630256,200.0,-0.5624993591171223,0.75,400.0,0.15
10,0.8530887,0.08260345,0.19528952,0.07301634,0.84139746,0.07749056,0.23197436,0.10414592,0.85189366,0.09856623,0.2729492,0.1038533,220.0,-0.706859451239463,0.7,440.0,0.025
11,0.8532079,0.08203093,0.19533299,0.07187573,0.84093827,0.07735462,0.23142108,0.105735704,0.85113806,0.09975604,0.27328083,0.10620684,240.0,-0.5698050252869725,0.6,480.0,0.1
12,0.8526921,0.08126053,0.19535075,0.07076289,0.8401196,0.07719733,0.23173967,0.105829924,0.84991336,0.09916395,0.27302256,0.108368196,260.0,-0.9286354531049728,0.4,520.0,0.15
13,0.8526025,0.08051758,0.19547455,0.0698677,0.8400359,0.07691186,0.23164855,0.104867294,0.84941477,0.09853739,0.27308485,0.108605705,280.0,-0.3533920608907938,0.75,560.0,0.025
14,0.85291743,0.07982017,0.19527386,0.07020815,0.8405562,0.076577,0.23147818,0.10457153,0.85014087,0.09785598,0.27307048,0.111074194,300.0,-0.4140752672469243,0.75,600.0,0.075
15,0.8529146,0.079213254,0.1953204,0.06935984,0.8406827,0.07623958,0.23132262,0.104254514,0.8507988,0.09759491,0.27310807,0.11154052,320.0,-0.43266114178393034,0.8,640.0,0.075
16,0.8527679,0.0785685,0.19524287,0.068555005,0.84055036,0.07591974,0.23095435,0.10442135,0.85044885,0.09777544,0.27266353,0.11280453,340.0,-0.47843959264736613,0.7,680.0,0.05
17,0.85273004,0.078075536,0.1953085,0.06777693,0.8406215,0.07575297,0.23110387,0.10554818,0.851166,0.098203026,0.27316636,0.11390738,360.0,-0.9314822351047767,0.65,720.0,0.05
