# {"t_start": 1587598239.4641793, "env_id": "FetchPickAndPlace-v1"} 
r,l,t
-50.0,50,3.801194
-50.0,50,5.093689
-50.0,50,6.141987
-50.0,50,7.192167
-50.0,50,8.259522
-50.0,50,9.323878
-50.0,50,10.38858
-50.0,50,11.4745
-50.0,50,12.552319
-50.0,50,13.639297
-50.0,50,14.73585
-50.0,50,15.842165
-50.0,50,16.937075
-38.0,50,18.048212
-44.0,50,19.692339
-50.0,50,21.687184
-44.0,50,23.50745
-44.0,50,25.339788
-50.0,50,27.15469
-44.0,50,29.004313
-44.0,50,30.874122
-38.0,50,32.732093
-38.0,50,34.629311
-50.0,50,36.540799
-44.0,50,38.464879
-38.0,50,40.392435
-38.0,50,42.316838
-44.0,50,44.210588
-44.0,50,46.153046
-38.0,50,48.115674
-38.0,50,50.110058
-44.0,50,52.128885
-44.0,50,54.179672
-44.0,50,56.243565
-38.0,50,58.324794
-44.0,50,60.436419
-38.0,50,62.543009
-44.0,50,64.685218
-38.0,50,66.793243
-38.0,50,68.919509
-44.0,50,71.083674
-38.0,50,73.255765
-38.0,50,75.445338
-44.0,50,77.641429
-44.0,50,79.856492
-12.0,50,82.075325
-38.0,50,84.317034
-38.0,50,86.563299
-38.0,50,88.840667
-44.0,50,91.107029
-38.0,50,93.499861
-38.0,50,93.76359
-38.0,50,94.032689
-38.0,50,94.30596
-44.0,50,94.562607
-50.0,50,94.802469
-38.0,50,95.068261
-50.0,50,95.325727
-38.0,50,95.59661
-38.0,50,95.86415
-38.0,50,96.389883
-38.0,50,98.748087
-44.0,50,101.080247
-38.0,50,103.434586
-38.0,50,105.774327
-38.0,50,108.120625
-38.0,50,110.502366
-38.0,50,112.896291
-38.0,50,115.285344
-44.0,50,117.72979
-44.0,50,120.160211
-38.0,50,122.573052
-38.0,50,125.033809
-38.0,50,127.504204
-4.0,50,130.002806
-38.0,50,132.496388
-38.0,50,135.016798
-38.0,50,137.469655
-38.0,50,139.97806
-38.0,50,142.511033
-23.0,50,145.065495
-38.0,50,147.649907
-38.0,50,150.260939
-38.0,50,152.872137
-37.0,50,155.592608
-38.0,50,158.221907
-38.0,50,160.870063
-38.0,50,163.527136
-44.0,50,166.185402
-38.0,50,168.852569
-38.0,50,171.554814
-38.0,50,174.252706
-38.0,50,176.7743
-38.0,50,179.46198
-38.0,50,182.214681
-38.0,50,185.009359
-38.0,50,187.784068
-38.0,50,190.553172
-38.0,50,193.337426
-38.0,50,196.116294
-44.0,50,198.940486
-38.0,50,201.816177
-38.0,50,204.669862
-38.0,50,207.523967
-38.0,50,210.415574
-14.0,50,213.306364
-38.0,50,216.224152
-38.0,50,219.128964
-38.0,50,222.054951
-23.0,50,225.005505
-38.0,50,227.991073
-38.0,50,228.238664
-38.0,50,228.46904
-38.0,50,228.705697
-38.0,50,228.950992
-38.0,50,229.204354
-38.0,50,229.484021
-38.0,50,229.72436
-38.0,50,229.971173
3.0,50,230.256516
-38.0,50,230.527437
-38.0,50,233.614965
-38.0,50,236.59801
-38.0,50,239.599375
-38.0,50,242.631529
-38.0,50,245.648317
-38.0,50,248.706843
-38.0,50,251.755482
-38.0,50,254.81769
-38.0,50,257.903145
-38.0,50,260.988511
-38.0,50,264.10095
-38.0,50,267.209346
-38.0,50,270.332453
-4.0,50,273.501328
-38.0,50,276.675207
-38.0,50,279.853973
-38.0,50,282.997806
-38.0,50,286.146075
-38.0,50,289.344913
-38.0,50,292.540003
-38.0,50,295.756637
-38.0,50,298.98033
-38.0,50,302.280301
-38.0,50,305.521162
-38.0,50,308.806631
-38.0,50,312.036456
-38.0,50,315.294082
7.0,50,318.583921
-38.0,50,321.909544
-17.0,50,325.18255
-38.0,50,328.494053
-38.0,50,331.84882
-38.0,50,335.216621
-38.0,50,338.58462
-38.0,50,341.957485
-38.0,50,345.332796
-38.0,50,348.706943
-38.0,50,352.100803
-38.0,50,355.537689
-38.0,50,358.979967
-38.0,50,362.430018
-38.0,50,365.906774
