# {"t_start": 1587601509.6480331, "env_id": "FetchPickAndPlace-v1"} 
r,l,t
-11.393159,50,4.199645
-12.171123,50,5.735448
-6.307674,50,7.002086
-7.099223,50,8.338842
-12.478695,50,9.69802
-8.435902,50,11.056165
-8.582327,50,12.392503
-8.178832,50,13.650851
-9.207799,50,14.949632
-6.427095,50,16.220408
-18.475394,50,17.488142
-7.344076,50,18.74606
-8.078749,50,20.269986
-16.805035,50,21.557728
-13.313939,50,22.747283
-9.248765,50,23.97857
-9.39825,50,25.171978
-6.122834,50,26.359627
-10.770766,50,27.554201
-8.019521,50,28.757996
-4.94803,50,29.98643
-10.774095,50,31.205291
-7.153422,50,32.445192
-10.506209,50,33.700845
-7.999765,50,34.940373
-9.042742,50,36.194743
-7.334389,50,37.435822
-7.880462,50,38.675884
-5.24298,50,40.050351
-7.663643,50,41.387693
-7.538144,50,43.442502
-4.614486,50,45.132093
-4.045942,50,47.01386
-5.793067,50,48.733869
-7.549542,50,51.057685
-4.079535,50,53.357572
-4.938097,50,55.520152
0.496986,50,57.740239
0.465945,50,59.887357
-4.194954,50,62.115348
-8.194488,50,64.200407
-5.433058,50,66.29764
-4.504106,50,68.435211
-3.822266,50,70.555642
-5.152582,50,72.701277
-5.307149,50,74.918612
-4.260014,50,77.10281
-4.365295,50,79.309079
5.325843,50,81.603421
-6.6348,50,84.022808
2.649057,50,86.58966
1.781125,50,86.840728
1.716315,50,87.091677
1.040202,50,87.338777
1.950787,50,87.589043
1.838696,50,87.826416
2.085689,50,88.078036
2.170624,50,88.322678
1.679832,50,88.560046
6.2363,50,88.816436
0.488307,50,89.340414
0.621438,50,91.786539
-5.680685,50,94.246037
-3.62998,50,96.73656
-6.535447,50,99.202561
-4.704244,50,101.660196
-7.924974,50,104.163452
0.136412,50,106.673071
-0.085186,50,109.169641
-1.139141,50,111.720827
-0.291224,50,114.370845
0.378893,50,117.115026
-6.879803,50,119.807038
-5.214084,50,122.505478
-3.403018,50,125.166393
-6.207374,50,127.84697
1.949342,50,130.527441
-4.892739,50,133.284745
1.543962,50,136.213916
