# {"t_start": 1587600559.3340983, "env_id": "FetchPickAndPlace-v1"} 
r,l,t
-7.51857,50,3.867022
-3.258998,50,5.250593
-6.75189,50,6.382669
-8.980589,50,7.51346
-8.100422,50,8.565276
-7.132477,50,10.128241
-9.993984,50,11.637562
-6.965335,50,13.112147
-8.406864,50,14.551178
4.545648,50,16.156584
3.838027,50,17.778438
-7.172159,50,19.74049
-6.367504,50,21.651789
5.222002,50,23.528012
-5.044899,50,25.416033
4.840117,50,27.244043
6.143539,50,29.178895
6.641536,50,31.082997
-5.483719,50,33.611923
-4.886704,50,35.934429
5.440519,50,38.236582
-5.951183,50,40.738933
5.050435,50,43.145068
15.756576,50,45.488387
-6.30058,50,48.26568
-4.626481,50,50.837629
-4.180244,50,53.460724
12.370338,50,56.015228
15.259194,50,58.691661
-4.406298,50,61.404215
-7.280374,50,64.06594
5.803824,50,66.756651
9.93076,50,69.457025
-4.658052,50,72.172265
13.269157,50,75.014874
8.70336,50,78.081865
3.823132,50,80.759289
5.875434,50,83.35408
-3.972419,50,85.999147
7.098052,50,88.704721
-5.609528,50,91.403217
15.995955,50,94.401029
4.119588,50,97.419158
14.274059,50,100.410771
-5.899994,50,103.452185
1.868042,50,106.518759
5.546998,50,109.593727
-4.66137,50,112.512004
6.894582,50,115.710152
6.391979,50,118.914722
13.605579,50,122.171425
9.578685,50,122.516317
9.119616,50,122.837095
7.55971,50,123.168881
10.58627,50,123.482713
12.082034,50,123.802567
15.938954,50,124.141536
11.608484,50,124.481972
7.153994,50,124.807024
14.03382,50,125.160225
-5.327713,50,125.772094
-8.271993,50,129.014815
7.078824,50,132.242238
13.995069,50,135.329469
14.91083,50,138.478249
-3.058467,50,141.545407
6.991506,50,144.5608
-4.453612,50,147.694949
10.604284,50,150.74209
11.97172,50,153.912694
5.727009,50,157.011256
6.003334,50,160.02113
7.473752,50,163.240563
6.415813,50,166.542371
7.23676,50,169.718116
15.017112,50,173.024811
17.263031,50,176.288865
7.095002,50,179.756715
6.549678,50,183.132155
-7.57486,50,186.484823
6.840893,50,189.865074
7.71874,50,193.214616
12.04012,50,196.633097
-6.036597,50,200.003911
16.216286,50,203.348875
15.945978,50,206.762171
15.296561,50,210.183439
6.912119,50,213.652474
6.845482,50,217.222545
9.7457,50,220.795258
10.391437,50,224.287369
16.88841,50,227.762188
7.510611,50,231.297894
6.28126,50,234.933988
-7.663534,50,238.573486
9.344888,50,242.181014
12.850088,50,245.735827
-4.056343,50,249.317005
7.316204,50,252.92825
0.019108,50,256.512929
15.282889,50,260.187491
7.087236,50,263.865783
6.22483,50,267.512853
11.85693,50,271.119901
1.012186,50,274.739578
5.70765,50,278.389874
10.409526,50,282.184043
9.211697,50,285.838893
13.713236,50,289.55151
5.984327,50,293.282244
11.377402,50,297.162838
16.031517,50,297.483037
12.734983,50,297.812859
6.353722,50,298.141242
10.471833,50,298.466894
11.267127,50,298.81494
15.34628,50,299.145914
12.460406,50,299.470746
16.491992,50,299.788733
14.525816,50,300.121843
6.99665,50,300.417456
16.391528,50,304.09384
11.564047,50,307.818773
-3.49896,50,311.569038
6.851796,50,315.369415
6.353234,50,319.227621
12.693291,50,323.187082
10.403164,50,327.161096
16.421556,50,330.978191
6.939433,50,335.063033
4.74163,50,339.20656
10.649265,50,343.108282
7.151362,50,347.115496
6.333604,50,351.17861
15.742994,50,355.199443
12.474901,50,359.197978
15.175473,50,363.228956
7.661871,50,367.307764
5.715942,50,371.383311
16.8593,50,375.400231
13.121383,50,379.413129
6.472921,50,383.432548
12.370704,50,387.550893
12.305461,50,391.679374
14.629535,50,395.809662
11.578805,50,399.985505
5.664582,50,404.288021
19.080381,50,408.525351
7.129304,50,412.77615
14.696662,50,416.954375
12.879606,50,421.150686
15.63816,50,425.334278
6.608125,50,429.558406
6.400276,50,433.866028
2.47861,50,438.170867
6.148254,50,442.356274
0.199902,50,446.725039
7.471622,50,451.068539
14.74662,50,455.388216
16.284056,50,459.749281
16.697532,50,464.147018
13.543451,50,468.623307
11.975716,50,473.064203
7.036458,50,477.554329
16.106785,50,482.024685
7.414731,50,486.559636
11.51754,50,491.128663
7.057941,50,495.699184
-2.726804,50,500.28669
17.223503,50,504.9648
10.333294,50,509.551767
13.28846,50,509.865961
5.289126,50,510.173996
7.273746,50,510.464137
11.928115,50,510.758149
12.249855,50,511.097873
11.187164,50,511.403431
11.832944,50,511.747223
15.926826,50,512.087028
14.778343,50,512.402725
7.770902,50,512.711801
16.02506,50,517.342446
11.208823,50,521.938625
14.290019,50,526.582562
15.659502,50,531.237626
9.012797,50,536.013055
7.685022,50,540.754168
-2.978986,50,545.535199
7.044405,50,550.346333
14.098797,50,554.193093
5.473074,50,558.931732
6.920954,50,563.644336
7.304593,50,568.506529
-3.264104,50,573.268627
6.969761,50,577.943571
14.31132,50,582.871533
