# {"t_start": 1587911436.4332476, "env_id": "FetchPickAndPlace-v1"} 
r,l,t
-11.457097,50,4.296069
-13.759096,50,5.795172
-6.627607,50,7.012521
-10.23963,50,8.340431
-7.519998,50,9.64123
-7.517297,50,11.493093
-9.1887,50,13.214395
-10.100156,50,14.878346
-11.069874,50,16.520081
-4.984726,50,18.232514
-5.769347,50,19.850016
-7.530128,50,21.556808
-9.619423,50,23.222238
-10.590451,50,24.877744
-5.046521,50,26.651103
-12.32454,50,28.400806
-7.516389,50,30.07216
-5.965321,50,31.788138
-12.31913,50,33.504349
-8.004858,50,35.113358
-7.039556,50,36.793845
-7.379611,50,38.440047
-6.891569,50,40.204352
-6.623691,50,42.042217
-4.474824,50,43.939143
-6.559465,50,45.845554
-5.997124,50,47.790411
-9.587725,50,49.720662
-7.243888,50,51.676231
-7.106073,50,53.650114
-9.460453,50,55.622533
-5.467414,50,57.53341
-7.318561,50,59.505366
-3.36393,50,61.5951
-6.627948,50,63.697037
-3.929572,50,65.714159
-7.684372,50,67.837415
-7.322823,50,69.942137
-7.561803,50,72.053163
-7.187383,50,74.245818
6.758728,50,76.667849
-3.768964,50,78.759428
-3.925828,50,80.742381
-4.434283,50,82.759172
6.017368,50,84.720631
16.318363,50,86.825986
-3.531685,50,89.394374
5.801387,50,91.813317
-6.821491,50,94.207664
-6.020761,50,96.609003
7.122124,50,99.110218
5.375931,50,99.363685
6.363987,50,99.623753
7.209212,50,99.908061
7.322775,50,100.176479
6.749327,50,100.430191
5.605253,50,100.686345
6.676415,50,100.948029
6.842532,50,101.229195
6.673657,50,101.497522
5.679933,50,102.044662
4.526504,50,104.487494
9.677881,50,107.066304
5.374875,50,109.59178
-4.882826,50,112.07728
-6.65094,50,114.676059
-5.868395,50,117.249881
6.481304,50,119.929956
14.194619,50,122.632255
5.794955,50,125.480592
-5.421925,50,128.45173
5.831115,50,131.295529
-4.10323,50,134.059252
-7.743962,50,136.843791
5.831831,50,139.650928
-3.355465,50,142.58638
6.764304,50,145.450114
5.80599,50,148.400894
-3.879244,50,151.406026
15.088302,50,154.450268
6.574904,50,157.566603
14.07121,50,160.769544
15.668512,50,163.929883
6.770133,50,167.041791
6.067225,50,170.140795
5.854684,50,173.217017
16.102526,50,176.436587
7.213669,50,179.615329
-4.82034,50,182.795755
-4.636685,50,185.966594
-3.434859,50,189.129946
5.323382,50,192.366015
5.922045,50,195.470842
17.081199,50,198.662572
8.221299,50,201.866482
6.33423,50,205.242399
6.901822,50,208.518554
7.028364,50,211.769796
5.525743,50,215.064758
6.322412,50,218.307337
13.083101,50,221.58836
-8.051023,50,224.975542
13.952407,50,228.426892
7.665604,50,231.8895
6.585684,50,235.430288
7.361753,50,238.873271
18.062864,50,242.334545
-4.047186,50,245.663629
6.575066,50,249.070103
5.622364,50,252.46516
8.342703,50,255.999804
4.303359,50,256.258491
10.983737,50,256.53192
16.437403,50,256.796118
9.691068,50,257.066561
11.211941,50,257.324688
7.882727,50,257.605877
6.758957,50,257.87438
15.288488,50,258.166811
7.88813,50,258.439556
7.571871,50,258.70565
15.948477,50,262.150163
-6.403559,50,265.610516
7.039377,50,269.049669
3.355319,50,272.419058
6.698423,50,275.922856
6.031049,50,279.473313
6.197227,50,283.061983
6.823116,50,286.622955
16.606227,50,290.128042
6.65802,50,293.835763
6.725113,50,297.452871
15.42927,50,301.028347
6.274836,50,304.64977
6.48737,50,308.266407
5.642916,50,311.889731
3.451793,50,315.557005
15.690646,50,319.17973
6.078903,50,322.860467
6.527345,50,326.557597
6.57788,50,330.205867
5.494566,50,333.837132
5.512051,50,337.596773
7.05519,50,341.328832
5.694317,50,345.187226
6.076371,50,348.97402
-5.375684,50,352.682682
-4.253713,50,356.391202
11.77665,50,360.168919
9.617941,50,363.887747
6.211557,50,367.762603
7.5506,50,371.669938
14.030241,50,375.474215
6.320193,50,379.245346
7.178575,50,383.116488
7.334654,50,387.039064
14.288286,50,390.890966
13.687322,50,394.76069
5.366204,50,398.683636
6.912494,50,402.675147
7.187849,50,406.656938
6.819183,50,410.606884
12.788272,50,414.570192
15.171158,50,418.610647
7.04481,50,422.671142
14.984522,50,426.67474
7.023483,50,430.740342
7.073276,50,434.777919
9.644934,50,439.012963
10.22498,50,443.060517
16.060977,50,447.07682
8.788942,50,447.332677
12.685927,50,447.635566
7.369437,50,447.933787
14.445547,50,448.214126
12.68402,50,448.498079
8.558393,50,448.766706
9.879176,50,449.046849
10.333873,50,449.317049
4.830635,50,449.597119
8.723593,50,449.852262
10.435159,50,453.979407
6.538902,50,458.129181
6.18559,50,462.268507
13.673751,50,466.406396
17.138696,50,470.658067
17.0593,50,474.918374
7.167274,50,479.314185
7.471103,50,483.834508
6.357559,50,488.543894
15.529841,50,493.160804
15.753396,50,497.940138
15.635816,50,502.702713
13.42624,50,507.545649
12.47125,50,512.00638
6.689879,50,516.554263
12.471992,50,520.864268
13.388468,50,525.382578
-4.32783,50,529.795681
14.019233,50,534.298772
7.323896,50,538.914769
15.330003,50,543.506699
2.467234,50,547.962602
15.009454,50,552.382688
7.041674,50,556.958613
6.090372,50,561.383923
13.339799,50,565.830223
14.085146,50,570.384507
13.431909,50,574.876622
15.833349,50,579.36894
10.236717,50,583.882006
3.691296,50,588.400403
11.830263,50,592.966758
7.411578,50,597.787101
3.851328,50,602.583487
14.918527,50,607.394767
7.268836,50,612.126149
14.374225,50,616.992912
-4.82439,50,621.660702
7.442737,50,626.692865
7.892976,50,631.539104
13.858803,50,636.36138
17.872615,50,641.158097
6.579206,50,646.188491
14.356579,50,651.649912
16.422368,50,656.948449
12.136912,50,661.918565
13.024667,50,666.623597
5.69844,50,671.338897
8.565058,50,676.103459
15.162808,50,680.841048
12.801194,50,681.129959
11.525971,50,681.40542
11.065114,50,681.674459
17.368002,50,681.939443
10.794554,50,682.202111
16.375117,50,682.472529
12.103299,50,682.737684
10.243263,50,683.011682
14.877718,50,683.276809
10.853387,50,683.5423
16.581407,50,688.339315
16.811711,50,693.135886
9.995085,50,698.112598
5.923459,50,703.070215
7.292843,50,708.000162
9.020684,50,712.997832
12.915444,50,718.013014
17.181581,50,723.034031
6.825532,50,728.209532
