epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.8635022,0.10838669,0.20515274,0.0650098,20.0,-1.8696626,0.05,40.0,0.025
1,0.858239,0.10956781,0.20470026,0.075376436,40.0,-2.6827252,0.0,80.0,0.075
2,0.8566131,0.107376,0.20476423,0.07425255,60.0,-3.5766404,0.0,120.0,0.075
3,0.8541467,0.106134474,0.20456327,0.07284817,80.0,-4.3371105,0.0,160.0,0.025
4,0.8534871,0.10642006,0.20513898,0.073172316,100.0,-5.045678,0.0,200.0,0.0
5,0.85314566,0.10547227,0.20560706,0.074394286,120.0,-4.4610405,0.45,240.0,0.025
6,0.8525155,0.10529926,0.20568937,0.073807694,140.0,-5.6762633,0.25,280.0,0.025
7,0.8526283,0.10697792,0.20542824,0.075228,160.0,-6.6008286,0.15,320.0,0.025
8,0.8516733,0.10811483,0.20525056,0.07561314,180.0,-6.7926626,0.2,360.0,0.0
9,0.8513934,0.108398385,0.20527285,0.07829589,200.0,-6.7763567,0.15,400.0,0.0
10,0.85107327,0.10876087,0.20543331,0.08012335,220.0,-7.181121,0.25,440.0,0.025
11,0.8505645,0.10963827,0.20504627,0.08088317,240.0,-8.492338,0.25,480.0,0.0
12,0.8499732,0.10872027,0.20477255,0.080520555,260.0,-8.46936,0.3,520.0,0.025
13,0.849056,0.11106361,0.20465039,0.083443396,280.0,-9.288663,0.1,560.0,0.0
14,0.8486399,0.11171649,0.20498618,0.086548954,300.0,-9.238881,0.05,600.0,0.0
15,0.84812623,0.11208909,0.20515624,0.08809649,320.0,-9.399439,0.15,640.0,0.05
16,0.84818345,0.11160984,0.20540251,0.088248044,340.0,-9.081609,0.25,680.0,0.025
17,0.84862757,0.11184904,0.20518713,0.088339716,360.0,-12.053744,0.1,720.0,0.025
18,0.84922105,0.111751854,0.20521206,0.09085497,380.0,-8.412062,0.3,760.0,0.025
19,0.84923464,0.11149177,0.20543383,0.09099112,400.0,-10.128781,0.3,800.0,0.1
20,0.8495712,0.11155381,0.20548642,0.09210749,420.0,-8.153784,0.4,840.0,0.025
21,0.8489134,0.11173444,0.20553015,0.09373007,440.0,-6.9997787,0.55,880.0,0.025
22,0.84922653,0.11451826,0.20569378,0.09584104,460.0,-9.678484,0.3,920.0,0.075
23,0.8491435,0.115383364,0.20536524,0.097904615,480.0,-7.1128182,0.55,960.0,0.125
24,0.8489663,0.11588057,0.20552422,0.10075995,500.0,-6.6428246,0.55,1000.0,0.15
25,0.84821016,0.1175653,0.2048088,0.102479964,520.0,-5.991318,0.65,1040.0,0.05
26,0.84817,0.117032625,0.2049322,0.10326504,540.0,-6.811698,0.55,1080.0,0.125
27,0.84809655,0.11726749,0.20496973,0.10383806,560.0,-6.5528,0.55,1120.0,0.175
28,0.8476376,0.11854174,0.20481673,0.10531851,580.0,-9.575126,0.5,1160.0,0.175
29,0.84777164,0.1183267,0.20496793,0.105838664,600.0,-6.9087043,0.65,1200.0,0.25
30,0.8479665,0.11813917,0.2050899,0.10685795,620.0,-5.6672335,0.75,1240.0,0.225
31,0.84802866,0.11865002,0.20524783,0.10816141,640.0,-7.596461,0.5,1280.0,0.15
32,0.8483079,0.11967703,0.20492643,0.1095344,660.0,-9.789243,0.5,1320.0,0.175
33,0.8483116,0.11996982,0.2049073,0.11032155,680.0,-7.9518714,0.55,1360.0,0.175
34,0.848197,0.1207485,0.2048363,0.11168307,700.0,-7.472866,0.55,1400.0,0.2
35,0.8480459,0.121017516,0.20463686,0.112732716,720.0,-5.413652,0.65,1440.0,0.275
36,0.8478671,0.12169892,0.20457184,0.11386588,740.0,-8.020987,0.55,1480.0,0.125
37,0.8477859,0.12169102,0.20472206,0.11459949,760.0,-7.6250014,0.6,1520.0,0.275
38,0.8476431,0.12113541,0.20466024,0.11444125,780.0,-8.085448,0.5,1560.0,0.5
39,0.8474295,0.12183414,0.20462655,0.11517897,800.0,-6.823303,0.55,1600.0,0.325
40,0.8470933,0.123087585,0.20463519,0.11605964,820.0,-7.125749,0.55,1640.0,0.225
41,0.8468244,0.123518564,0.20466517,0.11746374,840.0,-6.1998024,0.8,1680.0,0.3
42,0.8466425,0.1241659,0.20478094,0.11807292,860.0,-10.040949,0.55,1720.0,0.375
43,0.8467367,0.124546826,0.20476967,0.11899051,880.0,-7.957784,0.55,1760.0,0.35
44,0.8465461,0.12501498,0.20483787,0.12000194,900.0,-5.6380067,0.75,1800.0,0.25
45,0.8464215,0.12493702,0.20501131,0.12058175,920.0,-5.9178123,0.75,1840.0,0.325
46,0.84662575,0.12477795,0.20514172,0.12083719,940.0,-5.8166885,0.85,1880.0,0.3
47,0.84620637,0.1254512,0.20533611,0.12170269,960.0,-6.3140516,0.65,1920.0,0.3
48,0.8463878,0.1252429,0.20534559,0.12220811,980.0,-5.2937407,0.85,1960.0,0.35
49,0.8464837,0.1258514,0.20538959,0.122922294,1000.0,-8.207946,0.7,2000.0,0.325
50,0.84649044,0.12625657,0.20537466,0.12317236,1020.0,-6.1361494,0.7,2040.0,0.4
51,0.8463495,0.12694973,0.20518175,0.12389414,1040.0,-5.2237597,0.65,2080.0,0.3
52,0.84630823,0.12719452,0.20499952,0.12452793,1060.0,-3.9994056,0.9,2120.0,0.3
53,0.8466175,0.1270894,0.2050128,0.12451942,1080.0,-9.143837,0.5,2160.0,0.425
54,0.84699994,0.12742464,0.20518124,0.12485253,1100.0,-4.6030207,0.75,2200.0,0.275
55,0.8472593,0.1274205,0.20535213,0.124733426,1120.0,-4.1094093,0.75,2240.0,0.375
56,0.8473323,0.1277657,0.20552158,0.1251485,1140.0,-7.4040847,0.6,2280.0,0.375
57,0.847501,0.1279475,0.20554134,0.12571527,1160.0,-5.777688,0.7,2320.0,0.3
58,0.8478667,0.12791106,0.20572987,0.12594317,1180.0,-3.0932822,0.8,2360.0,0.325
59,0.8481117,0.12818997,0.20580918,0.12639028,1200.0,-7.92039,0.5,2400.0,0.45
60,0.8482068,0.12836921,0.20575748,0.12688369,1220.0,-3.7781963,0.7,2440.0,0.275
