epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.85980844,0.10550767,0.20448789,0.07213609,20.0,-1.8025637,0.0,40.0,0.0
1,0.85565966,0.10974889,0.20482017,0.07588207,40.0,-2.404381,0.0,80.0,0.025
2,0.8537407,0.10921892,0.2030549,0.07888833,60.0,-3.57064,0.0,120.0,0.05
3,0.85149384,0.10703609,0.20289269,0.07754328,80.0,-4.214959,0.0,160.0,0.075
4,0.85235316,0.10582239,0.20356885,0.07586175,100.0,-5.018957,0.05,200.0,0.05
5,0.85079145,0.10500198,0.20385878,0.07615143,120.0,-5.2002363,0.2,240.0,0.075
6,0.850744,0.10502399,0.20360102,0.07663835,140.0,-5.4650397,0.15,280.0,0.075
7,0.8504252,0.10415721,0.20372759,0.07516377,160.0,-5.107293,0.45,320.0,0.05
8,0.85043406,0.10535226,0.20405504,0.077240065,180.0,-6.5056357,0.3,360.0,0.025
9,0.84990805,0.105471365,0.20377052,0.08017646,200.0,-8.178259,0.0,400.0,0.05
10,0.8501339,0.10501486,0.20419542,0.07925107,220.0,-8.399267,0.05,440.0,0.05
11,0.8495768,0.10903678,0.20384088,0.08197689,240.0,-8.186842,0.25,480.0,0.0
12,0.848244,0.110120334,0.20360504,0.08381516,260.0,-9.61876,0.05,520.0,0.025
13,0.848188,0.10967346,0.20363855,0.08648751,280.0,-7.883706,0.35,560.0,0.025
14,0.848263,0.10927381,0.20349869,0.08814268,300.0,-7.8898406,0.4,600.0,0.05
15,0.8486919,0.11065353,0.20396885,0.08980296,320.0,-8.445018,0.25,640.0,0.025
16,0.84835476,0.110766,0.2040089,0.09358144,340.0,-7.75848,0.55,680.0,0.075
17,0.84798574,0.11143068,0.20403467,0.09408301,360.0,-8.264711,0.35,720.0,0.0
18,0.8470073,0.11226363,0.2039214,0.09480825,380.0,-9.038254,0.2,760.0,0.0
19,0.846471,0.112737566,0.20345488,0.09607631,400.0,-9.431689,0.35,800.0,0.05
