# {"t_start": 1586405447.873516, "env_id": "FetchPickAndPlace-v1"} 
r,l,t
-24.069282,50,2.416732
-11.706058,50,3.41095
-9.654883,50,4.312087
-20.657084,50,5.222258
-11.903797,50,6.108069
-10.595052,50,6.99053
-9.369572,50,7.881866
-5.732556,50,8.777962
-12.760913,50,9.669814
-16.805004,50,10.561439
-6.972449,50,11.445243
-5.350469,50,12.338409
-6.839064,50,13.223262
-18.757515,50,14.084182
-4.041035,50,14.95055
-10.972726,50,15.853175
-14.59224,50,16.742697
-10.541622,50,17.627082
-5.519205,50,18.526601
-15.201447,50,19.413102
-14.69723,50,20.340835
-21.165245,50,20.520347
-3.621544,50,20.680676
-6.886295,50,20.855716
-13.893251,50,21.03511
-20.138378,50,21.207334
-13.849129,50,21.377277
-23.171553,50,21.540616
-17.309887,50,21.706803
-14.698783,50,21.880098
-10.259962,50,22.102712
-13.194512,50,22.981085
-4.888221,50,23.870254
-7.058295,50,24.768846
-11.854986,50,25.664435
-12.602418,50,26.572039
-7.203151,50,27.475264
-15.979961,50,28.388267
-8.570818,50,29.301479
-21.167111,50,30.200301
-14.248104,50,31.103113
-4.967959,50,31.992636
-8.151116,50,32.889329
-21.926131,50,33.747775
-3.109437,50,34.643067
-15.592879,50,35.531154
-13.092116,50,36.451774
-17.7372,50,37.360345
-6.321417,50,38.252073
-6.339934,50,39.141635
-8.323937,50,40.049041
-7.353559,50,40.206302
-7.895488,50,40.378887
-2.654522,50,40.551818
-13.641603,50,40.721852
-4.247697,50,40.896492
-9.254602,50,41.059144
-12.01456,50,41.229641
-15.432817,50,41.389576
-22.995408,50,41.5576
-6.829056,50,41.72749
-13.063591,50,42.652924
-15.788999,50,43.577982
-12.815494,50,44.501771
-9.051612,50,45.434371
-11.483039,50,46.335575
-6.811067,50,47.243591
-10.9405,50,48.149699
-22.332392,50,49.065485
-11.301279,50,49.993204
-8.490326,50,50.901383
-9.999701,50,51.80714
-7.686662,50,52.724945
-13.401394,50,53.654519
-5.264996,50,54.585537
-19.742471,50,55.495037
-7.42471,50,56.395149
-6.272328,50,57.298903
-25.501499,50,58.207148
-6.249101,50,59.124269
-4.371459,50,60.040655
-16.042654,50,60.222101
-18.610129,50,60.388077
-15.005439,50,60.5595
-17.884578,50,60.711675
-13.559288,50,60.871077
-16.517016,50,61.028934
-17.351859,50,61.197912
-15.79595,50,61.34955
-3.435424,50,61.502265
-8.833053,50,61.668722
-7.399923,50,62.583173
-15.88879,50,63.483061
-9.784009,50,64.375732
-9.746994,50,65.253362
-20.250275,50,66.143551
-3.606171,50,67.036625
-18.129276,50,67.915609
-17.190361,50,68.811759
-14.197447,50,69.715025
-22.596278,50,70.614861
-6.391778,50,71.522997
-8.091084,50,72.454866
-3.732749,50,73.36203
-0.975445,50,74.262386
-23.274219,50,75.164178
-13.953908,50,76.051684
-7.96199,50,76.942878
-8.815299,50,77.848482
-10.83754,50,78.768418
-16.051821,50,79.676353
-12.133387,50,79.836482
-4.128455,50,80.000354
-11.584301,50,80.160702
-13.840217,50,80.317625
-6.096367,50,80.488238
-22.555243,50,80.653419
-10.35718,50,80.815328
-18.832158,50,80.987306
-5.609485,50,81.159347
-6.446457,50,81.334447
-11.056099,50,82.246313
-21.206264,50,83.15303
-24.148929,50,84.072533
-11.132618,50,84.992794
-5.2612,50,85.909766
-7.996261,50,86.843266
-10.675709,50,87.762467
-21.836452,50,88.698862
-10.086833,50,89.615298
-14.335199,50,90.535333
-4.617116,50,91.459729
-7.306413,50,92.37595
-2.391328,50,93.305645
-10.719563,50,94.226401
-6.064229,50,95.145258
-8.905791,50,96.064198
-9.676778,50,96.990216
-8.069755,50,97.907902
-6.509445,50,98.829247
-11.939786,50,99.769271
-13.675146,50,99.932242
-8.90314,50,100.087127
-18.9769,50,100.259325
-3.383551,50,100.420445
-6.443921,50,100.578609
-14.624747,50,100.733654
-9.995141,50,100.90013
-10.079402,50,101.066031
-11.342099,50,101.214098
-12.611795,50,101.369617
-4.876047,50,102.294261
-11.28693,50,103.200828
-14.39623,50,104.129248
-22.415601,50,105.04794
-16.29424,50,105.966221
-9.081656,50,106.918633
-8.096808,50,107.837034
-21.850993,50,108.755018
-18.372318,50,109.674193
-15.165606,50,110.604553
-14.893644,50,111.52982
-22.20642,50,112.43119
-9.267377,50,113.334593
-11.873591,50,114.239067
-16.017056,50,115.143651
-4.520713,50,116.061149
-7.420124,50,116.969832
-19.767629,50,117.883994
-7.548642,50,118.809093
-7.310011,50,119.721426
-12.615839,50,119.889223
-8.805217,50,120.054622
-21.141383,50,120.219092
-17.589392,50,120.374241
-15.740378,50,120.515726
-3.933008,50,120.684016
-15.736714,50,120.840258
-7.000792,50,120.98997
-14.003631,50,121.136823
-11.573516,50,121.29244
-16.987339,50,122.210334
-7.914884,50,123.141824
-21.202699,50,124.060977
-9.671748,50,124.978278
-3.135389,50,125.8992
-6.870561,50,126.813379
-18.238138,50,127.725419
-22.731871,50,128.644876
-15.94772,50,129.557401
-16.327267,50,130.485453
-5.843473,50,131.413639
-12.078456,50,132.34809
-9.593265,50,133.285304
-5.588484,50,134.216513
-4.534457,50,135.148941
-12.591548,50,136.089201
-10.356602,50,137.009902
-3.159932,50,137.936305
-10.223559,50,138.869097
-0.922705,50,139.811688
-11.344836,50,139.980767
-19.616455,50,140.132308
-17.402956,50,140.309314
-19.329145,50,140.471408
-12.450863,50,140.623085
-7.554726,50,140.78645
-16.082643,50,140.953384
-16.886548,50,141.100159
-5.97979,50,141.267374
-2.678542,50,141.45304
-11.354357,50,142.371652
-1.999815,50,143.304526
-3.879282,50,144.254678
-6.387785,50,145.189072
-6.803688,50,146.140285
-12.723832,50,147.089585
-10.742451,50,148.042871
-12.935374,50,148.988653
-11.696688,50,149.93782
-14.548933,50,150.893906
-7.898584,50,151.845298
-21.186717,50,152.796369
-11.843321,50,153.730887
-3.468841,50,154.662821
-7.269933,50,155.590434
-22.379049,50,156.514021
-2.89503,50,157.436309
-23.218057,50,158.363554
-7.182012,50,159.307425
-20.44639,50,160.266297
