epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.85385376,0.091483615,0.20444204,0.063195765,20.0,-0.5439837,0.0,40.0,0.0
1,0.8474681,0.09304696,0.20299815,0.06813733,40.0,-0.41631222,0.1,80.0,0.0
2,0.8472529,0.090718366,0.20402554,0.06578453,60.0,-0.92757094,0.0,120.0,0.0
3,0.8440282,0.09461681,0.2044105,0.072295986,80.0,-0.86300266,0.0,160.0,0.05
4,0.8441615,0.09417335,0.2035365,0.07191825,100.0,-1.1034744,0.05,200.0,0.0
5,0.845074,0.09594276,0.20347613,0.073770285,120.0,-1.4768326,0.0,240.0,0.0
6,0.84301543,0.096150376,0.2032589,0.07211619,140.0,-1.6663126,0.05,280.0,0.025
7,0.84203506,0.096932374,0.20265159,0.07512235,160.0,-1.6900228,0.05,320.0,0.05
8,0.84203833,0.09695857,0.20276013,0.07490736,180.0,-1.9181744,0.05,360.0,0.025
9,0.8428562,0.0974369,0.20282099,0.07405356,200.0,-2.271099,0.0,400.0,0.0
10,0.8435336,0.098706014,0.20276752,0.07406428,220.0,-2.757399,0.0,440.0,0.025
11,0.84345907,0.10172095,0.2028451,0.075207494,240.0,-2.2352262,0.1,480.0,0.025
12,0.8433525,0.101916224,0.20323578,0.0759476,260.0,-2.5660286,0.05,520.0,0.0
13,0.84302,0.10114288,0.20307207,0.07549613,280.0,-2.343799,0.1,560.0,0.05
14,0.8426843,0.101280354,0.20308316,0.07662782,300.0,-2.192048,0.05,600.0,0.0
15,0.8430142,0.101950645,0.20290898,0.077215314,320.0,-3.4757895,0.05,640.0,0.025
16,0.8429751,0.10119293,0.20302652,0.07694021,340.0,-2.5851698,0.0,680.0,0.025
17,0.8431015,0.10127658,0.20306633,0.07724397,360.0,-3.1658087,0.05,720.0,0.05
18,0.84311014,0.10130453,0.20316415,0.07636492,380.0,-3.2340293,0.05,760.0,0.05
19,0.84339046,0.101178326,0.20312952,0.07608346,400.0,-3.5016258,0.1,800.0,0.025
20,0.84401584,0.10074743,0.20327793,0.07663741,420.0,-4.133685,0.05,840.0,0.025
21,0.8438842,0.10053384,0.20301388,0.0762721,440.0,-3.868423,0.05,880.0,0.025
22,0.8440898,0.100968696,0.20281906,0.07617188,460.0,-3.9437866,0.1,920.0,0.0
23,0.84459347,0.100686826,0.20289035,0.076526344,480.0,-4.191287,0.1,960.0,0.025
24,0.8445142,0.10058764,0.20295566,0.07603423,500.0,-3.507133,0.1,1000.0,0.025
25,0.8444016,0.10036609,0.20301372,0.07540035,520.0,-4.221531,0.0,1040.0,0.025
26,0.8442753,0.09997938,0.20318003,0.07577692,540.0,-5.0991583,0.0,1080.0,0.0
27,0.8444944,0.10019658,0.20342419,0.07615212,560.0,-4.9096375,0.0,1120.0,0.025
28,0.8448432,0.1000374,0.20351109,0.075528234,580.0,-3.5386367,0.1,1160.0,0.075
29,0.8450064,0.10018152,0.20366272,0.07507548,600.0,-4.0766945,0.05,1200.0,0.025
30,0.8449402,0.100428574,0.20352179,0.075096,620.0,-4.806009,0.05,1240.0,0.0
31,0.8448389,0.100435495,0.20354187,0.074628666,640.0,-4.959428,0.1,1280.0,0.025
32,0.8446873,0.100840926,0.20340815,0.07451347,660.0,-4.571868,0.05,1320.0,0.1
33,0.84487176,0.10078617,0.20339502,0.07429609,680.0,-5.614694,0.0,1360.0,0.025
34,0.84499794,0.10054425,0.20337759,0.07405405,700.0,-5.183377,0.05,1400.0,0.025
35,0.84527206,0.10024633,0.20347188,0.07353509,720.0,-6.551825,0.0,1440.0,0.025
36,0.8454713,0.10018573,0.20357975,0.07311309,740.0,-5.7889924,0.0,1480.0,0.0
37,0.84558564,0.10006666,0.20359711,0.07264319,760.0,-5.6265807,0.05,1520.0,0.025
38,0.84563255,0.09986997,0.2036814,0.0724704,780.0,-4.820887,0.0,1560.0,0.025
39,0.8453588,0.100001544,0.20361437,0.07208466,800.0,-5.786147,0.0,1600.0,0.0
40,0.8455503,0.09977368,0.20375177,0.071736135,820.0,-4.707904,0.05,1640.0,0.025
41,0.8456457,0.09980848,0.20374565,0.07152265,840.0,-5.3681602,0.0,1680.0,0.025
42,0.8454945,0.09953465,0.2037028,0.07164895,860.0,-5.474925,0.15,1720.0,0.025
43,0.8456161,0.099633746,0.20372644,0.07163087,880.0,-7.646647,0.0,1760.0,0.025
44,0.84555197,0.099557556,0.20367509,0.07139135,900.0,-6.5378036,0.05,1800.0,0.05
45,0.8455731,0.09936273,0.20375498,0.071242936,920.0,-7.7437644,0.05,1840.0,0.05
46,0.8456281,0.099285185,0.2037574,0.07095838,940.0,-5.748055,0.1,1880.0,0.075
