# {"t_start": 1586446502.716096, "env_id": "FetchPickAndPlace-v1"} 
r,l,t
-50.0,50,2.409733
-50.0,50,3.404974
-44.0,50,4.32259
-50.0,50,5.233219
-50.0,50,6.150123
-44.0,50,7.060076
-8.0,50,7.951616
-44.0,50,8.847113
-50.0,50,9.765775
-38.0,50,10.693432
-44.0,50,11.623837
-38.0,50,12.552654
-44.0,50,13.484605
-44.0,50,14.413546
-38.0,50,15.327063
-50.0,50,16.251247
-44.0,50,17.185438
-50.0,50,18.121864
-44.0,50,19.052624
-50.0,50,19.985008
-50.0,50,20.949264
-50.0,50,21.129216
-38.0,50,21.2986
-50.0,50,21.471641
-44.0,50,21.639576
-44.0,50,21.799535
-38.0,50,21.972515
20.0,50,22.126605
-50.0,50,22.296386
-50.0,50,22.4674
-38.0,50,22.689247
-38.0,50,23.62724
-50.0,50,24.560215
-50.0,50,25.510908
-50.0,50,26.445715
-50.0,50,27.353189
-50.0,50,28.255036
-50.0,50,29.165752
5.0,50,30.08332
-50.0,50,31.016321
-44.0,50,31.940017
-50.0,50,32.872991
-50.0,50,33.805441
-44.0,50,34.744367
-44.0,50,35.689019
-50.0,50,36.615888
-50.0,50,37.558399
-50.0,50,38.495426
-38.0,50,39.435182
-44.0,50,40.388527
-38.0,50,41.331287
-38.0,50,41.490075
-50.0,50,41.662685
-50.0,50,41.831701
-50.0,50,42.011972
-50.0,50,42.172269
-50.0,50,42.332813
-50.0,50,42.491606
-44.0,50,42.655914
-50.0,50,42.815488
-50.0,50,42.982196
-50.0,50,43.899126
-44.0,50,44.826354
-50.0,50,45.745749
-21.0,50,46.667941
-50.0,50,47.610588
-50.0,50,48.558794
-44.0,50,49.507102
-50.0,50,50.431096
-38.0,50,51.359763
-50.0,50,52.276386
-38.0,50,53.231344
-44.0,50,54.180184
-50.0,50,55.124399
-44.0,50,56.072757
-50.0,50,57.031769
-44.0,50,57.987191
-50.0,50,58.927196
-44.0,50,59.867334
-44.0,50,60.795025
-38.0,50,61.747894
-50.0,50,61.897606
-50.0,50,62.075009
-50.0,50,62.242403
-38.0,50,62.406676
-38.0,50,62.579303
-50.0,50,62.751019
-44.0,50,62.922714
-50.0,50,63.08442
-50.0,50,63.257861
-50.0,50,63.416708
-50.0,50,64.368554
-44.0,50,65.31687
-44.0,50,66.259774
-44.0,50,67.223117
-50.0,50,68.178147
-50.0,50,69.130946
-50.0,50,70.085965
-44.0,50,71.04483
-38.0,50,72.01694
-50.0,50,72.938343
-38.0,50,73.856969
-50.0,50,74.770106
-50.0,50,75.679387
-50.0,50,76.637962
-50.0,50,77.58606
-50.0,50,78.542203
-38.0,50,79.497866
-44.0,50,80.468107
-44.0,50,81.429888
-50.0,50,82.388458
-38.0,50,82.556114
20.0,50,82.733229
-50.0,50,82.898882
-50.0,50,83.075794
-38.0,50,83.249335
-50.0,50,83.412559
-38.0,50,83.580152
-50.0,50,83.754599
-50.0,50,83.917553
-50.0,50,84.090304
-44.0,50,85.043333
-6.0,50,85.948227
-50.0,50,86.84201
-50.0,50,87.730157
-50.0,50,88.625083
-50.0,50,89.516446
-44.0,50,90.406706
-44.0,50,91.310902
-50.0,50,92.19485
-50.0,50,93.095968
-44.0,50,94.02097
-44.0,50,94.95831
-50.0,50,95.903671
-50.0,50,96.84665
-44.0,50,97.798689
-50.0,50,98.752949
-50.0,50,99.690677
-50.0,50,100.641578
-50.0,50,101.590822
-50.0,50,102.543673
-50.0,50,102.704887
-44.0,50,102.860509
-38.0,50,103.034828
-50.0,50,103.200761
-50.0,50,103.370922
20.0,50,103.541383
-50.0,50,103.712052
-38.0,50,103.880073
-38.0,50,104.052308
-50.0,50,104.215899
-44.0,50,105.195626
-44.0,50,106.152943
-50.0,50,107.111545
-50.0,50,108.100643
-44.0,50,109.076553
-50.0,50,110.052003
-38.0,50,111.030921
-50.0,50,112.016618
-50.0,50,112.994197
-50.0,50,113.970191
-50.0,50,114.942896
-38.0,50,115.895682
-50.0,50,116.855386
-50.0,50,117.828664
-50.0,50,118.79117
-50.0,50,119.758107
-50.0,50,120.722807
-50.0,50,121.687129
-38.0,50,122.628792
-38.0,50,123.61481
-14.0,50,123.783176
-50.0,50,123.953814
-44.0,50,124.130867
9.0,50,124.297408
-50.0,50,124.473135
-44.0,50,124.650512
-50.0,50,124.813892
-50.0,50,124.988079
-38.0,50,125.160665
-50.0,50,125.32371
-22.0,50,126.285014
-50.0,50,127.240426
-50.0,50,128.217641
-44.0,50,129.152411
20.0,50,130.107101
-50.0,50,131.040924
-38.0,50,131.983141
-50.0,50,132.920862
-50.0,50,133.861931
-50.0,50,134.80135
-44.0,50,135.787421
-50.0,50,136.772617
-50.0,50,137.748611
-50.0,50,138.719103
-44.0,50,139.689435
-50.0,50,140.657447
-44.0,50,141.633101
-44.0,50,142.644344
-50.0,50,143.638817
-50.0,50,144.614703
-50.0,50,144.780541
-50.0,50,144.946853
-50.0,50,145.113293
-50.0,50,145.286315
-44.0,50,145.446713
-50.0,50,145.615913
-38.0,50,145.784537
-50.0,50,145.955663
-50.0,50,146.116359
-38.0,50,146.27767
-50.0,50,147.2738
-44.0,50,148.2613
-44.0,50,149.238531
-50.0,50,150.235403
-44.0,50,151.224771
-44.0,50,152.211897
-50.0,50,153.219754
-50.0,50,154.204693
-44.0,50,155.182124
-50.0,50,156.175883
-50.0,50,157.158959
-50.0,50,158.137834
-50.0,50,159.114248
-50.0,50,160.097098
-50.0,50,161.062914
-9.0,50,162.038128
17.0,50,162.993588
-50.0,50,163.964577
-44.0,50,164.926542
-50.0,50,165.919808
-38.0,50,166.08288
-50.0,50,166.261441
-50.0,50,166.43288
-50.0,50,166.596622
-44.0,50,166.755648
-50.0,50,166.926153
-44.0,50,167.08109
-50.0,50,167.2537
-38.0,50,167.418581
-50.0,50,167.574347
-50.0,50,168.546692
-50.0,50,169.516408
-44.0,50,170.488851
-50.0,50,171.479766
-44.0,50,172.477687
19.0,50,173.447224
-44.0,50,174.42714
-44.0,50,175.401396
-50.0,50,176.372311
-50.0,50,177.348826
-44.0,50,178.333579
-44.0,50,179.313201
-50.0,50,180.292047
-44.0,50,181.271183
-50.0,50,182.25628
-50.0,50,183.2531
-50.0,50,184.25248
-50.0,50,185.242933
19.0,50,186.239058
-50.0,50,187.246584
-50.0,50,187.399446
11.0,50,187.575037
-44.0,50,187.741324
-50.0,50,187.895144
-50.0,50,188.065702
-50.0,50,188.252738
-50.0,50,188.408589
20.0,50,188.57797
-50.0,50,188.735773
-44.0,50,188.888321
-50.0,50,189.827204
-50.0,50,190.772179
-44.0,50,191.71013
-38.0,50,192.660933
-50.0,50,193.647684
-50.0,50,194.63272
-50.0,50,195.621858
-50.0,50,196.618825
-50.0,50,197.62199
-50.0,50,198.616544
10.0,50,199.616619
-50.0,50,200.609338
5.0,50,201.60787
-50.0,50,202.590193
-50.0,50,203.584954
-50.0,50,204.573484
-50.0,50,205.57995
-50.0,50,206.576823
-44.0,50,207.571696
-44.0,50,208.512383
-50.0,50,208.662629
-44.0,50,208.820157
-50.0,50,208.970782
-50.0,50,209.131541
-50.0,50,209.289051
-50.0,50,209.450163
-50.0,50,209.602394
-50.0,50,209.756284
-38.0,50,209.924579
-50.0,50,210.092442
-50.0,50,211.021457
-50.0,50,211.954845
-38.0,50,212.892204
-18.0,50,213.82935
-50.0,50,214.771397
-50.0,50,215.797631
-44.0,50,216.791571
-50.0,50,217.794615
-50.0,50,218.806829
-50.0,50,219.820543
-50.0,50,220.825818
-50.0,50,221.832638
-50.0,50,222.845847
-50.0,50,223.866306
20.0,50,224.885443
-50.0,50,225.896509
-50.0,50,226.900792
-44.0,50,227.914736
-50.0,50,228.938204
-50.0,50,229.96958
-50.0,50,230.14774
-44.0,50,230.315228
-50.0,50,230.48226
-44.0,50,230.662606
-50.0,50,230.822428
-50.0,50,231.002757
-38.0,50,231.172405
-50.0,50,231.342756
-44.0,50,231.525443
-50.0,50,231.699161
-44.0,50,232.703793
-50.0,50,233.690464
-22.0,50,234.699035
-50.0,50,235.697354
-50.0,50,236.722809
-50.0,50,237.757926
-50.0,50,238.766582
-50.0,50,239.765181
-50.0,50,240.761519
-44.0,50,241.762319
-50.0,50,242.771213
-50.0,50,243.778822
-50.0,50,244.781445
-50.0,50,245.785749
-50.0,50,246.788104
-50.0,50,247.743423
-50.0,50,248.706908
-50.0,50,249.714369
-50.0,50,250.73216
-50.0,50,251.767556
-44.0,50,251.94529
-38.0,50,252.14615
-50.0,50,252.311037
-50.0,50,252.469722
-38.0,50,252.642617
-50.0,50,252.800434
-50.0,50,252.994994
-50.0,50,253.165723
-50.0,50,253.328701
-50.0,50,253.511548
-50.0,50,254.538264
-50.0,50,255.563092
-50.0,50,256.584434
-50.0,50,257.622503
-50.0,50,258.65307
-44.0,50,259.673374
