# {"t_start": 1587546444.1947134, "env_id": "FetchPickAndPlace-v1"} 
r,l,t
-50.0,50,2.473031
-50.0,50,3.77379
-48.0,50,4.972719
-50.0,50,6.175048
-50.0,50,7.36717
-49.0,50,8.581494
-48.0,50,9.798598
-49.0,50,10.999216
-50.0,50,12.190145
-48.0,50,13.443426
-50.0,50,14.615165
-50.0,50,15.791734
-50.0,50,17.003546
-49.0,50,18.21036
-50.0,50,19.414047
-49.0,50,20.593639
-31.0,50,21.778059
-49.0,50,22.972485
-50.0,50,24.183127
-49.0,50,25.408272
-49.0,50,26.645925
-48.0,50,26.833501
-48.0,50,27.001048
-49.0,50,27.166838
-49.0,50,27.352587
-48.0,50,27.530477
-49.0,50,27.711444
-48.0,50,27.891164
-49.0,50,28.067345
-50.0,50,28.259104
-50.0,50,28.476827
-50.0,50,29.701176
-48.0,50,30.924306
-50.0,50,32.122181
-49.0,50,33.329549
-39.0,50,34.541021
-48.0,50,35.755634
-49.0,50,36.985517
-50.0,50,38.210208
-50.0,50,39.430185
-49.0,50,40.654572
-50.0,50,41.877637
-50.0,50,43.085215
-50.0,50,44.291291
-50.0,50,45.503775
-48.0,50,46.721336
-49.0,50,47.963996
-50.0,50,49.213809
-50.0,50,50.42121
-50.0,50,51.648989
-48.0,50,52.850096
-46.0,50,53.021549
-48.0,50,53.196884
-48.0,50,53.365272
-48.0,50,53.542594
-50.0,50,53.720816
-48.0,50,53.896054
-49.0,50,54.08064
-23.0,50,54.253631
-49.0,50,54.438903
-49.0,50,54.614254
-50.0,50,55.833202
-49.0,50,57.064256
-50.0,50,58.297939
-50.0,50,59.542125
-48.0,50,60.782991
-50.0,50,62.013411
-49.0,50,63.227423
-50.0,50,64.44371
-50.0,50,65.682693
-50.0,50,66.906069
-49.0,50,68.203214
-48.0,50,69.417739
-49.0,50,70.659696
-49.0,50,71.893559
-49.0,50,73.126458
-48.0,50,74.323569
-48.0,50,75.448988
-49.0,50,76.656151
-50.0,50,77.901076
-50.0,50,79.140647
-49.0,50,79.306395
-50.0,50,79.489522
-50.0,50,79.655554
-50.0,50,79.824226
-50.0,50,79.99245
-50.0,50,80.157601
-48.0,50,80.327806
-48.0,50,80.510961
-50.0,50,80.700411
-50.0,50,80.866505
-50.0,50,82.14427
