# {"t_start": 1587327347.5348525, "env_id": "FetchPickAndPlace-v1"} 
r,l,t
-50.0,50,2.370303
-50.0,50,3.34109
-50.0,50,4.2586
-50.0,50,5.175005
-50.0,50,6.102401
-50.0,50,7.011508
-50.0,50,7.912438
-50.0,50,8.834649
-50.0,50,9.784647
-50.0,50,10.70288
-50.0,50,11.605335
-50.0,50,12.550916
-50.0,50,13.546458
-50.0,50,14.487182
-50.0,50,15.483714
-50.0,50,16.440192
-50.0,50,17.413414
-50.0,50,18.405183
-50.0,50,19.344299
-50.0,50,20.28945
-50.0,50,21.261068
-50.0,50,21.435505
-50.0,50,21.608348
-50.0,50,21.764748
-50.0,50,21.929279
-50.0,50,22.088197
-50.0,50,22.258577
-50.0,50,22.422393
-50.0,50,22.586706
-50.0,50,22.743976
0.0,50,22.932061
-50.0,50,23.822017
-50.0,50,24.693237
-50.0,50,25.621279
-50.0,50,26.524508
0.0,50,27.424927
-50.0,50,28.34846
-50.0,50,29.292322
-50.0,50,30.218351
-50.0,50,31.144737
-50.0,50,32.062033
-50.0,50,32.975702
-50.0,50,33.89562
-50.0,50,34.813273
-50.0,50,35.733716
-50.0,50,36.662447
-50.0,50,37.593741
0.0,50,38.615714
-50.0,50,39.61247
-50.0,50,40.583864
-50.0,50,41.527442
-50.0,50,41.680705
-50.0,50,41.831691
-50.0,50,42.005666
-50.0,50,42.161273
-50.0,50,42.326477
-50.0,50,42.490488
-50.0,50,42.650359
-50.0,50,42.811968
-50.0,50,42.997847
-50.0,50,43.158856
-50.0,50,44.132508
-50.0,50,45.145915
-50.0,50,46.13807
-50.0,50,47.061165
-50.0,50,47.988139
-50.0,50,48.945488
-50.0,50,49.912322
-50.0,50,50.877005
-50.0,50,51.855534
-50.0,50,52.86327
-50.0,50,53.900238
-50.0,50,54.860406
-50.0,50,55.83016
-50.0,50,56.796733
-50.0,50,57.750849
-50.0,50,58.736954
-50.0,50,59.705436
-50.0,50,60.64916
-50.0,50,61.596495
-50.0,50,62.570908
-50.0,50,62.732877
-50.0,50,62.893326
-50.0,50,63.051181
-50.0,50,63.222232
-50.0,50,63.389001
-50.0,50,63.544278
-50.0,50,63.71333
-50.0,50,63.874275
-50.0,50,64.03678
-50.0,50,64.194699
-50.0,50,65.156642
-50.0,50,66.239947
-50.0,50,67.26179
-50.0,50,68.256634
-50.0,50,69.230134
-50.0,50,70.190415
-50.0,50,71.159095
-50.0,50,72.153526
-50.0,50,73.122158
-50.0,50,74.088064
-50.0,50,75.072961
-50.0,50,76.075325
-50.0,50,77.022976
-50.0,50,77.939736
-50.0,50,78.936748
-50.0,50,79.909585
-50.0,50,80.870024
-50.0,50,81.846268
-50.0,50,82.828605
-50.0,50,83.807458
-50.0,50,83.970334
-50.0,50,84.12768
-50.0,50,84.286586
-50.0,50,84.45855
-50.0,50,84.624686
