epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.84302807,0.09308722,0.20219605,0.05704887,20.0,-1.3265587,0.0,40.0,0.075
1,0.83674264,0.093670696,0.20310271,0.065199755,40.0,-1.9893379,0.05,80.0,0.025
2,0.8397581,0.09301424,0.20398313,0.06443885,60.0,-2.687812,0.0,120.0,0.075
3,0.8407019,0.09306407,0.20398208,0.062459543,80.0,-3.439162,0.05,160.0,0.025
4,0.8402179,0.0963104,0.20357713,0.062808916,100.0,-3.9092908,0.05,200.0,0.05
5,0.8421609,0.09644323,0.20344965,0.06360544,120.0,-4.3442845,0.05,240.0,0.075
6,0.8443478,0.098004125,0.20348029,0.06552944,140.0,-4.5944376,0.05,280.0,0.05
7,0.8458286,0.09756258,0.2040074,0.06322107,160.0,-6.3441644,0.05,320.0,0.025
8,0.8457716,0.09777061,0.2036152,0.06678612,180.0,-6.6624885,0.1,360.0,0.025
9,0.8456879,0.09696763,0.20363162,0.06846985,200.0,-7.7798476,0.05,400.0,0.025
10,0.8454794,0.09711292,0.20335265,0.0704281,220.0,-8.01886,0.0,440.0,0.05
11,0.8454294,0.09721416,0.20336181,0.06908664,240.0,-8.854975,0.0,480.0,0.025
12,0.84615225,0.09772328,0.20369475,0.06965941,260.0,-8.862329,0.15,520.0,0.025
13,0.8465221,0.09805425,0.20399337,0.07140919,280.0,-9.57217,0.1,560.0,0.025
14,0.8463769,0.09894037,0.2037759,0.07310693,300.0,-9.9869375,0.05,600.0,0.025
15,0.84651923,0.098561406,0.20344794,0.07329359,320.0,-10.771786,0.0,640.0,0.025
16,0.8471512,0.09871811,0.20357361,0.07351929,340.0,-10.897177,0.1,680.0,0.025
17,0.8469437,0.09937275,0.20326756,0.074262284,360.0,-11.103676,0.1,720.0,0.025
18,0.8470788,0.10004351,0.20307182,0.07462083,380.0,-11.920698,0.0,760.0,0.05
19,0.8475078,0.10065638,0.20317371,0.07651137,400.0,-12.564811,0.0,800.0,0.0
20,0.8471768,0.10295854,0.20294578,0.07866378,420.0,-11.200509,0.05,840.0,0.05
21,0.84618807,0.10504547,0.20271093,0.082045086,440.0,-12.125948,0.1,880.0,0.05
22,0.8445886,0.10723201,0.20278506,0.083731,460.0,-11.385961,0.0,920.0,0.025
23,0.8423191,0.10992225,0.20243807,0.08624081,480.0,-12.444804,0.05,960.0,0.025
24,0.8422844,0.11018016,0.20281014,0.08720905,500.0,-12.63745,0.0,1000.0,0.0
25,0.8424919,0.10981766,0.2027443,0.08786937,520.0,-11.349767,0.05,1040.0,0.075
26,0.8424471,0.109585375,0.20283043,0.08846077,540.0,-13.397886,0.05,1080.0,0.05
27,0.8425706,0.10982043,0.20267017,0.08990268,560.0,-15.074297,0.0,1120.0,0.075
28,0.8426597,0.109937064,0.20273823,0.09067743,580.0,-13.335327,0.05,1160.0,0.05
29,0.8427244,0.10970449,0.20270829,0.090647794,600.0,-11.180921,0.15,1200.0,0.0
30,0.84246945,0.10987308,0.2025383,0.09141346,620.0,-13.180311,0.05,1240.0,0.1
31,0.8420882,0.11097742,0.20248526,0.091821216,640.0,-15.6272335,0.05,1280.0,0.075
32,0.8420632,0.110671096,0.20258632,0.091556475,660.0,-10.608344,0.1,1320.0,0.025
33,0.84196514,0.11049796,0.2023325,0.09234003,680.0,-14.229922,0.1,1360.0,0.075
34,0.8417744,0.11150325,0.20228572,0.09314281,700.0,-15.803062,0.05,1400.0,0.1
35,0.8416353,0.11160758,0.20219849,0.09393314,720.0,-13.992236,0.0,1440.0,0.0
36,0.84157276,0.111805856,0.20217337,0.094330445,740.0,-14.015829,0.05,1480.0,0.075
37,0.8413196,0.112214684,0.20225187,0.094115384,760.0,-15.076921,0.05,1520.0,0.05
38,0.8408546,0.112912714,0.20190613,0.09499135,780.0,-14.110962,0.1,1560.0,0.175
39,0.8407437,0.112663396,0.20196411,0.09569804,800.0,-15.25104,0.2,1600.0,0.125
40,0.8404439,0.11262504,0.20176323,0.096100636,820.0,-11.983808,0.05,1640.0,0.025
41,0.840466,0.11238707,0.20181116,0.095853865,840.0,-16.782116,0.1,1680.0,0.075
42,0.84073704,0.11251753,0.20200248,0.09584646,860.0,-14.882666,0.1,1720.0,0.15
43,0.840858,0.11221554,0.20202978,0.09619365,880.0,-17.829079,0.2,1760.0,0.125
44,0.841276,0.11211115,0.20215765,0.09597656,900.0,-12.154238,0.25,1800.0,0.225
45,0.8414376,0.11172113,0.20221151,0.09577612,920.0,-14.627426,0.1,1840.0,0.175
46,0.84162027,0.11151572,0.20227246,0.09625357,940.0,-9.678148,0.2,1880.0,0.15
47,0.8416178,0.111478895,0.20200993,0.09764862,960.0,-16.02894,0.35,1920.0,0.2
48,0.84210616,0.11257663,0.20222396,0.098196395,980.0,-15.961687,0.25,1960.0,0.05
49,0.8419223,0.112696044,0.20227338,0.09865547,1000.0,-15.4416,0.1,2000.0,0.125
50,0.84198,0.11273002,0.20241357,0.098801926,1020.0,-18.54585,0.0,2040.0,0.125
51,0.84201545,0.112848856,0.20257604,0.09898364,1040.0,-7.8146224,0.35,2080.0,0.15
52,0.84200627,0.112929426,0.2026103,0.099146746,1060.0,-15.433446,0.25,2120.0,0.275
53,0.842176,0.11290928,0.20270485,0.09967344,1080.0,-14.3241825,0.1,2160.0,0.225
54,0.84224486,0.11283644,0.20282692,0.10035866,1100.0,-16.490673,0.15,2200.0,0.4
55,0.8420589,0.11289975,0.20285629,0.10078743,1120.0,-15.405327,0.2,2240.0,0.3
56,0.84181094,0.11308107,0.20278773,0.101013966,1140.0,-15.072116,0.1,2280.0,0.25
57,0.8416082,0.11292112,0.20283432,0.10120995,1160.0,-11.703682,0.25,2320.0,0.225
58,0.8418162,0.11303177,0.20292638,0.10131392,1180.0,-12.943486,0.4,2360.0,0.1
59,0.8419719,0.11287308,0.20297979,0.10099482,1200.0,-15.786493,0.25,2400.0,0.15
60,0.842061,0.113024205,0.20287131,0.10124878,1220.0,-13.609329,0.4,2440.0,0.175
61,0.84214735,0.11266165,0.2028208,0.1009826,1240.0,-13.870114,0.25,2480.0,0.225
62,0.8421404,0.1124314,0.20276338,0.10091088,1260.0,-11.862486,0.45,2520.0,0.3
63,0.8423614,0.11269038,0.20273155,0.10101985,1280.0,-13.92236,0.45,2560.0,0.15
64,0.8423372,0.11238771,0.20281035,0.10106829,1300.0,-16.401718,0.15,2600.0,0.4
65,0.84211856,0.112557314,0.2028017,0.10124352,1320.0,-15.099566,0.2,2640.0,0.275
66,0.8422491,0.11231931,0.20286193,0.101060465,1340.0,-13.425418,0.35,2680.0,0.175
67,0.84214187,0.1119293,0.20269562,0.1011248,1360.0,-13.918783,0.4,2720.0,0.2
68,0.84203386,0.1116923,0.20272307,0.10101053,1380.0,-11.788305,0.35,2760.0,0.25
