# {"t_start": 1585213367.0591242, "env_id": "FetchPickAndPlace-v1"} 
r,l,t
-50.0,50,3.502504
-50.0,50,4.417442
-50.0,50,5.224049
-50.0,50,6.028436
-50.0,50,6.834753
-50.0,50,7.638999
-50.0,50,8.440147
-50.0,50,9.237192
-50.0,50,10.030258
-50.0,50,10.827604
-50.0,50,11.623609
-50.0,50,12.414821
-50.0,50,13.218544
-50.0,50,14.027546
-50.0,50,14.833565
-50.0,50,15.631402
0.0,50,16.423019
-50.0,50,17.21604
-50.0,50,18.025733
-50.0,50,18.816248
-50.0,50,19.616374
-50.0,50,20.427377
-50.0,50,21.22587
-50.0,50,22.034463
-50.0,50,22.844548
-50.0,50,23.654852
-50.0,50,24.463569
-50.0,50,25.274385
-50.0,50,26.09042
-50.0,50,26.894646
-50.0,50,27.689935
-50.0,50,28.491951
-50.0,50,29.30318
-50.0,50,30.100952
-50.0,50,30.894398
-50.0,50,31.689944
-50.0,50,32.490103
-50.0,50,33.286389
-50.0,50,34.082687
-50.0,50,34.882474
-50.0,50,35.680571
-50.0,50,36.480755
-50.0,50,37.29265
-50.0,50,38.094173
-50.0,50,38.893607
-50.0,50,39.704261
-50.0,50,40.504312
-50.0,50,41.308284
-50.0,50,42.111495
-50.0,50,42.921088
-50.0,50,43.744187
-50.0,50,43.894431
-50.0,50,44.056738
-50.0,50,44.22772
-50.0,50,44.380042
-50.0,50,44.529966
-50.0,50,44.680265
-50.0,50,44.839908
-50.0,50,44.992546
-50.0,50,45.142695
-50.0,50,45.326511
-50.0,50,46.126177
-50.0,50,46.930154
-50.0,50,47.731144
-50.0,50,48.525426
-50.0,50,49.319538
0.0,50,50.114139
-50.0,50,50.908302
-50.0,50,51.710606
-50.0,50,52.515372
-50.0,50,53.321299
-50.0,50,54.133842
-50.0,50,54.946115
-50.0,50,55.767193
-50.0,50,56.587226
-50.0,50,57.400797
-50.0,50,58.21766
-50.0,50,59.030066
-50.0,50,59.845853
-50.0,50,60.664123
-50.0,50,61.479866
-50.0,50,62.294093
-50.0,50,63.118207
-50.0,50,63.934561
-50.0,50,64.75896
-50.0,50,65.573924
-50.0,50,66.393698
-50.0,50,67.220489
-50.0,50,68.035714
-50.0,50,68.862449
-50.0,50,69.684363
-50.0,50,70.519234
-50.0,50,71.353217
-50.0,50,72.182579
-50.0,50,73.020273
-50.0,50,73.860351
-50.0,50,74.690259
-50.0,50,75.524311
-50.0,50,76.361734
-50.0,50,77.206833
-50.0,50,78.049724
-50.0,50,78.904276
-50.0,50,79.753843
-50.0,50,80.603605
-50.0,50,81.449297
-50.0,50,82.290725
-50.0,50,83.135355
-50.0,50,83.981685
-50.0,50,84.827936
-50.0,50,85.680416
-50.0,50,86.545331
-50.0,50,86.705074
-50.0,50,86.857421
-50.0,50,87.009641
-50.0,50,87.164771
-50.0,50,87.332421
-50.0,50,87.484428
-50.0,50,87.642981
-50.0,50,87.79215
-50.0,50,87.945339
-50.0,50,88.097087
-50.0,50,88.969035
-50.0,50,89.849255
-50.0,50,90.721563
-50.0,50,91.594891
-50.0,50,92.464758
-50.0,50,93.32642
-50.0,50,94.190646
-50.0,50,95.050002
-50.0,50,95.929319
-50.0,50,96.818861
0.0,50,97.701854
-50.0,50,98.586797
0.0,50,99.470477
-50.0,50,100.346992
-50.0,50,101.211957
-50.0,50,102.076684
-50.0,50,102.947801
-50.0,50,103.814375
0.0,50,104.689425
-50.0,50,105.557814
-50.0,50,106.443595
-50.0,50,107.313717
-50.0,50,108.193537
-50.0,50,109.08018
-50.0,50,109.987995
-50.0,50,110.88765
-50.0,50,111.782106
-50.0,50,112.685879
-50.0,50,113.597384
-50.0,50,114.518344
-50.0,50,115.43562
-50.0,50,116.344508
-50.0,50,117.231039
-50.0,50,118.11997
-50.0,50,119.014868
-50.0,50,119.910073
-50.0,50,120.805134
-50.0,50,121.703003
-50.0,50,122.608483
-50.0,50,123.511066
-50.0,50,124.415364
0.0,50,125.325505
-50.0,50,126.235791
-50.0,50,127.142233
-50.0,50,128.068616
-50.0,50,128.981767
-50.0,50,129.897553
-50.0,50,130.813663
-50.0,50,131.730628
-50.0,50,132.650651
-50.0,50,132.813305
-50.0,50,132.983508
-50.0,50,133.138833
-50.0,50,133.3074
-50.0,50,133.465211
-50.0,50,133.61646
-50.0,50,133.785661
-50.0,50,133.93689
-50.0,50,134.106183
-50.0,50,134.266127
-50.0,50,135.19429
-50.0,50,136.120475
-50.0,50,137.060907
-50.0,50,137.993243
-50.0,50,138.924413
-50.0,50,139.867553
-50.0,50,140.797016
-50.0,50,141.725276
-50.0,50,142.656827
-50.0,50,143.588624
-50.0,50,144.521115
-50.0,50,145.457874
-50.0,50,146.390162
-50.0,50,147.322724
-50.0,50,148.26144
-50.0,50,149.201416
-50.0,50,150.138797
-50.0,50,151.079046
-50.0,50,152.02147
-50.0,50,152.959003
-50.0,50,153.892223
-50.0,50,154.826522
-50.0,50,155.765667
-50.0,50,156.71147
-50.0,50,157.664015
-50.0,50,158.593806
-50.0,50,159.535306
-50.0,50,160.457283
-50.0,50,161.381084
0.0,50,162.301607
0.0,50,163.224181
-50.0,50,164.149677
-50.0,50,165.079461
-50.0,50,166.001107
-50.0,50,166.930739
-50.0,50,167.863932
-50.0,50,168.786062
-50.0,50,169.717922
-50.0,50,170.652525
-50.0,50,171.587773
-50.0,50,172.520221
-50.0,50,173.446509
0.0,50,174.371307
-50.0,50,175.301656
-50.0,50,176.235588
-50.0,50,177.170649
-50.0,50,178.124377
-50.0,50,179.07702
-50.0,50,180.043209
-50.0,50,181.001691
-50.0,50,181.15737
-50.0,50,181.308137
-50.0,50,181.483673
-50.0,50,181.636728
-50.0,50,181.790828
-50.0,50,181.939528
-50.0,50,182.093444
-50.0,50,182.242512
-50.0,50,182.392064
-50.0,50,182.555194
-50.0,50,183.51937
-50.0,50,184.470607
0.0,50,185.429496
-50.0,50,186.386125
-50.0,50,187.344542
-50.0,50,188.30132
-50.0,50,189.263509
-50.0,50,190.220927
-50.0,50,191.197237
-50.0,50,192.157069
-50.0,50,193.11561
-50.0,50,194.071168
0.0,50,195.02707
-50.0,50,195.981316
-50.0,50,196.93884
-50.0,50,197.897165
-50.0,50,198.858595
-50.0,50,199.824772
-50.0,50,200.789452
-50.0,50,201.764724
-50.0,50,202.735742
-50.0,50,203.703221
-50.0,50,204.663238
-50.0,50,205.623523
-50.0,50,206.598274
-50.0,50,207.572848
-50.0,50,208.542967
-50.0,50,209.513248
-50.0,50,210.478778
-50.0,50,211.445093
-50.0,50,212.414434
-50.0,50,213.379936
-50.0,50,214.3557
-50.0,50,215.32349
-50.0,50,216.2946
-50.0,50,217.263448
-50.0,50,218.23205
-50.0,50,219.203062
-50.0,50,220.166985
-50.0,50,221.137267
-50.0,50,222.120936
-50.0,50,223.104046
0.0,50,224.074915
-50.0,50,225.045878
-50.0,50,226.031285
-50.0,50,227.013942
-50.0,50,227.989574
-50.0,50,228.974555
-50.0,50,229.944259
-50.0,50,230.936166
-50.0,50,231.086715
-50.0,50,231.237864
-50.0,50,231.387431
-50.0,50,231.540696
-50.0,50,231.690022
-50.0,50,231.855987
-50.0,50,232.006216
-50.0,50,232.157645
-50.0,50,232.32047
-50.0,50,232.48229
-50.0,50,233.450229
-50.0,50,234.420382
-50.0,50,235.39157
0.0,50,236.369561
-50.0,50,237.32925
-50.0,50,238.282598
-50.0,50,239.240286
-50.0,50,240.204726
-50.0,50,241.167892
-50.0,50,242.129471
-50.0,50,243.097426
-50.0,50,244.071948
-50.0,50,245.050963
-50.0,50,246.026112
-50.0,50,247.01003
-50.0,50,247.981443
-50.0,50,248.949813
-50.0,50,249.909045
-50.0,50,250.876131
-50.0,50,251.837005
-50.0,50,252.80263
-50.0,50,253.768663
-50.0,50,254.724527
-50.0,50,255.674174
-50.0,50,256.629847
-50.0,50,257.585174
-50.0,50,258.544822
-50.0,50,259.506287
-50.0,50,260.479588
-50.0,50,261.432117
-50.0,50,262.379097
-50.0,50,263.339109
-50.0,50,264.295745
-50.0,50,265.254674
-50.0,50,266.222498
-50.0,50,267.188322
-50.0,50,268.159924
-50.0,50,269.13462
-50.0,50,270.09401
-50.0,50,271.063514
-50.0,50,272.022181
-50.0,50,272.998086
-50.0,50,273.965583
-50.0,50,274.929714
-50.0,50,275.891665
-50.0,50,276.854867
-50.0,50,277.843267
-50.0,50,278.80797
-50.0,50,279.778108
-50.0,50,280.766844
-50.0,50,280.923753
-50.0,50,281.099888
-50.0,50,281.260137
-50.0,50,281.409354
-50.0,50,281.558531
-50.0,50,281.71614
-50.0,50,281.860607
-50.0,50,282.023899
-50.0,50,282.210594
-50.0,50,282.371564
-50.0,50,283.320725
0.0,50,284.280218
-50.0,50,285.25153
-50.0,50,286.225678
-50.0,50,287.198503
-50.0,50,288.186647
-50.0,50,289.143432
-50.0,50,290.095757
-50.0,50,291.053299
-50.0,50,292.020039
-50.0,50,292.978454
-50.0,50,293.943302
-50.0,50,294.915827
-50.0,50,295.877979
-50.0,50,296.843134
-50.0,50,297.793981
-50.0,50,298.755243
-50.0,50,299.722072
-50.0,50,300.686695
-50.0,50,301.655425
-50.0,50,302.617357
-50.0,50,303.578005
-50.0,50,304.550817
-50.0,50,305.508246
-50.0,50,306.484878
-50.0,50,307.476633
-50.0,50,308.446431
-50.0,50,309.421067
-50.0,50,310.397626
-50.0,50,311.393919
-50.0,50,312.377831
-50.0,50,313.345113
-50.0,50,314.315698
-50.0,50,315.277186
-50.0,50,316.237994
-50.0,50,317.218081
-50.0,50,318.180316
-50.0,50,319.149316
-50.0,50,320.108865
-50.0,50,321.062967
-50.0,50,322.023639
-50.0,50,322.999551
-50.0,50,323.961399
-50.0,50,324.912627
-50.0,50,325.878492
-50.0,50,326.840568
-50.0,50,327.800343
-50.0,50,328.762652
-50.0,50,329.71815
-7.0,50,330.692185
-50.0,50,330.844747
-50.0,50,331.016359
-50.0,50,331.18283
-50.0,50,331.337838
-50.0,50,331.517715
-50.0,50,331.671395
-50.0,50,331.847944
-50.0,50,332.012028
-50.0,50,332.172688
-50.0,50,332.326726
-50.0,50,333.236557
-50.0,50,334.1427
-50.0,50,335.050448
-50.0,50,335.963889
-50.0,50,336.871411
-50.0,50,337.80067
-50.0,50,338.712021
-50.0,50,339.618224
-50.0,50,340.522907
-50.0,50,341.418135
-50.0,50,342.326823
-50.0,50,343.229595
-50.0,50,344.124546
-50.0,50,345.037436
-50.0,50,345.92712
-50.0,50,346.817575
-50.0,50,347.718172
-50.0,50,348.621317
-37.0,50,349.528035
-50.0,50,350.439251
-50.0,50,351.333973
-50.0,50,352.242248
-50.0,50,353.164965
-50.0,50,354.070854
-50.0,50,354.958761
-50.0,50,355.870333
-50.0,50,356.789788
-50.0,50,357.700137
-50.0,50,358.59962
-50.0,50,359.526303
-50.0,50,360.436418
-50.0,50,361.360696
-6.0,50,362.259556
-50.0,50,363.171168
-50.0,50,364.060658
-50.0,50,364.96403
-50.0,50,365.870943
-50.0,50,366.780619
-50.0,50,367.708305
-50.0,50,368.616857
-50.0,50,369.512768
-44.0,50,370.422317
-50.0,50,371.329263
0.0,50,372.228483
-50.0,50,373.140058
-50.0,50,374.037333
-50.0,50,374.930328
-50.0,50,375.843736
-50.0,50,376.764553
-50.0,50,377.674131
-50.0,50,377.83624
-50.0,50,378.002101
-50.0,50,378.158213
-50.0,50,378.30571
-50.0,50,378.448413
0.0,50,378.599918
-50.0,50,378.749156
-50.0,50,378.9181
-50.0,50,379.067706
-50.0,50,379.226063
-50.0,50,380.237714
-50.0,50,381.200037
-50.0,50,382.114232
-50.0,50,383.017405
-50.0,50,383.929363
-50.0,50,384.835015
-50.0,50,385.740811
-50.0,50,386.669095
-50.0,50,387.612571
-50.0,50,388.582052
-50.0,50,389.551351
-50.0,50,390.51801
-50.0,50,391.491
-50.0,50,392.447277
-50.0,50,393.406281
-50.0,50,394.363082
-50.0,50,395.326746
-50.0,50,396.288935
-50.0,50,397.254656
-50.0,50,398.217947
-50.0,50,399.185985
-50.0,50,400.151882
-50.0,50,401.114734
-50.0,50,402.087504
-50.0,50,403.05895
-50.0,50,404.02804
-50.0,50,405.001055
-50.0,50,405.981374
-50.0,50,406.944478
-50.0,50,407.915368
-50.0,50,408.888173
-50.0,50,409.860474
-50.0,50,410.828788
-50.0,50,411.788286
-50.0,50,412.756249
-50.0,50,413.717212
-50.0,50,414.677662
-50.0,50,415.648335
-50.0,50,416.61051
-50.0,50,417.582337
0.0,50,418.55755
-50.0,50,419.528389
-50.0,50,420.494457
-50.0,50,421.458568
-50.0,50,422.437608
-50.0,50,423.409218
0.0,50,424.370929
-50.0,50,425.340389
-50.0,50,426.309409
-50.0,50,427.28404
-50.0,50,427.443016
-50.0,50,427.600051
-50.0,50,427.753723
-50.0,50,427.90913
-50.0,50,428.078326
-50.0,50,428.24631
-50.0,50,428.417239
-29.0,50,428.57978
-50.0,50,428.735603
-50.0,50,428.896142
-50.0,50,429.896075
