epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.8401447,0.09156087,0.20384596,0.05697578,20.0,-2.8331647,0.0,100.0,0.07
1,0.8426788,0.092251755,0.20330836,0.05301133,40.0,-4.3529077,0.05,200.0,0.03
2,0.84574765,0.09218665,0.20434836,0.05060024,60.0,-6.4302917,0.05,300.0,0.01
3,0.84519273,0.09216106,0.20404181,0.04857666,80.0,-6.925083,0.15,400.0,0.04
4,0.84534055,0.09265209,0.20409182,0.04846685,100.0,-9.302013,0.05,500.0,0.03
5,0.8456311,0.09360237,0.20416752,0.05149703,120.0,-10.727324,0.15,600.0,0.02
6,0.8452404,0.0944766,0.2038444,0.053184666,140.0,-12.9997425,0.05,700.0,0.0
7,0.84544486,0.0946765,0.20396286,0.0532375,160.0,-14.392207,0.05,800.0,0.02
8,0.8456199,0.09523619,0.20403498,0.053976703,180.0,-15.803915,0.0,900.0,0.01
9,0.8459826,0.095804125,0.2041335,0.054439653,200.0,-14.357549,0.05,1000.0,0.02
10,0.84625953,0.095829844,0.20410195,0.055320945,220.0,-19.982384,0.0,1100.0,0.04
11,0.8464263,0.09553667,0.20418909,0.05614042,240.0,-19.015085,0.05,1200.0,0.03
12,0.84608454,0.095269285,0.20408517,0.056336638,260.0,-21.586405,0.0,1300.0,0.02
13,0.846052,0.09612814,0.20395821,0.058257353,280.0,-21.098646,0.0,1400.0,0.07
14,0.8458534,0.09651077,0.20390232,0.059869424,300.0,-20.307415,0.0,1500.0,0.04
15,0.846014,0.09673465,0.20412675,0.062049884,320.0,-21.767252,0.0,1600.0,0.03
16,0.84566665,0.09670005,0.20390673,0.06361249,340.0,-21.27018,0.05,1700.0,0.01
17,0.84606296,0.096979894,0.20398384,0.064521454,360.0,-19.131554,0.0,1800.0,0.04
18,0.84589887,0.09692051,0.2039567,0.06465911,380.0,-23.85379,0.0,1900.0,0.02
19,0.84580904,0.096975,0.20389651,0.06530053,400.0,-21.519253,0.0,2000.0,0.03
20,0.84571904,0.09723184,0.2039248,0.06588182,420.0,-20.90306,0.1,2100.0,0.05
21,0.84585994,0.0972235,0.20387402,0.06619315,440.0,-24.37684,0.05,2200.0,0.02
22,0.8460553,0.09717084,0.20393693,0.06685588,460.0,-25.983448,0.05,2300.0,0.06
23,0.84595776,0.0970675,0.20397677,0.06767488,480.0,-23.872967,0.1,2400.0,0.08
24,0.8460261,0.09685156,0.20403671,0.067659646,500.0,-27.240253,0.05,2500.0,0.05
25,0.84618735,0.096658535,0.20406078,0.06765228,520.0,-27.02865,0.05,2600.0,0.05
26,0.84613734,0.096917786,0.20400624,0.06784189,540.0,-27.207672,0.05,2700.0,0.06
27,0.8460796,0.09673486,0.20395878,0.06821933,560.0,-25.72733,0.05,2800.0,0.08
28,0.846061,0.09673429,0.2039346,0.06908068,580.0,-26.119741,0.1,2900.0,0.05
29,0.8461861,0.09669719,0.20401777,0.069717094,600.0,-29.690577,0.05,3000.0,0.06
30,0.8461626,0.09680477,0.20409109,0.07048819,620.0,-32.014812,0.0,3100.0,0.03
31,0.8459336,0.09671426,0.20405161,0.07133697,640.0,-26.097507,0.05,3200.0,0.06
32,0.84583074,0.0968301,0.20407516,0.07173973,660.0,-28.536041,0.05,3300.0,0.04
33,0.84580207,0.09720019,0.20417997,0.073101565,680.0,-29.825527,0.1,3400.0,0.02
34,0.84586304,0.09749102,0.20427546,0.07411963,700.0,-30.267975,0.05,3500.0,0.02
35,0.84595364,0.097273834,0.20431305,0.0741615,720.0,-34.710045,0.0,3600.0,0.06
36,0.8459201,0.097112775,0.20427549,0.074310765,740.0,-32.27182,0.0,3700.0,0.07
37,0.8459585,0.09725959,0.20431015,0.07459774,760.0,-26.570683,0.0,3800.0,0.05
38,0.84601665,0.097687095,0.20438452,0.07521446,780.0,-20.494837,0.05,3900.0,0.06
39,0.8460555,0.097719215,0.20436497,0.07554886,800.0,-31.230595,0.0,4000.0,0.07
