# {"t_start": 1586414664.326587, "env_id": "FetchPickAndPlace-v1"} 
r,l,t
-14.678304,50,2.12347
-33.772705,50,3.046207
-4.698777,50,3.858195
-4.039512,50,4.672
-13.330634,50,5.474461
-21.928686,50,6.227861
-5.197546,50,6.986344
-7.017668,50,7.739935
-13.385357,50,8.489228
-20.510255,50,9.234544
-4.768487,50,9.991855
-17.63322,50,10.753201
-9.679212,50,11.507205
-9.193215,50,12.259474
-10.448959,50,13.009358
-17.580203,50,13.765383
-12.439675,50,14.522785
-13.089001,50,15.276738
-17.666614,50,16.04617
-19.672943,50,16.824358
-13.772097,50,17.587989
-9.355508,50,18.389322
-8.377222,50,19.198719
-9.958446,50,20.020759
-5.239886,50,20.833189
-10.042247,50,21.631401
-2.689724,50,22.407337
-13.166065,50,23.204442
-13.447358,50,24.020606
-9.915799,50,24.832392
-20.716062,50,25.644298
-7.987327,50,26.457006
-11.061855,50,27.262568
-13.514536,50,28.088724
-14.77698,50,28.909053
-10.12077,50,29.741177
-13.601359,50,30.557481
-15.414583,50,31.409288
-13.446287,50,32.238042
-3.934952,50,33.065391
-11.85112,50,33.894608
-10.537259,50,34.713856
-21.107955,50,35.52878
-10.347216,50,36.350431
-6.700637,50,37.170632
-12.136967,50,37.985718
-9.769858,50,38.799864
-7.380205,50,39.613183
-3.922014,50,40.448931
-16.968089,50,41.287031
-10.214243,50,42.140066
-10.687733,50,42.289642
-7.342767,50,42.43958
-1.547736,50,42.593201
-18.642227,50,42.74718
-18.895191,50,42.895799
-8.405457,50,43.04819
-13.414753,50,43.202706
-8.90376,50,43.353303
-6.033998,50,43.515851
-11.540221,50,43.70709
-25.911967,50,44.543161
-20.240514,50,45.381112
-19.770208,50,46.212614
-4.630861,50,47.030637
-2.370863,50,47.854221
-8.806935,50,48.67418
-11.267353,50,49.498711
-16.616108,50,50.32316
-22.746214,50,51.143083
-14.74842,50,51.967656
-11.727192,50,52.794852
-9.685893,50,53.617118
-11.667353,50,54.444175
-25.418499,50,55.273685
-23.908597,50,56.095186
-8.671201,50,56.910172
-10.35008,50,57.72558
-4.428139,50,58.549621
-7.235383,50,59.367919
-13.675724,50,60.18785
-21.284713,50,60.999541
-12.823317,50,61.81226
-6.737573,50,62.635261
-24.889052,50,63.461128
-10.010404,50,64.28217
-12.582979,50,65.106257
-7.67178,50,65.917721
-22.782091,50,66.738862
-11.991281,50,67.563212
-14.098648,50,68.385684
-9.736257,50,69.214719
-17.724634,50,70.035393
-17.807943,50,70.873316
-19.7193,50,71.687927
-13.716578,50,72.508075
-7.159686,50,73.316778
-2.148533,50,74.129681
-7.324228,50,74.945424
-15.039087,50,75.764614
-18.298737,50,76.612725
-12.964889,50,77.423247
-3.032358,50,78.24816
-5.06664,50,79.06949
-24.406452,50,79.887174
-12.577451,50,80.709697
-12.204973,50,81.543951
-17.168361,50,82.369412
-21.837351,50,83.190631
-9.553101,50,84.025075
