epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.8485853,0.101946235,0.2046336,0.045969184,20.0,-0.94241846,0.05,100.0,0.03
1,0.8490537,0.09913843,0.20460013,0.043638002,40.0,-1.517142,0.05,200.0,0.02
2,0.8503278,0.09683606,0.20486952,0.04223558,60.0,-1.7074292,0.0,300.0,0.05
3,0.85118264,0.09582337,0.20519938,0.044663798,80.0,-1.9728664,0.05,400.0,0.02
4,0.85026383,0.09574937,0.20507151,0.044555694,100.0,-2.074883,0.05,500.0,0.03
5,0.8491831,0.09531141,0.2048025,0.043587357,120.0,-2.8388152,0.15,600.0,0.04
6,0.8494415,0.0945136,0.20477818,0.044630293,140.0,-3.036431,0.1,700.0,0.03
7,0.8494415,0.094660796,0.20477127,0.043835506,160.0,-3.94354,0.0,800.0,0.03
8,0.8489333,0.09548551,0.20461558,0.043869168,180.0,-4.11554,0.0,900.0,0.01
9,0.848829,0.09502554,0.20451012,0.044913664,200.0,-5.4233727,0.0,1000.0,0.03
10,0.8488722,0.09494998,0.20456623,0.044886902,220.0,-4.856754,0.05,1100.0,0.04
11,0.8481656,0.09521425,0.20435756,0.045322727,240.0,-6.116715,0.0,1200.0,0.06
12,0.8476787,0.094957,0.20423816,0.04524001,260.0,-4.6249113,0.1,1300.0,0.02
13,0.84768456,0.09510323,0.20430714,0.04671978,280.0,-5.122466,0.1,1400.0,0.05
14,0.84704286,0.09489972,0.20414197,0.046587598,300.0,-6.1466427,0.0,1500.0,0.06
15,0.84702474,0.094743274,0.20415369,0.04701573,320.0,-7.2752213,0.05,1600.0,0.04
16,0.84702724,0.094545685,0.2041758,0.046766657,340.0,-7.569392,0.0,1700.0,0.05
17,0.84693694,0.09447984,0.20419663,0.046670135,360.0,-7.3305387,0.05,1800.0,0.03
18,0.8469131,0.09475047,0.20420797,0.04732256,380.0,-6.1650724,0.0,1900.0,0.04
19,0.8467901,0.09468546,0.2041683,0.047068767,400.0,-7.0213447,0.0,2000.0,0.03
20,0.8466499,0.09505244,0.20420474,0.048358392,420.0,-6.991328,0.1,2100.0,0.05
21,0.8468049,0.09516137,0.20420638,0.048261963,440.0,-8.517672,0.0,2200.0,0.03
22,0.8466223,0.09549245,0.20421027,0.04932175,460.0,-7.4132805,0.1,2300.0,0.07
23,0.8466387,0.095629744,0.20420209,0.050227836,480.0,-6.180793,0.05,2400.0,0.01
24,0.84661466,0.09578844,0.20419939,0.050927743,500.0,-6.7200203,0.15,2500.0,0.04
25,0.8467111,0.09566937,0.20425436,0.05101245,520.0,-9.187245,0.0,2600.0,0.03
26,0.8468588,0.09578136,0.20432085,0.05131269,540.0,-8.835631,0.0,2700.0,0.05
27,0.8471717,0.09582776,0.20442057,0.051826667,560.0,-10.0955305,0.0,2800.0,0.02
28,0.84706545,0.09568522,0.20440538,0.05217668,580.0,-8.49331,0.0,2900.0,0.07
29,0.84715724,0.09548432,0.20443492,0.05214695,600.0,-8.428112,0.0,3000.0,0.05
30,0.84714156,0.09543898,0.20447451,0.052182406,620.0,-7.671153,0.0,3100.0,0.03
31,0.8470014,0.095412195,0.20444831,0.052896854,640.0,-11.089238,0.05,3200.0,0.05
32,0.8468263,0.09540326,0.20439562,0.053021606,660.0,-9.10321,0.05,3300.0,0.05
33,0.846951,0.09537087,0.20440155,0.052912854,680.0,-9.784838,0.05,3400.0,0.02
34,0.8469693,0.09522752,0.20439203,0.05282094,700.0,-7.6948156,0.05,3500.0,0.06
35,0.8468632,0.0951565,0.20434664,0.053023748,720.0,-6.9768806,0.1,3600.0,0.05
36,0.8468876,0.095183216,0.20435624,0.05335954,740.0,-9.458349,0.05,3700.0,0.05
37,0.8467191,0.09522102,0.20433325,0.053511877,760.0,-9.593412,0.05,3800.0,0.04
38,0.8467312,0.09518432,0.20433499,0.053381052,780.0,-9.488288,0.0,3900.0,0.07
39,0.84668213,0.095450886,0.20432778,0.05382897,800.0,-6.1298685,0.1,4000.0,0.06
