# {"t_start": 1586456897.4929287, "env_id": "FetchPickAndPlace-v1"} 
r,l,t
-50.0,50,2.77523
-50.0,50,3.725485
-50.0,50,4.572326
-50.0,50,5.653075
-50.0,50,6.688717
-50.0,50,7.558823
-50.0,50,8.392027
-50.0,50,9.241938
-50.0,50,10.095683
-50.0,50,10.886639
-50.0,50,11.713675
-44.0,50,12.551842
-50.0,50,13.378767
-50.0,50,14.22909
-50.0,50,15.095011
-50.0,50,15.950148
-50.0,50,16.883391
20.0,50,17.895923
-50.0,50,18.765913
-50.0,50,19.627482
-50.0,50,20.460797
-50.0,50,21.395571
-50.0,50,22.279998
-50.0,50,23.15893
-50.0,50,24.099451
20.0,50,25.084357
-50.0,50,26.079429
-50.0,50,27.052811
-50.0,50,27.903578
-50.0,50,28.747558
-50.0,50,29.608131
-50.0,50,30.651876
-50.0,50,31.490901
-50.0,50,32.43122
-50.0,50,33.409937
-50.0,50,34.421844
-50.0,50,35.459744
-50.0,50,36.430101
-50.0,50,37.456214
-44.0,50,38.593556
-50.0,50,39.589965
-50.0,50,40.506028
-50.0,50,41.375871
-50.0,50,42.253501
-50.0,50,43.115754
-50.0,50,44.054119
-50.0,50,45.016216
-50.0,50,46.06059
-50.0,50,47.104552
-50.0,50,48.007795
20.0,50,48.959935
-50.0,50,49.198727
-50.0,50,49.404402
-50.0,50,49.620874
-50.0,50,49.838358
-50.0,50,50.024557
-50.0,50,50.219857
-50.0,50,50.432219
-50.0,50,50.663148
-50.0,50,50.868892
-50.0,50,51.078083
-50.0,50,52.192385
-50.0,50,53.219276
-50.0,50,54.342968
-50.0,50,55.312867
-50.0,50,56.171884
-50.0,50,57.019224
-50.0,50,57.881244
-50.0,50,58.749842
-50.0,50,59.633018
-44.0,50,60.525482
-50.0,50,61.410333
-50.0,50,62.28146
-50.0,50,63.173534
-50.0,50,64.157125
-50.0,50,65.274284
-50.0,50,66.299623
-50.0,50,67.310646
-50.0,50,68.352332
-50.0,50,69.388818
-50.0,50,70.362848
-50.0,50,71.509894
-50.0,50,72.44835
-50.0,50,73.328017
-50.0,50,74.208262
-50.0,50,75.081643
-50.0,50,75.953774
-50.0,50,76.816482
-50.0,50,77.726991
-50.0,50,78.760617
-50.0,50,80.072309
-50.0,50,81.065368
-50.0,50,82.057671
-50.0,50,83.058954
-50.0,50,84.028303
20.0,50,84.972403
-50.0,50,85.975808
-50.0,50,86.895283
-50.0,50,87.791107
-50.0,50,88.687973
-50.0,50,89.583592
-50.0,50,90.504892
20.0,50,91.434008
-50.0,50,92.317936
-50.0,50,93.186927
-50.0,50,94.062584
-50.0,50,94.939311
-50.0,50,95.825437
-50.0,50,96.714391
-50.0,50,97.612205
-50.0,50,98.557697
-50.0,50,98.751984
-50.0,50,98.930196
-50.0,50,99.11638
-50.0,50,99.302404
-50.0,50,99.461939
-50.0,50,99.643198
-50.0,50,99.807008
-50.0,50,99.971303
-50.0,50,100.144585
-50.0,50,100.310456
-50.0,50,101.370047
-50.0,50,102.466172
-50.0,50,103.474966
-44.0,50,104.469501
-50.0,50,105.46682
-50.0,50,106.432722
