epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.8425184,0.09617741,0.20505247,0.051203802,20.0,-2.9357433,0.05,100.0,0.03
1,0.84372205,0.09466788,0.20472859,0.05400993,40.0,-4.4315124,0.15,200.0,0.04
2,0.8421497,0.09288324,0.20380785,0.051442884,60.0,-6.519751,0.0,300.0,0.01
3,0.8435755,0.09326184,0.20404148,0.051648486,80.0,-7.730516,0.1,400.0,0.05
4,0.84150094,0.09430098,0.20363894,0.05339434,100.0,-10.323488,0.0,500.0,0.03
5,0.841729,0.09486706,0.2035144,0.054480184,120.0,-10.305719,0.05,600.0,0.01
6,0.8428884,0.096176006,0.20380488,0.058763612,140.0,-12.200023,0.05,700.0,0.05
7,0.8433024,0.09753636,0.20361274,0.06160411,160.0,-13.938024,0.0,800.0,0.08
8,0.8430484,0.09703508,0.20358628,0.0625088,180.0,-13.948175,0.1,900.0,0.04
9,0.84253144,0.098441534,0.20315982,0.066771045,200.0,-17.78069,0.0,1000.0,0.05
10,0.84333223,0.09861404,0.20333803,0.06748768,220.0,-17.642849,0.0,1100.0,0.05
11,0.84376913,0.099040955,0.20348543,0.0689762,240.0,-18.813942,0.0,1200.0,0.03
12,0.84398603,0.09921807,0.2036664,0.06903171,260.0,-16.149845,0.1,1300.0,0.07
13,0.8438553,0.10006877,0.20368233,0.069761544,280.0,-19.025257,0.1,1400.0,0.09
14,0.8439803,0.099755645,0.20350383,0.07077691,300.0,-17.650997,0.1,1500.0,0.08
15,0.8442452,0.09940138,0.20350792,0.071186654,320.0,-20.79401,0.05,1600.0,0.1
16,0.84408116,0.099586725,0.20352784,0.07159047,340.0,-22.425533,0.15,1700.0,0.06
17,0.8442362,0.09964118,0.20344034,0.07218283,360.0,-19.41486,0.05,1800.0,0.05
18,0.8444455,0.09933832,0.20364626,0.07251739,380.0,-21.739368,0.05,1900.0,0.06
19,0.8441665,0.099497296,0.20360325,0.07277706,400.0,-25.49867,0.0,2000.0,0.02
20,0.844398,0.09976083,0.20359483,0.07318934,420.0,-22.931719,0.1,2100.0,0.07
21,0.8441135,0.09963342,0.20354736,0.07341215,440.0,-25.911646,0.0,2200.0,0.02
22,0.8442912,0.09932488,0.20360477,0.073676616,460.0,-24.375395,0.0,2300.0,0.04
23,0.8440573,0.09952829,0.20339066,0.07441547,480.0,-25.757034,0.05,2400.0,0.02
24,0.8440468,0.099704914,0.20335297,0.07480404,500.0,-22.700733,0.0,2500.0,0.04
25,0.84411836,0.09963756,0.20342988,0.07498836,520.0,-23.952827,0.0,2600.0,0.06
26,0.84410506,0.099631846,0.20343387,0.07579893,540.0,-22.332722,0.0,2700.0,0.1
27,0.8443118,0.09997851,0.20350587,0.07615252,560.0,-22.992517,0.15,2800.0,0.04
28,0.8444137,0.10047293,0.20340778,0.07699399,580.0,-28.499008,0.0,2900.0,0.08
29,0.8444505,0.101130866,0.20341316,0.078557044,600.0,-20.474821,0.05,3000.0,0.07
30,0.84419364,0.101424016,0.20342028,0.078685574,620.0,-27.797998,0.05,3100.0,0.08
31,0.8440344,0.10129055,0.20338857,0.07938064,640.0,-24.731787,0.1,3200.0,0.09
32,0.8439651,0.101325035,0.20332818,0.079937674,660.0,-23.303858,0.05,3300.0,0.13
33,0.84401125,0.101320356,0.20331426,0.08065422,680.0,-23.142153,0.1,3400.0,0.08
34,0.84396774,0.10130882,0.20335028,0.08186232,700.0,-24.597404,0.1,3500.0,0.06
35,0.84393436,0.10172615,0.20329529,0.083014876,720.0,-15.732773,0.4,3600.0,0.1
36,0.84390855,0.10170277,0.20328583,0.08413359,740.0,-23.310797,0.05,3700.0,0.11
37,0.8438158,0.10187885,0.20325781,0.08481576,760.0,-22.449835,0.15,3800.0,0.1
38,0.84363765,0.101993084,0.20318659,0.085642174,780.0,-22.671228,0.2,3900.0,0.13
39,0.8434906,0.10222731,0.20324318,0.08676479,800.0,-17.225657,0.15,4000.0,0.2
