# {"t_start": 1587669032.3059254, "env_id": "FetchPickAndPlace-v1"} 
r,l,t
-50.0,50,3.865709
-50.0,50,5.189632
-50.0,50,6.249844
-50.0,50,7.322901
-50.0,50,8.422947
-50.0,50,9.535942
-50.0,50,10.624489
-50.0,50,11.701747
-50.0,50,12.811507
-50.0,50,13.910733
-48.0,50,15.027818
-50.0,50,16.668411
-50.0,50,18.159514
-50.0,50,19.618644
-50.0,50,21.115548
-50.0,50,23.137029
-50.0,50,25.029861
-50.0,50,26.921078
-50.0,50,28.821794
-50.0,50,30.730479
-50.0,50,32.644981
-50.0,50,34.567149
-50.0,50,36.346371
-48.0,50,38.093557
-48.0,50,40.056515
-50.0,50,42.005323
-49.0,50,43.964494
-50.0,50,45.739365
-48.0,50,47.671544
-49.0,50,49.664255
-49.0,50,51.696578
-50.0,50,53.745991
-50.0,50,55.801295
-48.0,50,57.901783
-50.0,50,60.026281
-48.0,50,62.193187
-49.0,50,64.344758
-50.0,50,66.530636
-50.0,50,68.73247
-49.0,50,70.982736
-49.0,50,73.245368
-48.0,50,75.516697
-50.0,50,77.801162
-49.0,50,80.114422
-49.0,50,82.368951
-49.0,50,84.669598
-48.0,50,86.855744
-49.0,50,89.240296
-49.0,50,91.6435
-48.0,50,94.054696
-18.0,50,96.579777
-48.0,50,96.806127
-49.0,50,97.076711
-48.0,50,97.324842
-48.0,50,97.577457
-48.0,50,97.843127
-48.0,50,98.100063
-48.0,50,98.354758
-49.0,50,98.60875
-48.0,50,98.855317
-50.0,50,99.350612
-50.0,50,101.798707
-49.0,50,104.247831
-48.0,50,106.679443
-50.0,50,109.109166
-49.0,50,111.576325
-48.0,50,114.074174
-50.0,50,116.576509
-48.0,50,119.101125
-48.0,50,121.575274
-48.0,50,124.114064
-48.0,50,126.648433
-41.0,50,129.214051
-49.0,50,131.776293
-50.0,50,134.3401
-49.0,50,136.924861
-50.0,50,139.495848
-48.0,50,142.124783
-48.0,50,144.78123
-48.0,50,147.430684
-49.0,50,150.111547
-50.0,50,152.795783
-48.0,50,155.497404
-48.0,50,158.205694
-49.0,50,160.952055
-48.0,50,163.692353
-48.0,50,166.445507
-48.0,50,169.215138
-49.0,50,171.985865
-48.0,50,174.794076
-48.0,50,177.61462
-48.0,50,180.425556
-48.0,50,183.257776
-48.0,50,186.122035
-48.0,50,188.979587
-49.0,50,191.89841
