epoch,p0/stats_g/mean,p0/stats_g/std,p0/stats_o/mean,p0/stats_o/std,p1/stats_g/mean,p1/stats_g/std,p1/stats_o/mean,p1/stats_o/std,p2/stats_g/mean,p2/stats_g/std,p2/stats_o/mean,p2/stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.851855,0.07983862,0.195975,0.06358299,0.8199274,0.08802769,0.22602604,0.14710386,0.7926144,0.14330675,0.2615381,0.12128722,20.0,-2.2253513807654377,0.05,100.0,0.0
1,0.8546131,0.07895738,0.19640383,0.05991268,0.8291521,0.081939034,0.23071434,0.13870466,0.8286023,0.12899706,0.26905888,0.12492551,40.0,-2.8958714629225435,0.2,200.0,0.02
2,0.8552914,0.077708,0.19650938,0.05821164,0.83267325,0.08042712,0.22805397,0.13805407,0.8371121,0.12259079,0.27401394,0.13785091,60.0,-3.6430765574946995,0.2,300.0,0.08
3,0.8558733,0.07655781,0.19656293,0.056927547,0.8341661,0.07964665,0.22612764,0.13518289,0.8409355,0.12483981,0.27113363,0.14186993,80.0,-4.942824674535542,0.3,400.0,0.09
4,0.8558684,0.075474605,0.1964644,0.05576755,0.83461124,0.07909953,0.22547889,0.1357639,0.8420158,0.13276081,0.27117115,0.1491562,100.0,-5.561304961204529,0.25,500.0,0.11
5,0.8552076,0.074443504,0.19615749,0.058031507,0.83532906,0.07831048,0.22417563,0.13342538,0.8426582,0.13034607,0.27108315,0.14823787,120.0,-5.910958941712975,0.35,600.0,0.08
6,0.8552835,0.073683314,0.19623804,0.05733262,0.8364052,0.07807831,0.22320868,0.13139626,0.84271175,0.13415743,0.2729828,0.15009817,140.0,-3.3105232086256144,0.75,700.0,0.08
7,0.8552444,0.07284663,0.19615807,0.056059364,0.8369667,0.077709734,0.22281551,0.1292882,0.8411197,0.13610853,0.27340966,0.15181503,160.0,-5.675609282068908,0.55,800.0,0.17
8,0.8549064,0.07209795,0.19607237,0.055000134,0.8368358,0.07703806,0.22214483,0.12768637,0.84054184,0.13591847,0.2730861,0.15129082,180.0,-3.956858696863055,0.7,900.0,0.18
9,0.85487026,0.071612276,0.19592023,0.055362348,0.8374112,0.07678103,0.22186787,0.12850183,0.8406244,0.13456105,0.2739646,0.15068486,200.0,-8.301411160312593,0.5,1000.0,0.25
10,0.85512346,0.07120429,0.19611393,0.056462307,0.83809876,0.07661396,0.22161056,0.12862782,0.8414288,0.13674374,0.27501985,0.15276307,220.0,-4.739185790106655,0.65,1100.0,0.17
11,0.85504085,0.0707511,0.19608203,0.055605233,0.83856636,0.076364085,0.22093199,0.12737931,0.8415589,0.13511884,0.27417606,0.15282057,240.0,-3.9197285906672468,0.5,1200.0,0.3
12,0.8552727,0.07027239,0.19608594,0.055282634,0.8392919,0.07604884,0.22081842,0.12670778,0.8416164,0.13522325,0.27487928,0.15308061,260.0,-4.203551669195294,0.7,1300.0,0.28
13,0.8555789,0.0698738,0.1961689,0.05450793,0.83995384,0.0759308,0.22027081,0.12505935,0.8413593,0.136344,0.27425462,0.15330505,280.0,-2.7214131903946397,0.85,1400.0,0.26
14,0.8558059,0.0694494,0.19619073,0.05378345,0.8404913,0.075784095,0.22012672,0.12434958,0.84093434,0.13651265,0.27386922,0.15308927,300.0,-3.5722390788942575,0.55,1500.0,0.37
