# {"t_start": 1575569332.4770603, "env_id": "FetchPickAndPlace-v1"} 
r,l,t
-50.0,50,3.249856
-50.0,50,4.323733
-50.0,50,5.277016
0.0,50,6.201315
-50.0,50,7.125757
-50.0,50,8.009838
-50.0,50,9.011615
-50.0,50,10.181596
-50.0,50,11.076199
-50.0,50,11.964478
-50.0,50,12.846846
0.0,50,13.749469
-50.0,50,14.624349
-50.0,50,15.520727
-50.0,50,16.429775
-50.0,50,17.304671
-32.0,50,18.215998
-50.0,50,19.236737
-50.0,50,20.362571
-50.0,50,21.272537
-50.0,50,22.19156
-50.0,50,22.315781
-50.0,50,22.442469
0.0,50,22.559453
-50.0,50,22.68556
-50.0,50,22.810934
-50.0,50,22.932393
-50.0,50,23.052017
-50.0,50,23.186358
-50.0,50,23.300872
-50.0,50,23.471629
-50.0,50,24.344012
-50.0,50,25.225242
-50.0,50,26.131
0.0,50,27.027162
-50.0,50,27.950492
-50.0,50,28.836409
-50.0,50,29.717953
-50.0,50,30.654111
-50.0,50,31.638064
-50.0,50,32.556015
-35.0,50,33.475061
-50.0,50,34.424229
-50.0,50,35.391926
-50.0,50,36.459156
-50.0,50,37.466953
-50.0,50,38.449773
-50.0,50,39.655589
-50.0,50,40.691112
-50.0,50,41.791258
-50.0,50,42.879123
-50.0,50,43.025676
-50.0,50,43.197668
-50.0,50,43.379554
-50.0,50,43.503863
-50.0,50,43.629555
-50.0,50,43.772069
-50.0,50,43.894909
-50.0,50,44.017151
0.0,50,44.158725
-50.0,50,44.28254
-50.0,50,45.212733
-50.0,50,46.143777
-50.0,50,47.143797
-50.0,50,48.147435
-8.0,50,49.076793
-50.0,50,50.038781
-50.0,50,50.99156
-50.0,50,51.986648
-2.0,50,52.964362
-50.0,50,53.979439
-50.0,50,54.934597
-50.0,50,55.897255
-50.0,50,56.867617
-50.0,50,57.787466
-50.0,50,58.720646
-50.0,50,59.635622
-37.0,50,60.670385
-50.0,50,61.712285
-50.0,50,62.671415
-50.0,50,63.681762
-50.0,50,63.812608
-50.0,50,63.938357
-50.0,50,64.067223
-50.0,50,64.198929
-50.0,50,64.336044
-50.0,50,64.473713
-50.0,50,64.608481
-50.0,50,64.747895
-50.0,50,64.869435
-50.0,50,64.999764
-50.0,50,65.989558
-50.0,50,66.963937
0.0,50,67.918762
-50.0,50,68.856234
-50.0,50,69.91689
-50.0,50,70.928917
-50.0,50,72.013141
-50.0,50,73.183422
-50.0,50,74.218924
-50.0,50,75.364306
-50.0,50,76.486794
-50.0,50,77.463374
-50.0,50,78.404585
-50.0,50,79.393854
-50.0,50,80.369937
-50.0,50,81.362205
-50.0,50,82.292313
-50.0,50,83.220442
-50.0,50,84.186271
-50.0,50,85.177672
-50.0,50,85.29548
-50.0,50,85.430322
-50.0,50,85.56707
-50.0,50,85.682012
-50.0,50,85.823618
-50.0,50,85.974458
-50.0,50,86.145656
-50.0,50,86.288396
-50.0,50,86.414697
-50.0,50,86.539569
-50.0,50,87.457669
-50.0,50,88.388488
-50.0,50,89.317956
-36.0,50,90.246875
-50.0,50,91.193823
-50.0,50,92.121464
-50.0,50,93.048643
-50.0,50,94.002789
-50.0,50,94.903029
-50.0,50,95.816856
-50.0,50,96.839284
-50.0,50,97.86906
-50.0,50,98.801427
-50.0,50,99.829571
-45.0,50,100.906673
-50.0,50,101.994508
-50.0,50,103.095607
-50.0,50,104.180674
-50.0,50,105.17337
-50.0,50,106.135475
-50.0,50,106.268101
-50.0,50,106.394448
-50.0,50,106.520771
-50.0,50,106.642545
-50.0,50,106.761948
-50.0,50,106.90751
-50.0,50,107.070974
-50.0,50,107.224224
-50.0,50,107.349149
-50.0,50,107.528728
-50.0,50,108.571294
-50.0,50,109.733327
-50.0,50,110.90651
-50.0,50,111.908997
-50.0,50,112.892218
-50.0,50,113.850311
-50.0,50,114.809695
-50.0,50,115.814308
-37.0,50,116.834131
-50.0,50,117.873097
-50.0,50,119.005805
-50.0,50,120.045488
0.0,50,121.148889
-50.0,50,122.290771
-50.0,50,123.434435
-50.0,50,124.400078
-50.0,50,125.466999
-39.0,50,126.568686
-50.0,50,127.592524
-50.0,50,128.560028
-50.0,50,128.697732
-50.0,50,128.859805
-50.0,50,128.987486
-23.0,50,129.11837
-48.0,50,129.250772
-50.0,50,129.374073
-50.0,50,129.491805
-22.0,50,129.6227
-50.0,50,129.746974
-50.0,50,129.879142
-50.0,50,130.89783
-50.0,50,131.894291
-50.0,50,132.875155
-50.0,50,133.852786
-50.0,50,134.836864
-50.0,50,135.942651
-50.0,50,136.917449
-50.0,50,137.884927
-50.0,50,138.837432
-50.0,50,139.797418
-50.0,50,140.777184
-50.0,50,141.736493
-50.0,50,142.707499
-50.0,50,143.660776
