epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.8657896,0.09667436,0.20801552,0.04596394,10.0,-1.6525275,0.1,20.0,0.1
1,0.8627176,0.09836651,0.20793526,0.051882897,20.0,-2.321003,0.1,40.0,0.1
2,0.85852426,0.09993819,0.20732412,0.05715407,30.0,-3.326149,0.0,60.0,0.1
3,0.85780996,0.10252663,0.2070651,0.06000004,40.0,-3.113256,0.0,80.0,0.05
4,0.85628086,0.10270226,0.20696144,0.05977066,50.0,-5.1557136,0.0,100.0,0.05
5,0.8544106,0.10174226,0.20679657,0.06111975,60.0,-4.6601744,0.2,120.0,0.05
6,0.8541243,0.10513704,0.2067094,0.06388742,70.0,-6.278895,0.1,140.0,0.0
7,0.8525184,0.1044685,0.20610219,0.064042345,80.0,-5.663924,0.4,160.0,0.0
8,0.8510551,0.10807269,0.20556626,0.069572814,90.0,-5.5596848,0.5,180.0,0.0
9,0.8504033,0.107687116,0.20576511,0.07073173,100.0,-6.2848163,0.3,200.0,0.0
10,0.84938884,0.10789455,0.20578739,0.071509525,110.0,-8.13309,0.1,220.0,0.0
11,0.8483219,0.107395746,0.20513664,0.072417796,120.0,-8.382002,0.1,240.0,0.0
12,0.8481974,0.10704827,0.20526846,0.075522356,130.0,-9.731859,0.1,260.0,0.0
13,0.84749395,0.10656085,0.20511715,0.076575786,140.0,-7.3484564,0.4,280.0,0.0
14,0.8471632,0.10634661,0.20465913,0.076646276,150.0,-6.6628213,0.6,300.0,0.0
15,0.84633017,0.10795272,0.20419067,0.078288645,160.0,-8.443392,0.4,320.0,0.05
16,0.8463122,0.10813147,0.20434956,0.08057791,170.0,-10.518545,0.1,340.0,0.05
17,0.84673214,0.10954221,0.20406221,0.08131691,180.0,-9.1577635,0.2,360.0,0.0
18,0.845948,0.10933516,0.2035633,0.08303932,190.0,-8.296429,0.6,380.0,0.05
19,0.8455984,0.11289302,0.20326206,0.08561282,200.0,-8.98527,0.3,400.0,0.0
20,0.84561056,0.11280221,0.20328794,0.08808494,210.0,-7.0933013,0.5,420.0,0.0
21,0.8456088,0.11300478,0.20321777,0.08825105,220.0,-8.282277,0.4,440.0,0.05
22,0.84638876,0.11467991,0.20372437,0.08860781,230.0,-10.170969,0.3,460.0,0.05
23,0.84584594,0.114456125,0.20399672,0.0891147,240.0,-7.811928,0.4,480.0,0.1
24,0.8457484,0.114242695,0.20397192,0.090357535,250.0,-8.852594,0.4,500.0,0.1
25,0.84536296,0.11513696,0.2036503,0.091878824,260.0,-10.887206,0.4,520.0,0.1
26,0.84509164,0.11657149,0.20389988,0.093965426,270.0,-10.82714,0.3,540.0,0.05
27,0.84471244,0.1162379,0.20390879,0.0943122,280.0,-10.356847,0.4,560.0,0.2
28,0.84475225,0.11613067,0.20409437,0.09582206,290.0,-9.427202,0.4,580.0,0.05
29,0.844785,0.116091795,0.20405291,0.097090505,300.0,-8.5216055,0.5,600.0,0.05
30,0.84461194,0.11568951,0.20401916,0.09771293,310.0,-9.388969,0.6,620.0,0.1
31,0.8443825,0.11600741,0.2040105,0.098964,320.0,-7.074338,0.5,640.0,0.1
32,0.8441383,0.117000155,0.20396581,0.10015129,330.0,-9.621074,0.6,660.0,0.2
33,0.8440268,0.1174585,0.20388024,0.10057207,340.0,-7.233219,0.6,680.0,0.1
34,0.84432274,0.11744172,0.20447437,0.102272026,350.0,-5.748681,0.7,700.0,0.15
35,0.8443883,0.116903685,0.20466022,0.10268963,360.0,-9.681297,0.6,720.0,0.35
36,0.84394145,0.11710924,0.2045027,0.103335,370.0,-6.479506,0.9,740.0,0.05
37,0.8438761,0.118204,0.20447971,0.10420162,380.0,-10.347865,0.7,760.0,0.25
38,0.84403604,0.11791582,0.20494354,0.10579068,390.0,-4.733554,0.8,780.0,0.1
39,0.8441554,0.118631154,0.20498005,0.10678857,400.0,-10.339533,0.5,800.0,0.05
40,0.84377676,0.11854807,0.20467173,0.10709019,410.0,-6.975847,0.6,820.0,0.3
41,0.8435673,0.118609995,0.2048143,0.10778311,420.0,-12.131398,0.5,840.0,0.2
42,0.8434294,0.11947455,0.2049828,0.10899384,430.0,-8.304027,0.8,860.0,0.1
43,0.84290177,0.1209087,0.20472127,0.109588884,440.0,-6.284698,0.7,880.0,0.35
44,0.8430427,0.12220031,0.2050171,0.11038819,450.0,-6.9024734,0.7,900.0,0.05
45,0.84269285,0.123290084,0.20489617,0.1117086,460.0,-7.749231,0.7,920.0,0.35
46,0.84310204,0.123344935,0.20528044,0.11249007,470.0,-5.639285,0.8,940.0,0.35
47,0.8428114,0.12334796,0.2051756,0.11298517,480.0,-11.974963,0.3,960.0,0.3
48,0.8430667,0.12347422,0.20513754,0.11289354,490.0,-9.978221,0.4,980.0,0.3
49,0.8430378,0.122898996,0.20506914,0.112751156,500.0,-13.778925,0.4,1000.0,0.5
50,0.843111,0.12290031,0.20504391,0.11312942,510.0,-11.303484,0.4,1020.0,0.25
51,0.8430609,0.123112224,0.20499901,0.11355667,520.0,-7.1728315,0.9,1040.0,0.3
52,0.84355253,0.1231587,0.2049929,0.113857396,530.0,-6.61913,0.5,1060.0,0.3
53,0.84345436,0.123135835,0.20505556,0.11441168,540.0,-5.967032,0.9,1080.0,0.4
54,0.84348696,0.123761654,0.20495726,0.11469249,550.0,-3.2895977,0.8,1100.0,0.15
55,0.84323007,0.12534828,0.20473874,0.11550573,560.0,-10.8497095,0.4,1120.0,0.05
56,0.84304833,0.12567563,0.20491382,0.11609986,570.0,-4.9467883,0.7,1140.0,0.35
57,0.84307677,0.1260584,0.2047839,0.117331475,580.0,-5.7081275,0.7,1160.0,0.2
58,0.84299344,0.12737474,0.20455232,0.11822271,590.0,-5.862994,0.5,1180.0,0.2
59,0.8425946,0.12803245,0.20421898,0.11885065,600.0,-6.682588,0.7,1200.0,0.25
60,0.8428972,0.12825659,0.2042953,0.11900922,610.0,-7.921415,0.3,1220.0,0.3
61,0.84269994,0.12924948,0.20414463,0.119931266,620.0,-10.239393,0.5,1240.0,0.35
62,0.8428235,0.12927897,0.20418338,0.12054546,630.0,-6.6151724,0.6,1260.0,0.2
63,0.8429668,0.12923825,0.20404577,0.12065936,640.0,-5.30095,0.9,1280.0,0.3
64,0.84326583,0.12886606,0.2038122,0.12063496,650.0,-3.9721541,0.8,1300.0,0.4
65,0.8437085,0.1292497,0.20401293,0.12090022,660.0,-9.596531,0.5,1320.0,0.1
66,0.8437667,0.12921445,0.20390497,0.12114705,670.0,-4.5579157,0.6,1340.0,0.35
67,0.84395534,0.1293572,0.20392266,0.12119361,680.0,-6.214703,0.6,1360.0,0.2
68,0.8442133,0.1298176,0.20395735,0.12179501,690.0,-9.009958,0.4,1380.0,0.25
69,0.84462637,0.13054086,0.20426786,0.122599475,700.0,-3.6827617,0.7,1400.0,0.2
70,0.84435743,0.13078792,0.20431098,0.12280152,710.0,-5.6367774,0.6,1420.0,0.25
71,0.84463745,0.13073175,0.20426281,0.12294422,720.0,-6.77501,0.8,1440.0,0.3
72,0.84476763,0.1312217,0.20427978,0.123431265,730.0,-14.398706,0.5,1460.0,0.25
73,0.8449955,0.131375,0.20445883,0.12342337,740.0,-10.037339,0.6,1480.0,0.55
74,0.844681,0.13178417,0.2043516,0.12384098,750.0,-4.8101664,0.6,1500.0,0.3
75,0.8448458,0.1320683,0.20431691,0.12393598,760.0,-5.6782956,0.6,1520.0,0.35
76,0.84471154,0.13188408,0.20437995,0.12373352,770.0,-9.780035,0.7,1540.0,0.45
77,0.8448677,0.13151462,0.20430578,0.12366727,780.0,-6.4691863,0.7,1560.0,0.45
78,0.8448302,0.13154669,0.20423986,0.123968236,790.0,-5.243457,0.7,1580.0,0.35
79,0.84492856,0.13160741,0.20437416,0.12421842,800.0,-2.7679665,1.0,1600.0,0.4
80,0.84481215,0.13161182,0.20411906,0.12443811,810.0,-2.5029562,0.9,1620.0,0.4
81,0.8447194,0.13168736,0.20409708,0.12438404,820.0,-5.3235903,0.7,1640.0,0.5
82,0.845023,0.1316799,0.20411375,0.124229334,830.0,-3.5001004,0.7,1660.0,0.45
83,0.8449607,0.13131954,0.20407563,0.12391842,840.0,-5.630704,0.8,1680.0,0.35
84,0.84492254,0.13159294,0.2041118,0.12391163,850.0,-5.243877,0.4,1700.0,0.5
85,0.84478736,0.13116501,0.20421574,0.12377002,860.0,-4.1270103,0.7,1720.0,0.45
86,0.84491163,0.13123517,0.20429836,0.12379406,870.0,-4.512101,0.9,1740.0,0.45
87,0.8449543,0.13101287,0.20443691,0.12384785,880.0,-3.0043561,0.8,1760.0,0.6
88,0.84497213,0.13091116,0.20440435,0.12379754,890.0,-11.469136,0.4,1780.0,0.65
89,0.8449626,0.13057643,0.20433907,0.123807125,900.0,-4.749317,0.8,1800.0,0.3
90,0.84486216,0.13072683,0.20415376,0.12375664,910.0,-6.1619253,0.6,1820.0,0.6
91,0.84513384,0.13140781,0.20420197,0.12419841,920.0,-10.220579,0.6,1840.0,0.35
92,0.844995,0.13131154,0.20426445,0.12413135,930.0,-5.703093,0.8,1860.0,0.3
93,0.84518766,0.13118567,0.20420931,0.12423018,940.0,-4.788518,0.5,1880.0,0.45
94,0.84524447,0.13108198,0.20418182,0.12419014,950.0,-4.561961,0.9,1900.0,0.55
95,0.8452212,0.13110892,0.20421578,0.12424446,960.0,-3.48179,0.8,1920.0,0.6
96,0.8453799,0.13094391,0.20423332,0.124262676,970.0,-5.3360233,0.9,1940.0,0.5
97,0.84553427,0.13072036,0.20437779,0.124080986,980.0,-3.6089454,1.0,1960.0,0.6
98,0.8454273,0.13042277,0.20444757,0.12413216,990.0,-8.200717,0.7,1980.0,0.4
99,0.8454245,0.13048436,0.20446092,0.12407602,1000.0,-3.483413,0.8,2000.0,0.3
100,0.8456418,0.13041414,0.20446117,0.123937786,1010.0,-6.5062513,0.7,2020.0,0.55
101,0.84565264,0.1302595,0.20455444,0.12380114,1020.0,-4.2708945,0.8,2040.0,0.55
102,0.84586686,0.1302568,0.20443565,0.123736456,1030.0,-3.1294806,0.9,2060.0,0.6
103,0.8458448,0.13043989,0.20439278,0.12362292,1040.0,-6.8506446,0.6,2080.0,0.55
104,0.84602255,0.13027348,0.20430961,0.123626806,1050.0,-5.0115647,0.7,2100.0,0.65
105,0.84603673,0.13024259,0.20430611,0.12359105,1060.0,-3.2457092,0.8,2120.0,0.5
106,0.8460309,0.13005716,0.20428948,0.123523384,1070.0,-3.6657512,0.9,2140.0,0.55
107,0.84636545,0.13005699,0.2043573,0.12350989,1080.0,-6.3613825,0.8,2160.0,0.45
108,0.84657955,0.12985538,0.20436002,0.123296954,1090.0,-3.158239,0.9,2180.0,0.6
109,0.8466807,0.12977494,0.20444277,0.123180255,1100.0,-4.4448,0.9,2200.0,0.35
110,0.8467447,0.1296779,0.20436148,0.12317425,1110.0,-5.4905334,0.7,2220.0,0.6
111,0.8468129,0.12976444,0.20435885,0.12339407,1120.0,-7.6870537,0.8,2240.0,0.5
112,0.84677315,0.12994507,0.20441832,0.12353501,1130.0,-7.824767,0.8,2260.0,0.6
113,0.8469045,0.12974042,0.20439835,0.12335928,1140.0,-3.375573,0.8,2280.0,0.8
114,0.84688,0.12968838,0.20436466,0.12353659,1150.0,-2.7292576,0.9,2300.0,0.55
115,0.84684426,0.12984033,0.20435308,0.123568304,1160.0,-6.2835803,0.8,2320.0,0.4
116,0.84678537,0.13002752,0.20440178,0.12366717,1170.0,-4.903729,0.8,2340.0,0.3
117,0.8467249,0.12988017,0.2042677,0.12364277,1180.0,-5.384683,0.9,2360.0,0.65
118,0.84681195,0.12969516,0.20419446,0.12340868,1190.0,-4.2460065,0.8,2380.0,0.7
119,0.8468461,0.1293656,0.20407744,0.12313566,1200.0,-3.4321258,0.9,2400.0,0.75
120,0.84704465,0.12914068,0.20408605,0.1229156,1210.0,-6.501254,0.7,2420.0,0.45
121,0.8472317,0.12898116,0.20412983,0.12283982,1220.0,-11.5490885,0.5,2440.0,0.5
122,0.8471791,0.12880607,0.20395376,0.12281813,1230.0,-4.301112,0.8,2460.0,0.65
123,0.8472803,0.1287019,0.20399405,0.12264319,1240.0,-3.879401,0.8,2480.0,0.65
124,0.8472478,0.12853688,0.20394,0.12250672,1250.0,-1.8596458,1.0,2500.0,0.6
125,0.8473521,0.12842637,0.2039884,0.122460395,1260.0,-2.620571,0.9,2520.0,0.7
126,0.8473994,0.12833752,0.20405799,0.12234998,1270.0,-2.1973405,1.0,2540.0,0.5
127,0.84748644,0.12831394,0.20405233,0.122366406,1280.0,-4.1435685,1.0,2560.0,0.5
128,0.84764796,0.1284719,0.2040995,0.1225248,1290.0,-8.339994,0.7,2580.0,0.5
129,0.8476639,0.12854066,0.20409374,0.12265264,1300.0,-2.4700153,0.9,2600.0,0.55
130,0.84770876,0.12862043,0.20402822,0.12257684,1310.0,-2.065356,0.7,2620.0,0.6
131,0.8478017,0.12871613,0.20396234,0.122650206,1320.0,-4.4407034,0.9,2640.0,0.4
132,0.84788436,0.12878056,0.20402274,0.12265462,1330.0,-2.4139698,0.9,2660.0,0.6
133,0.8478882,0.12862773,0.20398557,0.12254176,1340.0,-1.881871,1.0,2680.0,0.8
134,0.8478733,0.12851061,0.20390184,0.12242477,1350.0,-2.917288,0.8,2700.0,0.75
135,0.84792954,0.12865455,0.20388769,0.12234939,1360.0,-4.3997793,0.9,2720.0,0.75
136,0.8479223,0.12864321,0.20394112,0.1223791,1370.0,-5.273457,0.7,2740.0,0.7
137,0.84808594,0.12865692,0.2039824,0.12232306,1380.0,-4.8629174,0.9,2760.0,0.6
