epoch,p0/stats_g/mean,p0/stats_g/std,p0/stats_o/mean,p0/stats_o/std,p1/stats_g/mean,p1/stats_g/std,p1/stats_o/mean,p1/stats_o/std,p2/stats_g/mean,p2/stats_g/std,p2/stats_o/mean,p2/stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.854599,0.05869965,0.20467328,0.03340937,0.8488471,0.07530201,0.20486823,0.039790705,0.85978633,0.099728845,0.20569412,0.043104533,10.0,-1.7890184,0.0,20.0,0.05
1,0.8519826,0.06110515,0.20464441,0.043555073,0.8468447,0.07476909,0.20499752,0.047979854,0.85792327,0.100230075,0.2065956,0.054869503,20.0,-2.5510814,0.0,40.0,0.05
2,0.8530908,0.0606187,0.2046302,0.04245896,0.8469135,0.07423527,0.20445101,0.052732915,0.8580362,0.101150624,0.20466483,0.06904155,30.0,-3.1506968,0.0,60.0,0.0
3,0.8531761,0.0604762,0.20427471,0.041673202,0.84580487,0.07388384,0.20407148,0.053226933,0.8547528,0.10278501,0.20519786,0.075883925,40.0,-3.500428,0.3,80.0,0.1
4,0.85338044,0.059623405,0.20415846,0.040851507,0.84571606,0.07371238,0.20416367,0.055512253,0.85109407,0.107427515,0.20541091,0.07796955,50.0,-3.822815,0.2,100.0,0.05
5,0.8540998,0.05946365,0.20423153,0.04029051,0.846481,0.0732857,0.2045103,0.05571325,0.8509092,0.10675419,0.20544794,0.078953944,60.0,-2.980482,0.5,120.0,0.2
6,0.8545787,0.059002418,0.20423317,0.03969107,0.8468614,0.0725921,0.2046668,0.05534397,0.8499098,0.107288964,0.20549847,0.08059763,70.0,-3.4288592,0.5,140.0,0.05
7,0.85476464,0.058731463,0.20420244,0.03921019,0.84684354,0.07228868,0.2048039,0.054544374,0.8494909,0.10725311,0.20520456,0.08019671,80.0,-2.5729241,0.6,160.0,0.1
8,0.85489273,0.058452446,0.20421588,0.039083425,0.84688926,0.0717718,0.20497929,0.05556756,0.84854907,0.11183029,0.20553026,0.08540655,90.0,-2.079874,0.8,180.0,0.1
9,0.8553061,0.058144107,0.20432541,0.03866957,0.84739333,0.07136241,0.20500566,0.05481853,0.8479784,0.11052527,0.20422685,0.085540116,100.0,-6.2586327,0.1,200.0,0.15
10,0.85464174,0.057822004,0.20406744,0.0382802,0.84624696,0.071918346,0.20491149,0.054584313,0.8484652,0.109723836,0.20373146,0.08625067,110.0,-3.3707168,0.6,220.0,0.05
11,0.855077,0.057443827,0.2041754,0.03782768,0.8467069,0.0715395,0.20513543,0.054069653,0.8485804,0.10858134,0.20403434,0.08573389,120.0,-4.948176,0.4,240.0,0.1
12,0.8552141,0.057024304,0.20420925,0.03758936,0.846688,0.07140071,0.20524538,0.0542869,0.8486274,0.10944078,0.20361385,0.08913091,130.0,-4.722089,0.6,260.0,0.0
13,0.8553805,0.05699597,0.20428328,0.03733763,0.84699154,0.07168312,0.2053284,0.054692496,0.84749,0.1120555,0.2036912,0.09263141,140.0,-4.5693007,0.6,280.0,0.1
14,0.855221,0.056878146,0.20421377,0.037067108,0.8467793,0.07138334,0.2052684,0.05640301,0.8468414,0.11148045,0.20349425,0.09340435,150.0,-4.887893,0.3,300.0,0.0
15,0.85517955,0.0566534,0.2041515,0.036766704,0.8466733,0.071097046,0.20516096,0.05569906,0.8461745,0.11009234,0.20308319,0.09293996,160.0,-6.1963916,0.4,320.0,0.15
