# {"t_start": 1576708295.5394952, "env_id": "FetchPickAndPlace-v1"} 
r,l,t
-50.0,50,9.058174
-50.0,50,11.000144
-50.0,50,12.732611
-49.0,50,14.314238
-49.0,50,17.821304
-50.0,50,21.794829
-48.0,50,25.846515
-48.0,50,31.761597
-49.0,50,37.110093
-49.0,50,42.520803
-49.0,50,47.90412
-50.0,50,53.267955
-50.0,50,58.690185
-49.0,50,64.076755
-50.0,50,69.549313
-49.0,50,74.898396
-49.0,50,80.319149
-48.0,50,85.826571
-48.0,50,91.311519
-49.0,50,96.771682
-48.0,50,102.463528
-50.0,50,102.639553
-49.0,50,102.812725
-49.0,50,102.984238
-48.0,50,103.161072
-49.0,50,103.329007
-50.0,50,103.51135
-49.0,50,103.680812
-50.0,50,103.863726
-7.0,50,104.036482
-49.0,50,104.58464
-49.0,50,110.106244
-48.0,50,115.583401
-49.0,50,121.010087
-48.0,50,126.553084
-48.0,50,132.092084
-48.0,50,137.610118
-48.0,50,143.085336
-48.0,50,148.888407
-48.0,50,154.629486
-48.0,50,160.209602
-48.0,50,165.791275
-48.0,50,171.385529
-48.0,50,176.962785
-6.0,50,182.50732
-48.0,50,188.074926
-49.0,50,193.666522
-48.0,50,199.371108
-48.0,50,204.928509
-48.0,50,210.535155
-48.0,50,216.158551
-48.0,50,216.328705
-48.0,50,216.502221
-48.0,50,216.681358
-48.0,50,216.870578
-9.0,50,217.043461
-50.0,50,217.229053
-48.0,50,217.401976
-48.0,50,217.582034
-48.0,50,217.762519
-48.0,50,217.923642
-48.0,50,223.56261
-48.0,50,229.161844
-48.0,50,234.813033
-48.0,50,240.488995
-20.0,50,246.152808
-48.0,50,251.857627
-48.0,50,257.588018
-48.0,50,263.299366
-48.0,50,268.991686
-48.0,50,274.764066
-46.0,50,280.556043
-48.0,50,286.274305
-48.0,50,292.049863
-48.0,50,297.798855
-48.0,50,303.557255
-39.0,50,309.629071
-48.0,50,314.697925
-48.0,50,319.503835
-48.0,50,324.43038
-48.0,50,331.042637
-48.0,50,331.183612
-48.0,50,331.319932
-48.0,50,331.454187
-48.0,50,331.591323
-48.0,50,331.739227
-48.0,50,331.878882
-48.0,50,332.022969
-48.0,50,332.167876
-48.0,50,332.306485
-48.0,50,332.446815
-48.0,50,337.397745
-48.0,50,342.335228
-27.0,50,347.343227
-48.0,50,352.153818
-48.0,50,357.029144
-48.0,50,361.984203
-48.0,50,366.990171
-48.0,50,371.979286
-49.0,50,377.082577
-48.0,50,382.079995
-48.0,50,386.897291
-48.0,50,391.798348
-48.0,50,396.695257
-48.0,50,401.614609
-48.0,50,406.477287
-48.0,50,411.407444
-48.0,50,416.323512
-23.0,50,421.283899
-49.0,50,426.210912
-48.0,50,431.215346
-20.0,50,431.371563
-48.0,50,431.510916
-48.0,50,431.649999
-48.0,50,431.785847
-17.0,50,431.925715
-48.0,50,432.069133
-48.0,50,432.207727
-48.0,50,432.344304
-48.0,50,432.554214
-48.0,50,432.706614
-48.0,50,437.736772
-48.0,50,442.678375
-48.0,50,447.647823
-48.0,50,452.75847
-22.0,50,457.88908
-8.0,50,463.350504
-48.0,50,468.679525
-48.0,50,474.234104
-39.0,50,479.684202
-48.0,50,485.011622
-48.0,50,490.235609
-48.0,50,495.368796
-16.0,50,500.746382
-48.0,50,506.258998
-48.0,50,511.446275
-43.0,50,516.613568
-48.0,50,521.830786
-48.0,50,527.057035
-48.0,50,532.363216
-48.0,50,537.880398
-20.0,50,538.010148
-48.0,50,538.142422
-48.0,50,538.275975
-48.0,50,538.416767
-48.0,50,538.547913
-48.0,50,538.681691
-48.0,50,538.822438
-48.0,50,538.957842
-48.0,50,539.090021
-48.0,50,539.215903
-48.0,50,544.35011
-49.0,50,549.444321
-48.0,50,554.629066
-48.0,50,560.056951
-48.0,50,565.299192
-48.0,50,570.311535
-48.0,50,575.451226
-38.0,50,580.67219
-48.0,50,586.069235
-48.0,50,591.329412
-48.0,50,596.545831
-48.0,50,601.858554
-48.0,50,607.160919
-39.0,50,612.441689
-48.0,50,617.611491
-16.0,50,622.782041
-48.0,50,628.017145
-48.0,50,633.341913
-48.0,50,638.589297
-48.0,50,644.101139
-48.0,50,644.228139
-48.0,50,644.356284
-12.0,50,644.493024
-34.0,50,644.622982
-48.0,50,644.756486
-48.0,50,644.882791
-48.0,50,645.016222
-48.0,50,645.139779
-48.0,50,645.253324
-38.0,50,645.387272
-48.0,50,650.613786
-48.0,50,655.955343
-37.0,50,661.422176
-48.0,50,666.905928
-48.0,50,672.465813
-36.0,50,678.38221
-48.0,50,684.128566
-48.0,50,689.782081
-48.0,50,695.192183
-48.0,50,701.022164
-48.0,50,706.973496
-5.0,50,712.591481
-48.0,50,718.210816
-48.0,50,723.774965
-48.0,50,729.567631
-49.0,50,735.271272
-48.0,50,740.871574
-48.0,50,746.463298
-48.0,50,752.050476
-48.0,50,757.62156
-26.0,50,757.759288
-48.0,50,757.892776
-10.0,50,758.04113
-15.0,50,758.18776
-48.0,50,758.329342
-48.0,50,758.457661
-32.0,50,758.60566
-48.0,50,758.761464
-48.0,50,758.880697
-30.0,50,759.016607
-48.0,50,764.759722
-40.0,50,770.525932
-48.0,50,776.477876
-30.0,50,782.564765
-48.0,50,788.238708
-48.0,50,794.08081
-48.0,50,799.991291
-48.0,50,805.944164
-25.0,50,811.704795
-48.0,50,817.290752
-48.0,50,822.882611
-32.0,50,828.422756
-24.0,50,833.993613
-46.0,50,839.610734
-48.0,50,845.314597
-48.0,50,850.966902
-48.0,50,856.583199
-48.0,50,862.134082
-46.0,50,867.899774
-10.0,50,873.890701
-43.0,50,874.03616
-44.0,50,874.184956
-37.0,50,874.333432
-48.0,50,874.46898
-48.0,50,874.609459
-48.0,50,874.747619
-48.0,50,874.90516
-48.0,50,875.045245
-16.0,50,875.206682
-48.0,50,875.345459
-13.0,50,881.390815
-48.0,50,887.333508
-48.0,50,893.451412
-48.0,50,901.293747
-46.0,50,907.838356
-48.0,50,914.274684
-48.0,50,920.234411
-30.0,50,926.712297
-40.0,50,932.97658
-7.0,50,938.975102
-48.0,50,945.08412
-48.0,50,951.228099
-48.0,50,957.316871
-28.0,50,963.352002
-48.0,50,969.503264
-48.0,50,975.570022
-48.0,50,981.70616
-44.0,50,987.45058
-48.0,50,993.367535
-48.0,50,999.369011
-17.0,50,999.519452
-48.0,50,999.654404
-48.0,50,999.777677
-40.0,50,999.914596
-48.0,50,1000.047894
-48.0,50,1000.208069
-10.0,50,1000.364515
-48.0,50,1000.508169
-11.0,50,1000.641786
-48.0,50,1000.764849
-14.0,50,1006.653332
