# {"t_start": 1582011525.3831913, "env_id": "FetchPickAndPlace-v1"} 
r,l,t
-50.0,50,3.201381
-49.0,50,4.470841
-50.0,50,5.716815
-50.0,50,6.8535
-50.0,50,7.974051
-50.0,50,9.138437
-50.0,50,10.329916
-50.0,50,11.451416
-50.0,50,12.604004
-50.0,50,13.701709
-50.0,50,14.889249
-50.0,50,16.138102
-50.0,50,17.256687
-47.0,50,18.401248
-50.0,50,19.543165
-20.0,50,20.65654
-50.0,50,21.84548
-50.0,50,22.968029
-50.0,50,24.109577
-50.0,50,25.274605
-50.0,50,26.490937
-50.0,50,26.623103
-50.0,50,26.790332
-50.0,50,26.937841
-50.0,50,27.067496
-50.0,50,27.212483
-50.0,50,27.354795
-50.0,50,27.492726
-50.0,50,27.632655
-50.0,50,27.768265
-50.0,50,27.954871
-19.0,50,29.128766
-50.0,50,30.257789
-48.0,50,31.409841
-50.0,50,32.580551
-50.0,50,33.753371
-50.0,50,34.946866
-50.0,50,36.12563
-50.0,50,37.314127
-50.0,50,38.506978
-50.0,50,39.699568
-50.0,50,40.956577
-50.0,50,42.143549
-50.0,50,43.341829
-50.0,50,44.527577
-50.0,50,45.802378
-50.0,50,46.980261
-50.0,50,48.172549
-50.0,50,49.37572
-50.0,50,50.59838
-50.0,50,51.81214
-50.0,50,51.95666
-50.0,50,52.101306
-50.0,50,52.260022
-50.0,50,52.408798
-50.0,50,52.557583
-50.0,50,52.697501
-50.0,50,52.842747
-50.0,50,52.989816
-50.0,50,53.130651
-38.0,50,53.289093
-50.0,50,54.544465
-50.0,50,55.77911
-50.0,50,56.995349
-50.0,50,58.21674
-50.0,50,59.475336
-50.0,50,60.680251
-13.0,50,61.895683
-50.0,50,63.127368
-50.0,50,64.381141
-50.0,50,65.639654
-50.0,50,66.864776
-50.0,50,68.138863
-50.0,50,69.335918
-50.0,50,70.605107
-50.0,50,71.863109
-50.0,50,73.067676
-50.0,50,74.274541
-50.0,50,75.535351
-50.0,50,76.909162
-50.0,50,78.236306
-50.0,50,78.384306
-50.0,50,78.532709
-50.0,50,78.679985
-50.0,50,78.836176
-50.0,50,78.983508
-50.0,50,79.13421
-50.0,50,79.279056
-50.0,50,79.424305
-50.0,50,79.575776
-50.0,50,79.724192
-50.0,50,81.080399
-50.0,50,82.351829
-50.0,50,83.611934
-50.0,50,84.88416
-21.0,50,86.13893
-50.0,50,87.403249
-50.0,50,88.750598
-50.0,50,89.971256
-50.0,50,91.326572
-50.0,50,92.572361
-50.0,50,93.853732
-50.0,50,95.114409
-50.0,50,96.359268
-50.0,50,97.637013
-50.0,50,98.865298
-50.0,50,100.147062
-50.0,50,101.502329
-50.0,50,102.792337
-50.0,50,104.099188
-50.0,50,105.43598
-50.0,50,105.582727
-50.0,50,105.738775
-50.0,50,105.890579
-50.0,50,106.045584
-50.0,50,106.178453
-50.0,50,106.31743
-50.0,50,106.468723
-50.0,50,106.603186
-50.0,50,106.739477
-50.0,50,106.88437
-50.0,50,108.105126
-50.0,50,109.41116
-50.0,50,110.725733
-50.0,50,112.016577
-50.0,50,113.313447
-50.0,50,114.612097
-50.0,50,115.923918
-49.0,50,117.229036
-50.0,50,118.468616
-50.0,50,119.785853
-50.0,50,121.1144
-50.0,50,122.434113
-50.0,50,123.723268
-50.0,50,125.074596
-50.0,50,126.42055
-50.0,50,127.712425
-50.0,50,129.015873
-50.0,50,130.347632
-50.0,50,131.685276
-50.0,50,133.025777
-50.0,50,133.176367
-50.0,50,133.323249
-50.0,50,133.457837
-50.0,50,133.592288
-50.0,50,133.754674
-50.0,50,133.907442
-50.0,50,134.056909
-50.0,50,134.19222
-50.0,50,134.331281
-50.0,50,134.503609
-50.0,50,135.823469
-50.0,50,137.210128
0,50,138.573093
-50.0,50,139.968758
-50.0,50,141.278137
-50.0,50,142.612517
-50.0,50,144.001146
-50.0,50,145.432357
-50.0,50,146.856057
-50.0,50,148.251497
-50.0,50,149.605747
-50.0,50,150.952047
-50.0,50,152.299237
-50.0,50,153.683613
-50.0,50,155.006142
-50.0,50,156.3586
-50.0,50,157.746967
-50.0,50,159.148714
-50.0,50,160.515255
-50.0,50,161.902884
-50.0,50,162.042625
-50.0,50,162.181603
-34.0,50,162.325458
-20.0,50,162.492986
-32.0,50,162.646208
-50.0,50,162.789421
-46.0,50,162.936714
-50.0,50,163.075089
-25.0,50,163.235982
-50.0,50,163.387923
-50.0,50,164.741992
-26.0,50,166.216123
-50.0,50,167.707279
-50.0,50,169.161003
-31.0,50,170.545792
-50.0,50,171.973744
-50.0,50,173.290534
-50.0,50,174.637125
-50.0,50,176.008802
-50.0,50,177.382034
-50.0,50,178.7431
-50.0,50,180.12331
-50.0,50,181.537185
-50.0,50,182.90757
-50.0,50,184.355847
-50.0,50,185.793845
-50.0,50,187.173219
-50.0,50,188.536961
-50.0,50,189.917383
-50.0,50,191.343369
-50.0,50,191.478894
-50.0,50,191.624171
-50.0,50,191.764122
-23.0,50,191.923213
-50.0,50,192.055763
-17.0,50,192.224117
-50.0,50,192.365624
-50.0,50,192.512517
-40.0,50,192.659061
-50.0,50,192.794739
-50.0,50,194.168881
-50.0,50,195.531827
-17.0,50,196.961838
-50.0,50,198.349921
-50.0,50,199.788794
-50.0,50,201.202856
-45.0,50,202.58406
-26.0,50,204.056495
-21.0,50,205.529268
-50.0,50,206.904247
-50.0,50,208.312782
-50.0,50,209.765948
-50.0,50,211.18265
-50.0,50,212.641043
-50.0,50,214.156307
-13.0,50,215.600884
-50.0,50,217.024581
-50.0,50,218.445232
-50.0,50,219.918509
-50.0,50,221.395482
-50.0,50,221.542052
-50.0,50,221.697222
-21.0,50,221.844981
-50.0,50,222.007484
-50.0,50,222.163644
-50.0,50,222.294784
-48.0,50,222.451726
-50.0,50,222.593622
0,50,222.751557
-50.0,50,222.904919
-50.0,50,224.318954
-50.0,50,225.954134
-50.0,50,227.410147
-50.0,50,228.838811
-50.0,50,230.237888
-50.0,50,231.740119
-50.0,50,233.228756
-48.0,50,234.704654
-50.0,50,236.175709
-50.0,50,237.628474
-50.0,50,239.136575
0,50,240.593111
-50.0,50,242.067336
-50.0,50,243.57609
-50.0,50,245.03458
-50.0,50,246.475282
-17.0,50,247.913017
-50.0,50,249.371341
-50.0,50,250.858171
-50.0,50,252.385967
-50.0,50,252.529001
-22.0,50,252.686565
-50.0,50,252.845993
-50.0,50,253.002516
-50.0,50,253.145506
-50.0,50,253.293173
-50.0,50,253.445988
-50.0,50,253.57795
-18.0,50,253.738847
-50.0,50,253.868845
-50.0,50,255.345572
-50.0,50,256.942544
-50.0,50,258.527951
-50.0,50,260.001692
-50.0,50,261.47826
-50.0,50,262.951541
-50.0,50,264.462441
-50.0,50,265.938447
-50.0,50,267.421988
-50.0,50,268.909465
-50.0,50,270.367528
-50.0,50,271.910179
-49.0,50,273.414948
-50.0,50,274.868324
-50.0,50,276.421767
-50.0,50,277.895262
-50.0,50,279.395263
-50.0,50,280.906173
-50.0,50,282.490279
-50.0,50,284.042516
-17.0,50,284.205101
-21.0,50,284.363694
-20.0,50,284.537626
-50.0,50,284.685385
-50.0,50,284.827835
-16.0,50,284.992399
-48.0,50,285.129463
-50.0,50,285.268162
-50.0,50,285.419119
-50.0,50,285.562842
-37.0,50,287.097809
-50.0,50,288.641745
-50.0,50,290.13206
-50.0,50,291.62448
-50.0,50,293.128354
-50.0,50,294.625969
-50.0,50,296.155459
-50.0,50,297.677785
-50.0,50,299.117575
-50.0,50,300.619556
-50.0,50,302.170876
-50.0,50,303.748912
