epoch,p0/stats_g/mean,p0/stats_g/std,p0/stats_o/mean,p0/stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.85944396,0.11051595,0.20654029,0.05421875,10.0,-1.662657,0.0,20.0,0.05
1,0.8591049,0.110578634,0.20774105,0.05960378,20.0,-2.502686,0.0,40.0,0.0
2,0.86017233,0.11282211,0.20789127,0.06276196,30.0,-3.3548431,0.0,60.0,0.05
3,0.861862,0.113339365,0.20775987,0.06869466,40.0,-4.049428,0.0,80.0,0.0
4,0.8605795,0.11173727,0.20781584,0.06777857,50.0,-4.9548073,0.0,100.0,0.0
5,0.85938174,0.11046955,0.20743842,0.06736198,60.0,-4.3813305,0.5,120.0,0.05
6,0.8592252,0.11002439,0.20671387,0.070281975,70.0,-5.68425,0.3,140.0,0.0
7,0.85736823,0.10988948,0.20617092,0.07070853,80.0,-5.561696,0.3,160.0,0.05
8,0.85695547,0.110896625,0.20622197,0.071805045,90.0,-6.7513366,0.2,180.0,0.1
9,0.85629946,0.112254925,0.20577133,0.07594684,100.0,-6.2550654,0.4,200.0,0.0
10,0.85460067,0.116668165,0.20554563,0.07876171,110.0,-7.7698565,0.2,220.0,0.0
11,0.85385257,0.117061734,0.20546757,0.07937723,120.0,-8.633581,0.1,240.0,0.0
12,0.8535108,0.11714118,0.20516972,0.07879643,130.0,-10.178051,0.0,260.0,0.0
13,0.85289556,0.11752132,0.20466012,0.07939131,140.0,-9.394063,0.1,280.0,0.05
14,0.8522487,0.118398964,0.2046729,0.08161394,150.0,-9.363329,0.3,300.0,0.05
15,0.85195184,0.11789491,0.20408092,0.08295032,160.0,-7.9285164,0.3,320.0,0.05
16,0.85166687,0.118122496,0.20449305,0.085386604,170.0,-9.650184,0.2,340.0,0.0
17,0.8515274,0.11730067,0.20438522,0.08571848,180.0,-8.6833515,0.2,360.0,0.1
18,0.8512729,0.11792839,0.20444953,0.08712744,190.0,-10.936462,0.1,380.0,0.1
19,0.85112524,0.118304245,0.20483807,0.08874533,200.0,-5.145892,0.8,400.0,0.0
20,0.8506178,0.12043295,0.20450154,0.09266298,210.0,-9.484819,0.3,420.0,0.0
21,0.85003036,0.121881776,0.204741,0.09408143,220.0,-9.474336,0.3,440.0,0.15
22,0.8493206,0.12273707,0.20506409,0.09669424,230.0,-7.2936172,0.7,460.0,0.05
23,0.84909576,0.122852944,0.205162,0.09909423,240.0,-8.571942,0.5,480.0,0.15
24,0.84901637,0.12283385,0.20490256,0.10017624,250.0,-7.4073052,0.5,500.0,0.2
25,0.8488538,0.12247765,0.20521952,0.100421645,260.0,-9.323271,0.3,520.0,0.05
26,0.8486478,0.122701846,0.20525399,0.101176456,270.0,-11.727888,0.4,540.0,0.1
27,0.84871763,0.122416615,0.20502643,0.10092432,280.0,-6.693882,0.8,560.0,0.05
28,0.8484125,0.12244708,0.20489496,0.10258491,290.0,-10.789892,0.4,580.0,0.15
29,0.84825736,0.12287251,0.20509997,0.10407193,300.0,-7.6559157,0.6,600.0,0.05
30,0.84805745,0.12434084,0.20548207,0.106814764,310.0,-11.720628,0.5,620.0,0.05
31,0.8477959,0.12496671,0.2055261,0.10777564,320.0,-9.194697,0.3,640.0,0.15
32,0.84789896,0.12858312,0.20527935,0.1095174,330.0,-9.70062,0.4,660.0,0.05
33,0.847974,0.12814808,0.20567551,0.11068433,340.0,-8.035844,0.5,680.0,0.1
34,0.8476338,0.12869655,0.20558669,0.11127858,350.0,-8.292732,0.5,700.0,0.1
35,0.8473421,0.1290873,0.20545618,0.11256413,360.0,-9.081662,0.4,720.0,0.15
36,0.847696,0.13044454,0.20513846,0.11439648,370.0,-8.907137,0.4,740.0,0.0
