# {"t_start": 1582005092.291975, "env_id": "FetchPickAndPlace-v1"} 
r,l,t
-50.0,50,3.041149
-50.0,50,4.242016
0,50,5.346587
-50.0,50,6.46849
-50.0,50,7.573252
-50.0,50,8.72833
-50.0,50,9.864693
-19.0,50,10.996334
-50.0,50,12.133354
-50.0,50,13.257184
-50.0,50,14.512218
-50.0,50,15.679595
-50.0,50,16.798427
-50.0,50,17.961993
-50.0,50,19.093548
-50.0,50,20.238841
-50.0,50,21.367448
-50.0,50,22.47452
-50.0,50,23.65263
-50.0,50,24.786843
-50.0,50,26.002217
-50.0,50,26.147726
-50.0,50,26.289506
-50.0,50,26.437742
-50.0,50,26.581569
-50.0,50,26.732627
-50.0,50,26.888858
-24.0,50,27.054114
-50.0,50,27.201748
-50.0,50,27.343547
-50.0,50,27.51448
-50.0,50,28.657631
-50.0,50,29.804873
-50.0,50,30.97379
-50.0,50,32.14309
-50.0,50,33.304019
-50.0,50,34.466507
-50.0,50,35.583692
-50.0,50,36.751531
-50.0,50,37.929632
-50.0,50,39.124234
-50.0,50,40.286816
-50.0,50,41.459835
-50.0,50,42.643039
-50.0,50,43.813334
-50.0,50,45.00771
-50.0,50,46.160178
-50.0,50,47.351393
-50.0,50,48.574271
-50.0,50,49.783502
-50.0,50,50.956424
-50.0,50,51.099659
-50.0,50,51.232204
-50.0,50,51.38376
-50.0,50,51.523122
-50.0,50,51.655864
-50.0,50,51.793798
-50.0,50,51.939144
-50.0,50,52.076913
-50.0,50,52.204813
-26.0,50,52.347126
-50.0,50,53.553379
-50.0,50,54.756072
-50.0,50,55.975489
-50.0,50,57.167487
-50.0,50,58.376776
-50.0,50,59.601954
-40.0,50,60.811762
-50.0,50,62.047602
-50.0,50,63.290888
-50.0,50,64.541984
-50.0,50,65.770941
-50.0,50,67.030919
-50.0,50,68.264591
-50.0,50,69.520033
-50.0,50,70.743518
-50.0,50,71.979126
-42.0,50,73.183548
-50.0,50,74.423396
-50.0,50,75.683205
-50.0,50,76.938637
-50.0,50,77.072254
0,50,77.221102
-50.0,50,77.348256
-50.0,50,77.482041
-50.0,50,77.608426
-50.0,50,77.736421
-50.0,50,77.864397
-50.0,50,78.005162
-50.0,50,78.169032
-50.0,50,78.302608
-50.0,50,79.560165
-43.0,50,80.799785
-50.0,50,82.017354
-50.0,50,83.253808
