epoch,p0/stats_g/mean,p0/stats_g/std,p0/stats_o/mean,p0/stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.8617018,0.10271432,0.20592837,0.052195225,10.0,-1.5393063,0.1,20.0,0.1
1,0.85890675,0.10209944,0.20549385,0.053324908,20.0,-2.444652,0.0,40.0,0.0
2,0.8582197,0.10359182,0.20621735,0.066295795,30.0,-3.0528703,0.1,60.0,0.1
3,0.8573163,0.10612138,0.20573308,0.06831199,40.0,-4.155066,0.0,80.0,0.0
4,0.8553009,0.10618296,0.20557559,0.070678115,50.0,-4.9900236,0.0,100.0,0.0
5,0.8541641,0.106148325,0.20458473,0.07609849,60.0,-5.1741724,0.1,120.0,0.05
6,0.85303664,0.106249094,0.20491676,0.076440684,70.0,-5.89707,0.1,140.0,0.2
7,0.8522275,0.10810659,0.20435959,0.077248484,80.0,-6.138932,0.2,160.0,0.1
8,0.8511617,0.107468314,0.20411769,0.07687443,90.0,-7.2214103,0.1,180.0,0.05
9,0.8499272,0.10945379,0.20432438,0.07836633,100.0,-7.2487693,0.2,200.0,0.0
10,0.85025245,0.110998034,0.20509906,0.07936408,110.0,-7.7477503,0.1,220.0,0.0
11,0.8498748,0.11063197,0.20491347,0.07912695,120.0,-8.354042,0.2,240.0,0.0
12,0.8494509,0.11007783,0.20482601,0.07874516,130.0,-6.268333,0.4,260.0,0.0
13,0.8493054,0.10941877,0.20513515,0.07898964,140.0,-7.3289504,0.4,280.0,0.0
14,0.8490055,0.11140778,0.20463216,0.07915762,150.0,-6.8079767,0.6,300.0,0.05
15,0.84917945,0.113713525,0.20423019,0.081702136,160.0,-10.548716,0.2,320.0,0.0
16,0.8488262,0.11384281,0.20417888,0.08201738,170.0,-6.2633514,0.6,340.0,0.05
17,0.84861183,0.11395315,0.20417362,0.08258725,180.0,-12.07575,0.2,360.0,0.0
18,0.8489279,0.116040014,0.2042806,0.08517923,190.0,-9.607836,0.4,380.0,0.0
19,0.8483208,0.11565531,0.20418508,0.086268246,200.0,-6.023425,0.3,400.0,0.1
20,0.8470442,0.11705195,0.20433691,0.08895159,210.0,-9.424345,0.5,420.0,0.0
21,0.8466272,0.11859711,0.20378207,0.09000846,220.0,-10.627273,0.4,440.0,0.15
22,0.8449948,0.12348027,0.20352045,0.09407384,230.0,-10.926066,0.2,460.0,0.05
23,0.84454226,0.12398165,0.20348953,0.09499282,240.0,-10.017034,0.4,480.0,0.05
24,0.8435381,0.12465498,0.20326021,0.09683815,250.0,-8.238813,0.4,500.0,0.05
25,0.84324455,0.12513138,0.20346192,0.098350324,260.0,-6.7675996,0.5,520.0,0.0
26,0.8433992,0.124516636,0.20349964,0.09875637,270.0,-8.986017,0.5,540.0,0.1
27,0.84325904,0.12372591,0.20347753,0.09913951,280.0,-9.565941,0.6,560.0,0.15
28,0.84311867,0.12489954,0.2034291,0.10088917,290.0,-8.459436,0.5,580.0,0.05
29,0.84208775,0.12548183,0.20399159,0.1026645,300.0,-10.115644,0.4,600.0,0.15
30,0.8416223,0.1262006,0.20414925,0.10389486,310.0,-11.002782,0.5,620.0,0.25
31,0.84151006,0.12644863,0.20417084,0.10508754,320.0,-9.120078,0.6,640.0,0.05
32,0.84116536,0.12618141,0.20378992,0.10596961,330.0,-13.20209,0.3,660.0,0.15
33,0.8408709,0.12592782,0.20337234,0.10691192,340.0,-10.868593,0.5,680.0,0.15
34,0.8407832,0.12656575,0.20319258,0.107634455,350.0,-6.7266035,0.8,700.0,0.15
35,0.8401472,0.12721813,0.20272416,0.109167375,360.0,-11.107009,0.4,720.0,0.1
36,0.83997685,0.12730588,0.20282568,0.11031804,370.0,-8.316168,0.7,740.0,0.25
37,0.83999616,0.12692355,0.20255302,0.11107285,380.0,-11.065909,0.4,760.0,0.05
38,0.8397119,0.12746769,0.20274359,0.11233214,390.0,-13.230461,0.3,780.0,0.2
39,0.83902806,0.12734725,0.20289205,0.11303032,400.0,-13.532034,0.4,800.0,0.25
40,0.8390022,0.12767816,0.20330912,0.113607034,410.0,-12.113914,0.2,820.0,0.25
41,0.8397694,0.12747176,0.2032339,0.114391714,420.0,-6.2008405,0.8,840.0,0.2
42,0.8400913,0.12712325,0.20331964,0.114360124,430.0,-13.238197,0.2,860.0,0.4
43,0.84061193,0.12703879,0.20342717,0.1148303,440.0,-8.398313,0.6,880.0,0.3
44,0.8405878,0.12749912,0.20384538,0.11533724,450.0,-10.742152,0.3,900.0,0.15
45,0.84061813,0.12824394,0.20381784,0.117086,460.0,-7.9854064,0.6,920.0,0.1
46,0.84084576,0.12955004,0.20368618,0.11746157,470.0,-5.117505,0.6,940.0,0.45
47,0.8413813,0.12982208,0.20381294,0.11767925,480.0,-11.113698,0.5,960.0,0.25
48,0.84165674,0.13073072,0.2038585,0.11835657,490.0,-6.6973357,0.6,980.0,0.25
49,0.8420344,0.13055585,0.20371233,0.11886691,500.0,-7.7408676,0.5,1000.0,0.2
