# {"t_start": 1581979919.7100863, "env_id": "FetchPickAndPlace-v1"} 
r,l,t
-50.0,50,4.061649
-50.0,50,5.375261
-50.0,50,6.557972
-50.0,50,7.765183
-50.0,50,8.990218
-50.0,50,10.199619
-50.0,50,11.416285
-50.0,50,12.60093
-50.0,50,13.821614
-50.0,50,14.997892
-50.0,50,16.178169
-43.0,50,17.374764
-15.0,50,18.571228
-50.0,50,19.749425
-50.0,50,20.931073
-50.0,50,22.086366
-50.0,50,23.257514
-50.0,50,24.474718
-50.0,50,25.700704
-50.0,50,26.902434
-50.0,50,28.102167
-50.0,50,28.280306
0,50,28.476017
-50.0,50,28.675801
-50.0,50,28.87183
-50.0,50,29.043075
-50.0,50,29.240508
-50.0,50,29.409435
-50.0,50,29.575788
-50.0,50,29.757956
-50.0,50,29.977782
-50.0,50,31.186445
-50.0,50,32.365551
-50.0,50,33.565823
-50.0,50,34.742657
-50.0,50,35.915215
-50.0,50,37.125474
-50.0,50,38.283596
-50.0,50,39.532395
-50.0,50,40.721024
-50.0,50,41.890263
-50.0,50,43.046511
-50.0,50,44.255679
-50.0,50,45.44437
-50.0,50,46.650257
-50.0,50,47.826874
-50.0,50,49.010412
-50.0,50,50.217811
-50.0,50,51.488759
0,50,52.73658
-50.0,50,53.958913
-50.0,50,54.136928
-50.0,50,54.309282
-50.0,50,54.501072
-50.0,50,54.681557
-50.0,50,54.857922
-50.0,50,55.035183
-50.0,50,55.221198
-50.0,50,55.396924
-50.0,50,55.587628
-50.0,50,55.764293
-50.0,50,56.940769
-50.0,50,58.099429
-50.0,50,59.310813
-50.0,50,60.553555
-50.0,50,61.799261
-50.0,50,63.011754
-50.0,50,64.228718
-50.0,50,65.453411
-50.0,50,66.734688
-50.0,50,67.950345
-50.0,50,69.171842
-50.0,50,70.381343
-50.0,50,71.669258
-50.0,50,72.902484
-50.0,50,74.140849
-50.0,50,75.408323
-50.0,50,76.604481
-50.0,50,77.838516
-50.0,50,79.12571
-50.0,50,80.381654
-50.0,50,80.563387
-50.0,50,80.742134
-50.0,50,80.935819
-50.0,50,81.131161
-50.0,50,81.350139
-50.0,50,81.54213
-50.0,50,81.728777
-50.0,50,81.929655
-50.0,50,82.115144
-50.0,50,82.309253
-50.0,50,83.546058
-50.0,50,84.785815
-50.0,50,86.047879
-50.0,50,87.292385
-50.0,50,88.538728
-50.0,50,89.791029
-50.0,50,91.025122
-50.0,50,92.249534
-50.0,50,93.497935
-49.0,50,94.772635
