epoch,p0/stats_g/mean,p0/stats_g/std,p0/stats_o/mean,p0/stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.86391276,0.104265094,0.20708498,0.04727398,10.0,-1.6863205,0.1,20.0,0.05
1,0.8619136,0.10532405,0.20705667,0.05195798,20.0,-2.612349,0.0,40.0,0.05
2,0.86058444,0.104253955,0.20707,0.055090528,30.0,-3.3305688,0.0,60.0,0.0
3,0.85927624,0.10394915,0.20656312,0.062084436,40.0,-4.132563,0.0,80.0,0.0
4,0.8568303,0.10483,0.20679197,0.06757573,50.0,-3.3738961,0.5,100.0,0.0
5,0.8562935,0.10452944,0.2063573,0.0672265,60.0,-4.9738774,0.1,120.0,0.05
6,0.8550937,0.10478684,0.20593959,0.067726105,70.0,-4.6752114,0.3,140.0,0.0
7,0.8544925,0.10647186,0.2059061,0.06778749,80.0,-5.1080484,0.4,160.0,0.05
8,0.8536164,0.106556594,0.20533283,0.06800259,90.0,-7.4761667,0.0,180.0,0.0
9,0.8522405,0.10741661,0.20486857,0.06875126,100.0,-8.042677,0.1,200.0,0.0
10,0.85209054,0.10727867,0.20483658,0.0711218,110.0,-7.0112257,0.2,220.0,0.0
11,0.85106486,0.109860785,0.20456721,0.07190332,120.0,-6.3562303,0.2,240.0,0.2
12,0.8497276,0.111931026,0.20408677,0.072106846,130.0,-7.216288,0.6,260.0,0.0
13,0.849628,0.11245813,0.20413591,0.07317995,140.0,-9.272184,0.1,280.0,0.05
14,0.8491574,0.111828454,0.20441397,0.074187346,150.0,-7.8407807,0.1,300.0,0.0
15,0.84891635,0.11166116,0.20443861,0.077885725,160.0,-7.722234,0.4,320.0,0.0
16,0.8488769,0.11251324,0.20496503,0.07969947,170.0,-8.287084,0.1,340.0,0.0
17,0.84867984,0.1120644,0.20506874,0.0814434,180.0,-10.223712,0.2,360.0,0.05
18,0.8489115,0.11289262,0.20520352,0.08395119,190.0,-7.552787,0.4,380.0,0.1
19,0.8475282,0.11277374,0.20490313,0.08485471,200.0,-10.33836,0.1,400.0,0.05
20,0.8482067,0.11415937,0.2054803,0.08724477,210.0,-8.484362,0.1,420.0,0.0
21,0.8492829,0.11455014,0.2051812,0.08873197,220.0,-7.1196914,0.7,440.0,0.0
22,0.84860677,0.11768613,0.20510143,0.092605546,230.0,-7.3342156,0.6,460.0,0.1
23,0.848419,0.11798371,0.2044927,0.094536714,240.0,-6.566765,0.7,480.0,0.1
24,0.84776,0.11953226,0.20448996,0.09548294,250.0,-6.756509,0.8,500.0,0.15
25,0.8472955,0.12113532,0.20464443,0.097503826,260.0,-10.940218,0.3,520.0,0.1
26,0.84629494,0.1223973,0.20439112,0.099910386,270.0,-10.060442,0.3,540.0,0.15
27,0.84600306,0.12524213,0.20432648,0.10269859,280.0,-7.598249,0.5,560.0,0.05
28,0.845781,0.12635763,0.20439291,0.10414407,290.0,-7.634164,0.4,580.0,0.05
29,0.8450389,0.12971714,0.20440076,0.10615995,300.0,-8.277579,0.5,600.0,0.05
30,0.8439962,0.12976842,0.20416173,0.107577026,310.0,-5.8123956,0.7,620.0,0.2
31,0.8432918,0.13065827,0.20410256,0.108156644,320.0,-7.012956,0.4,640.0,0.2
32,0.84311223,0.13121177,0.20391421,0.10893719,330.0,-6.295544,0.7,660.0,0.2
33,0.84307665,0.13231467,0.20386826,0.11048037,340.0,-6.1606355,0.6,680.0,0.3
34,0.84290344,0.13256301,0.20384072,0.11283262,350.0,-8.142271,0.3,700.0,0.15
35,0.84235525,0.13400184,0.20359007,0.11395142,360.0,-5.3029532,0.5,720.0,0.45
36,0.84197664,0.13486046,0.20352778,0.115643114,370.0,-5.935662,0.6,740.0,0.5
37,0.84226733,0.13417162,0.2035835,0.11621508,380.0,-7.605193,0.4,760.0,0.4
38,0.8424533,0.13503496,0.20409496,0.117247,390.0,-7.140757,0.7,780.0,0.15
39,0.84305435,0.13505156,0.20424168,0.11803392,400.0,-8.873803,0.6,800.0,0.3
40,0.8429268,0.13433112,0.2045773,0.11825244,410.0,-9.330797,0.4,820.0,0.5
41,0.8433645,0.13437824,0.20461838,0.11853047,420.0,-6.5601563,0.5,840.0,0.15
42,0.84282494,0.13551845,0.2048794,0.119248144,430.0,-4.48273,0.7,860.0,0.15
43,0.84308666,0.13485527,0.20497808,0.11982652,440.0,-6.313056,0.7,880.0,0.25
44,0.84268314,0.1346255,0.20494284,0.12025935,450.0,-3.371879,0.7,900.0,0.35
45,0.84308547,0.1343875,0.20503779,0.12069882,460.0,-9.273237,0.6,920.0,0.2
46,0.8430209,0.13501363,0.20484897,0.12111912,470.0,-6.527387,0.8,940.0,0.35
47,0.84274405,0.13494481,0.2047778,0.12154575,480.0,-8.948206,0.5,960.0,0.2
48,0.84244674,0.13449462,0.20472868,0.12169146,490.0,-7.6829844,0.7,980.0,0.4
49,0.8423033,0.13419892,0.20474844,0.12253488,500.0,-8.704293,0.6,1000.0,0.2
