# {"t_start": 1581979872.811979, "env_id": "FetchPickAndPlace-v1"} 
r,l,t
-50.0,50,3.907264
-50.0,50,5.454025
-50.0,50,6.825288
-50.0,50,8.207103
-50.0,50,9.569215
-50.0,50,10.949912
-50.0,50,12.341984
-50.0,50,13.740601
-50.0,50,15.187793
-50.0,50,16.631302
-50.0,50,18.122714
-50.0,50,19.690925
-50.0,50,21.25631
-50.0,50,22.778039
-50.0,50,24.193097
-50.0,50,25.718828
-50.0,50,27.185049
-50.0,50,28.703675
-50.0,50,30.207721
-50.0,50,31.756584
-50.0,50,33.271696
-50.0,50,33.436055
-50.0,50,33.643315
-50.0,50,33.819806
-50.0,50,34.022734
-50.0,50,34.201957
-50.0,50,34.373654
-50.0,50,34.534358
-50.0,50,34.69478
0,50,34.86641
-50.0,50,35.090868
-50.0,50,36.588217
-50.0,50,38.074249
-50.0,50,39.578869
-50.0,50,41.123693
-50.0,50,42.688697
0,50,44.32123
-50.0,50,45.960632
-50.0,50,47.600853
-50.0,50,49.182421
-50.0,50,50.781542
-50.0,50,52.407631
-50.0,50,54.077015
-50.0,50,55.782316
-50.0,50,57.520739
-50.0,50,59.203739
-47.0,50,60.945584
-50.0,50,62.588652
-50.0,50,64.329993
-50.0,50,66.031576
-50.0,50,67.737337
-50.0,50,67.934497
-50.0,50,68.132303
-50.0,50,68.342891
-50.0,50,68.526486
-50.0,50,68.720059
-50.0,50,68.896542
-50.0,50,69.106375
-50.0,50,69.300407
-50.0,50,69.491549
-50.0,50,69.68397
-50.0,50,71.39029
-50.0,50,73.131237
-50.0,50,74.799774
-50.0,50,76.441317
-50.0,50,78.110281
-50.0,50,79.797561
-50.0,50,81.496788
-50.0,50,83.178144
-50.0,50,84.847368
-50.0,50,86.586324
-50.0,50,88.286973
-50.0,50,89.951705
-50.0,50,91.669593
-50.0,50,93.41677
-50.0,50,95.145315
-50.0,50,96.898568
-50.0,50,98.693437
-50.0,50,100.474308
-50.0,50,102.220851
-50.0,50,103.95718
-50.0,50,104.162047
-50.0,50,104.352269
-50.0,50,104.533848
-50.0,50,104.73576
-50.0,50,104.9338
-50.0,50,105.119541
-50.0,50,105.29783
-50.0,50,105.480407
-50.0,50,105.67677
-50.0,50,105.860379
-50.0,50,107.667492
-50.0,50,109.463864
-50.0,50,111.21261
-50.0,50,113.010994
-50.0,50,114.82597
0,50,116.612031
-50.0,50,118.440019
-50.0,50,120.203852
-50.0,50,122.021881
-50.0,50,123.810433
-50.0,50,125.632487
-50.0,50,127.472802
-50.0,50,129.327435
-50.0,50,131.142295
-50.0,50,132.958575
-50.0,50,134.77723
-50.0,50,136.581874
-50.0,50,138.42642
-50.0,50,140.248599
-50.0,50,142.124091
-50.0,50,142.337224
-50.0,50,142.534668
-50.0,50,142.744375
-50.0,50,142.917899
-50.0,50,143.094405
-50.0,50,143.297305
-50.0,50,143.472246
-50.0,50,143.670266
-50.0,50,143.859295
-50.0,50,144.034821
-50.0,50,145.911982
-50.0,50,147.766655
