epoch,p0/stats_g/mean,p0/stats_g/std,p0/stats_o/mean,p0/stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.86537075,0.10479528,0.20707653,0.052318133,10.0,-1.6707032,0.1,20.0,0.0
1,0.8633221,0.11204805,0.20586932,0.061855506,20.0,-2.462328,0.0,40.0,0.05
2,0.86192673,0.114869975,0.20601541,0.06178733,30.0,-3.023315,0.0,60.0,0.0
3,0.8604002,0.113449894,0.206256,0.061815687,40.0,-4.145734,0.0,80.0,0.05
4,0.8594355,0.11148969,0.20595129,0.06264145,50.0,-4.613532,0.0,100.0,0.0
5,0.8577797,0.11074183,0.2059106,0.06852738,60.0,-5.2119474,0.1,120.0,0.0
6,0.85680574,0.10982456,0.20559813,0.068073966,70.0,-6.107621,0.1,140.0,0.05
7,0.85610396,0.11085391,0.20573294,0.06810366,80.0,-5.667184,0.2,160.0,0.05
8,0.85683817,0.11006832,0.20600542,0.06965615,90.0,-6.4010034,0.2,180.0,0.05
9,0.85660976,0.1090906,0.20594871,0.06992949,100.0,-7.387365,0.1,200.0,0.0
10,0.85526085,0.10924616,0.20611268,0.07218608,110.0,-7.325381,0.2,220.0,0.05
11,0.8540637,0.109414555,0.20586438,0.07417887,120.0,-7.500262,0.2,240.0,0.0
12,0.8529661,0.10895956,0.20581742,0.074880846,130.0,-7.7418656,0.2,260.0,0.0
13,0.85234475,0.10838092,0.20583352,0.075710185,140.0,-9.478432,0.0,280.0,0.05
14,0.8517224,0.107882895,0.2058077,0.07611446,150.0,-9.507143,0.2,300.0,0.05
15,0.85140926,0.10734293,0.20599991,0.07728157,160.0,-9.570838,0.2,320.0,0.1
16,0.8505241,0.106936775,0.20563254,0.08129364,170.0,-8.204779,0.3,340.0,0.0
17,0.8503258,0.10674975,0.20572944,0.08119982,180.0,-8.6460285,0.3,360.0,0.05
18,0.85045284,0.10687113,0.20525365,0.08204378,190.0,-8.328054,0.3,380.0,0.05
19,0.8496601,0.10794663,0.20554142,0.084680006,200.0,-10.749479,0.1,400.0,0.0
20,0.84951323,0.109312296,0.20559412,0.0878166,210.0,-8.3680935,0.2,420.0,0.05
21,0.848573,0.11118334,0.20536813,0.08862561,220.0,-11.537929,0.0,440.0,0.05
22,0.84827286,0.11098135,0.20534685,0.08859287,230.0,-10.727928,0.2,460.0,0.0
23,0.8484214,0.11061434,0.2053707,0.08894988,240.0,-10.58321,0.1,480.0,0.0
24,0.84864306,0.110179454,0.2055981,0.089122295,250.0,-11.7260895,0.1,500.0,0.05
25,0.848955,0.109741926,0.20586723,0.089210056,260.0,-11.277467,0.3,520.0,0.0
26,0.84848666,0.10927388,0.20576806,0.08866605,270.0,-9.757992,0.5,540.0,0.05
27,0.8488628,0.1090179,0.2057437,0.089016505,280.0,-7.287715,0.6,560.0,0.05
28,0.8488054,0.10896993,0.2055762,0.08962734,290.0,-10.248803,0.3,580.0,0.05
29,0.8487077,0.10921038,0.20555054,0.0898006,300.0,-12.030852,0.2,600.0,0.05
30,0.8486998,0.10976112,0.20549375,0.09049726,310.0,-11.837569,0.3,620.0,0.0
31,0.8484499,0.10969327,0.20547324,0.090420686,320.0,-9.954412,0.3,640.0,0.0
32,0.84847766,0.1092831,0.20528165,0.09031339,330.0,-15.543332,0.1,660.0,0.1
33,0.8479951,0.10892865,0.20511043,0.09030728,340.0,-7.5139937,0.5,680.0,0.15
34,0.8478498,0.10947619,0.20504937,0.09092474,350.0,-12.190546,0.2,700.0,0.1
35,0.847562,0.11013359,0.2047284,0.09127512,360.0,-13.468701,0.3,720.0,0.0
36,0.8473386,0.11059108,0.20499334,0.09198436,370.0,-8.452795,0.6,740.0,0.1
37,0.8472655,0.11141765,0.20523117,0.09275096,380.0,-6.3123255,0.8,760.0,0.05
38,0.847126,0.11119309,0.20516452,0.09333816,390.0,-7.3520074,0.8,780.0,0.15
39,0.8475599,0.11182329,0.20540461,0.09352816,400.0,-10.821661,0.4,800.0,0.2
40,0.84752244,0.112562895,0.20538372,0.094330475,410.0,-8.071863,0.7,820.0,0.1
41,0.84744805,0.11247671,0.20549338,0.0948438,420.0,-12.803354,0.6,840.0,0.2
42,0.8476104,0.113833845,0.20595618,0.09577237,430.0,-10.86207,0.4,860.0,0.05
43,0.84772545,0.1150099,0.20610549,0.09669352,440.0,-8.274748,0.6,880.0,0.0
44,0.84730697,0.11522919,0.20611754,0.09701849,450.0,-7.4897323,0.9,900.0,0.2
45,0.8471349,0.11526277,0.20624922,0.09672634,460.0,-10.807253,0.4,920.0,0.35
46,0.84708685,0.11569687,0.20630352,0.09736514,470.0,-13.325829,0.4,940.0,0.1
47,0.8469321,0.11579593,0.20652415,0.098748274,480.0,-11.200563,0.5,960.0,0.05
48,0.84646183,0.11593312,0.20659296,0.09902854,490.0,-8.373102,0.6,980.0,0.2
49,0.84656286,0.11596336,0.20677337,0.099276565,500.0,-11.100202,0.3,1000.0,0.2
50,0.8465056,0.11668998,0.20679943,0.09961977,510.0,-10.564563,0.6,1020.0,0.1
51,0.84560364,0.118472874,0.20652248,0.100822575,520.0,-11.637678,0.4,1040.0,0.25
52,0.8455825,0.11843997,0.20665485,0.101112224,530.0,-8.5836525,0.6,1060.0,0.25
53,0.8456107,0.11838428,0.20671783,0.10102544,540.0,-10.137349,0.7,1080.0,0.15
54,0.84541494,0.11905249,0.20683636,0.101802066,550.0,-7.5414915,0.6,1100.0,0.15
55,0.8453377,0.119623095,0.20690611,0.10228426,560.0,-8.557843,0.8,1120.0,0.2
56,0.8453152,0.11945483,0.20713541,0.10289724,570.0,-11.350336,0.4,1140.0,0.3
57,0.84532577,0.11927995,0.20715824,0.10345782,580.0,-11.466936,0.4,1160.0,0.15
58,0.8456185,0.119166575,0.20748204,0.103603184,590.0,-8.221635,0.5,1180.0,0.15
59,0.8455095,0.1193853,0.2075614,0.10410693,600.0,-11.02461,0.4,1200.0,0.0
60,0.84547895,0.11930615,0.207575,0.10403683,610.0,-11.228004,0.4,1220.0,0.1
61,0.84543854,0.11899469,0.20759664,0.1039866,620.0,-7.762342,0.6,1240.0,0.05
62,0.8457268,0.11863246,0.20771022,0.10394409,630.0,-12.0710535,0.4,1260.0,0.15
63,0.8459417,0.11848971,0.20765129,0.104497805,640.0,-7.1829224,0.7,1280.0,0.05
64,0.8457965,0.11826695,0.20770974,0.10433702,650.0,-7.137084,0.6,1300.0,0.15
65,0.84597087,0.11794415,0.20776081,0.104306825,660.0,-8.359511,0.5,1320.0,0.2
66,0.84590316,0.11803585,0.20787564,0.104814634,670.0,-11.949122,0.4,1340.0,0.05
67,0.84635806,0.118374415,0.20800556,0.10516079,680.0,-8.279652,0.5,1360.0,0.1
