# {"t_start": 1582051196.0224924, "env_id": "FetchPickAndPlace-v1"} 
r,l,t
-50.0,50,8.565373
-49.0,50,10.056968
-48.0,50,12.904339
-48.0,50,16.736364
-50.0,50,20.410439
-48.0,50,24.369159
-49.0,50,27.966858
-49.0,50,31.643529
-48.0,50,35.642582
-49.0,50,39.594804
-49.0,50,43.308174
-49.0,50,47.384197
-48.0,50,51.539469
-48.0,50,55.41718
-48.0,50,59.345175
-48.0,50,63.126201
-48.0,50,66.849936
-48.0,50,70.551386
-47.0,50,74.254556
-49.0,50,78.064767
-48.0,50,82.269135
-49.0,50,82.397191
-48.0,50,82.532554
-46.0,50,82.702249
-21.0,50,82.839958
-44.0,50,82.965805
-48.0,50,83.130508
-48.0,50,83.290435
-48.0,50,83.444401
-48.0,50,83.592622
-49.0,50,84.085558
-48.0,50,88.516796
-31.0,50,92.650944
-48.0,50,96.857723
-48.0,50,101.150093
-48.0,50,105.283217
-48.0,50,108.993214
-32.0,50,112.745043
-49.0,50,116.446531
-48.0,50,120.059865
-48.0,50,123.725308
-49.0,50,127.391069
-48.0,50,131.021194
-48.0,50,134.657839
-49.0,50,138.314511
-49.0,50,141.965439
-47.0,50,145.643234
-46.0,50,149.379234
-48.0,50,153.086293
-43.0,50,156.827379
-48.0,50,160.60567
-48.0,50,160.740261
-48.0,50,160.875573
-48.0,50,161.007966
-48.0,50,161.135414
-48.0,50,161.252458
-48.0,50,161.385639
-48.0,50,161.517867
-11.0,50,161.646364
-48.0,50,161.773084
-48.0,50,161.904788
-48.0,50,165.614485
-49.0,50,169.363419
-48.0,50,173.108448
-48.0,50,176.724803
-48.0,50,180.33127
-48.0,50,183.969607
-49.0,50,187.603698
-48.0,50,191.218715
-48.0,50,194.875375
-48.0,50,198.581518
-49.0,50,202.330679
-48.0,50,206.113344
-8.0,50,209.907704
-48.0,50,213.677402
-48.0,50,217.468199
-48.0,50,221.255631
-48.0,50,225.053657
-48.0,50,228.85936
-48.0,50,232.696147
-18.0,50,236.551352
-17.0,50,236.691701
-27.0,50,236.8255
-48.0,50,236.960012
-23.0,50,237.104107
-48.0,50,237.242731
-19.0,50,237.381482
-49.0,50,237.50099
-48.0,50,237.630616
-48.0,50,237.755427
-48.0,50,237.884334
-48.0,50,241.703509
-48.0,50,245.57425
-48.0,50,249.378833
-48.0,50,253.138332
-43.0,50,256.945074
-48.0,50,260.779231
-48.0,50,264.65837
-48.0,50,268.548704
-48.0,50,272.434952
-48.0,50,276.303937
-33.0,50,280.208286
-48.0,50,284.080905
-48.0,50,287.997766
-48.0,50,291.878382
-48.0,50,295.739678
-48.0,50,299.623681
-48.0,50,303.510349
-49.0,50,307.416286
-31.0,50,311.313281
-48.0,50,315.168513
-48.0,50,315.304593
-45.0,50,315.42358
-48.0,50,315.55659
-25.0,50,315.680334
-48.0,50,315.799163
-20.0,50,315.931926
-48.0,50,316.062109
-48.0,50,316.190767
-20.0,50,316.337627
-48.0,50,316.46619
-48.0,50,320.399299
-49.0,50,324.345389
-28.0,50,328.28037
-48.0,50,332.221374
-48.0,50,336.175089
-48.0,50,340.082815
-48.0,50,343.957045
-48.0,50,347.870156
-48.0,50,351.761764
-48.0,50,355.683485
-48.0,50,359.623663
-48.0,50,363.549529
-48.0,50,367.457149
-48.0,50,371.376985
-23.0,50,375.401265
-48.0,50,379.427232
-48.0,50,383.458229
-29.0,50,387.451625
-48.0,50,391.448187
-48.0,50,395.424016
-48.0,50,395.546452
-48.0,50,395.685966
-48.0,50,395.813884
-48.0,50,395.950058
-46.0,50,396.075528
-48.0,50,396.200194
-48.0,50,396.326648
-48.0,50,396.450973
-21.0,50,396.592977
-48.0,50,396.723186
-48.0,50,400.734037
-48.0,50,404.708759
-48.0,50,408.697628
