epoch,p0/stats_g/mean,p0/stats_g/std,p0/stats_o/mean,p0/stats_o/std,p1/stats_g/mean,p1/stats_g/std,p1/stats_o/mean,p1/stats_o/std,p2/stats_g/mean,p2/stats_g/std,p2/stats_o/mean,p2/stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.86613566,0.09958399,0.20702204,0.032698,0.8663791,0.102084376,0.20721453,0.039424866,0.8652927,0.10303616,0.20804855,0.04282924,10.0,-1.1520827,0.1,20.0,0.0
1,0.8659751,0.09517461,0.20698173,0.03265809,0.86589783,0.10022951,0.20756933,0.042103756,0.86344177,0.103776544,0.20860195,0.05495063,20.0,-2.212139,0.1,40.0,0.0
2,0.8649409,0.09263807,0.20658332,0.032561835,0.863688,0.09919959,0.2073438,0.045282632,0.8617153,0.103450894,0.2075095,0.0613565,30.0,-1.8757,0.5,60.0,0.05
3,0.86402774,0.09004682,0.20637487,0.032445654,0.86136585,0.09933194,0.20713668,0.051853437,0.8594319,0.10416702,0.20787428,0.06475095,40.0,-2.644671,0.3,80.0,0.1
4,0.8628954,0.08785216,0.2059533,0.032348383,0.8596656,0.097671986,0.20663726,0.053147145,0.85801095,0.105477534,0.20836039,0.06832035,50.0,-3.760694,0.1,100.0,0.15
5,0.8640582,0.085933946,0.20634638,0.032133684,0.86082196,0.095689416,0.20724931,0.05301571,0.859132,0.10739835,0.20942295,0.07254554,60.0,-3.1434343,0.6,120.0,0.15
6,0.86369354,0.08450828,0.20632051,0.032062255,0.8602744,0.09411595,0.20712206,0.05218434,0.8585282,0.11580807,0.20861168,0.08162332,70.0,-3.453944,0.5,140.0,0.15
7,0.8632178,0.08300487,0.20617002,0.031877927,0.8595759,0.09284419,0.20666713,0.052748304,0.8573738,0.117144726,0.20801686,0.08343499,80.0,-3.7930245,0.3,160.0,0.05
8,0.86289006,0.081931025,0.20607533,0.031842493,0.8593628,0.09166271,0.20660317,0.052340887,0.85655576,0.11858215,0.20871137,0.087070316,90.0,-5.13281,0.2,180.0,0.0
9,0.86285186,0.08087256,0.20610552,0.03178328,0.8596212,0.09120359,0.20642887,0.05375006,0.85495377,0.12602988,0.20861183,0.095964424,100.0,-5.1265965,0.2,200.0,0.05
10,0.8622532,0.079497755,0.20591034,0.031622328,0.85884005,0.08987842,0.20584653,0.055347495,0.8542474,0.1262394,0.20949107,0.1005265,110.0,-6.8005304,0.1,220.0,0.05
11,0.8619973,0.07857554,0.20583332,0.031714674,0.85889167,0.08903456,0.20544446,0.061838318,0.8521228,0.13203178,0.20814425,0.10527536,120.0,-7.3945413,0.2,240.0,0.0
12,0.8609809,0.077910654,0.20592044,0.044089213,0.85777074,0.08822753,0.20514645,0.062180325,0.8507993,0.13382274,0.20805101,0.10686161,130.0,-7.15641,0.2,260.0,0.1
13,0.86096555,0.07692731,0.20589633,0.043949995,0.8576131,0.087070905,0.20524572,0.06447076,0.8503058,0.13503502,0.20795006,0.109144285,140.0,-5.2910357,0.1,280.0,0.05
14,0.8608327,0.07643583,0.20555374,0.045183826,0.8577079,0.08692795,0.20537178,0.06639608,0.8491235,0.14003183,0.20776062,0.111451,150.0,-3.8565655,0.6,300.0,0.05
15,0.8606229,0.07591293,0.2055476,0.045010243,0.8573144,0.08722782,0.20587347,0.07055842,0.84845597,0.13916986,0.20738058,0.11126916,160.0,-6.4671106,0.3,320.0,0.05
16,0.86041933,0.07561491,0.20565365,0.045799855,0.8560496,0.088858865,0.20620851,0.07369587,0.8474796,0.13834709,0.2067596,0.1113207,170.0,-4.7521343,0.2,340.0,0.0
17,0.8609492,0.07492899,0.20575157,0.047016945,0.8566244,0.091525525,0.20646277,0.079233505,0.8481137,0.13726723,0.2067448,0.11041127,180.0,-3.6969821,0.4,360.0,0.05
18,0.8602827,0.07428657,0.20550121,0.046547223,0.8556319,0.093400896,0.20608678,0.082883425,0.8471709,0.13721837,0.20604372,0.11283729,190.0,-5.7641325,0.2,380.0,0.0
19,0.86020833,0.07371775,0.2055437,0.04664254,0.85548717,0.09365504,0.20587213,0.085433245,0.8473146,0.13703239,0.20628937,0.11418196,200.0,-6.9644613,0.1,400.0,0.05
20,0.8599124,0.07318965,0.20546342,0.046292037,0.8550591,0.092778236,0.20572342,0.08537147,0.846914,0.1374823,0.20639262,0.114762366,210.0,-7.7147613,0.3,420.0,0.0
21,0.8593493,0.07281641,0.20524059,0.047998194,0.8544714,0.09265497,0.20512947,0.08582198,0.8456812,0.13859837,0.20607866,0.11709437,220.0,-5.8200626,0.0,440.0,0.05
22,0.859653,0.07314979,0.20554408,0.05042282,0.85446787,0.09267377,0.20555012,0.08675413,0.8456498,0.1389186,0.20629251,0.11773144,230.0,-5.1614466,0.4,460.0,0.0
23,0.8590608,0.072784625,0.2052752,0.05001519,0.85366297,0.0919654,0.2051463,0.08643236,0.84459853,0.13825454,0.20637397,0.11998387,240.0,-4.672658,0.6,480.0,0.05
24,0.85885024,0.07231235,0.20515183,0.04959563,0.85334545,0.091146044,0.2049998,0.08585009,0.8444319,0.13695757,0.20600748,0.12051318,250.0,-5.547759,0.4,500.0,0.1
25,0.8588856,0.071933016,0.20510754,0.049196735,0.852954,0.09059652,0.20478855,0.08527,0.84403425,0.13594931,0.20572975,0.12076433,260.0,-6.443212,0.4,520.0,0.05
26,0.8585861,0.071582876,0.20497838,0.04882642,0.85243464,0.09007212,0.20474073,0.084552914,0.8441265,0.13490944,0.20594338,0.120322116,270.0,-9.634565,0.4,540.0,0.2
